timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
24478613723,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=402905366), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4069673357274454, y=-0.23546490420463173, z=-0.7062116139325542, w=-0.5293382877570687)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-14.1875, y=-0.8125, z=6.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.810546875, y=0.458984375, z=-0.14990234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24501004569,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=425336304), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4063105825826655, y=-0.23779270388193854, z=-0.7064811466718272, w=-0.5284417942017001)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-5.0, y=-7.75, z=5.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.80615234375, y=0.47900390625, z=-0.17919921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24517209131,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=441529345), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4055552583254072, y=-0.23942712993387094, z=-0.7074787892412521, w=-0.5269471934359016)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.8125, y=-9.125, z=4.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.8232421875, y=0.50927734375, z=-0.171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24539942209,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=464298649), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4049594048758333, y=-0.2403511886060334, z=-0.7079923280421502, w=-0.526294641785126)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.375, y=-5.8125, z=3.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81884765625, y=0.552734375, z=-0.14111328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24562265516,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=486737100), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.40459683124054596, y=-0.24071955082406293, z=-0.7075714383122114, w=-0.5269707408252939)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-4.9375, y=-1.0625, z=1.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.80712890625, y=0.5810546875, z=-0.10693359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24577501579,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=501807874), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4037307643673722, y=-0.24156709982858038, z=-0.7061473837838996, w=-0.5291527932071227)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-15.4375, y=0.0, z=1.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.802734375, y=0.59765625, z=-0.10693359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24607697310,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=532196038), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4014720213945067, y=-0.2437029159969999, z=-0.7044985623224067, w=-0.5320816482999863)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-24.9375, y=-7.375, z=-0.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.80224609375, y=0.5849609375, z=-0.11865234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24628269068,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=552741155), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.397938874433283, y=-0.2445004802116153, z=-0.7033508572038579, w=-0.5358747419515683)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-26.5625, y=-7.0, z=-11.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.85009765625, y=0.62158203125, z=-0.14013671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24644666972,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=569195981), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.39884510560467695, y=-0.24400653897589877, z=-0.7005880592557134, w=-0.5390359560368029)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-21.1875, y=17.3125, z=-11.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0185546875, y=0.54345703125, z=-0.15283203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24659663402,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347781, nanosec=584151183), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4039150380472332, y=-0.2397978519926835, z=-0.7003513239032942, w=-0.5374547937509725)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=20.5625, y=33.1875, z=-5.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.01416015625, y=0.5400390625, z=-0.1435546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
