time,.data
1969/12/31/18:00:07.845000,(1 -1 0 -1 0 -2 -4 -2)
1969/12/31/18:00:07.845000,(1 0 0 -2 -2 -1 2 2)
1969/12/31/18:00:07.847000,(-4 -4 -2 -1 0 -1 -5 -3)
1969/12/31/18:00:07.847000,(0 0 0 -1 1 1 1 -1)
1969/12/31/18:00:07.858000,(1 0 1 0 0 -1 1 0)
1969/12/31/18:00:07.859000,(-2 -3 -3 0 1 -1 0 0)
1969/12/31/18:00:07.868000,(-1 -2 -2 0 -2 -1 -1 0)
1969/12/31/18:00:07.868000,(0 0 0 -1 -1 -1 1 1)
1969/12/31/18:00:07.882000,(-3 -1 -2 -3 -3 -1 -1 0)
1969/12/31/18:00:07.882000,(1 0 -1 -1 -2 1 1 2)
1969/12/31/18:00:07.884000,(-1 1 2 2 3 0 -1 -3)
1969/12/31/18:00:07.884000,(-2 -2 1 -3 -2 -3 -2 -2)
1969/12/31/18:00:07.905000,(5 3 0 3 0 1 3 3)
1969/12/31/18:00:07.905000,(-3 -2 0 1 -1 -1 -1 -2)
1969/12/31/18:00:07.907000,(1 -1 -3 -4 -6 0 3 0)
1969/12/31/18:00:07.907000,(0 -3 -2 3 4 -2 -3 -2)
1969/12/31/18:00:07.919000,(-3 -4 3 -3 -3 0 -1 -3)
1969/12/31/18:00:07.919000,(0 2 -2 2 -1 1 0 1)
1969/12/31/18:00:07.943000,(2 3 4 1 3 6 8 7)
1969/12/31/18:00:07.943000,(-1 1 2 -9 -12 -4 1 -2)
1969/12/31/18:00:07.944000,(6 -1 -12 10 5 5 5 5)
1969/12/31/18:00:07.944000,(-4 -7 3 -3 2 -1 -4 -2)
1969/12/31/18:00:07.945000,(-6 -1 0 -2 -11 -12 -8 -6)
1969/12/31/18:00:07.945000,(5 5 8 8 10 8 4 4)
1969/12/31/18:00:07.965000,(3 6 -1 -2 -2 0 0 2)
1969/12/31/18:00:07.965000,(-1 0 -1 -9 -8 0 0 -2)
1969/12/31/18:00:07.966000,(4 0 -5 7 -4 -5 0 2)
1969/12/31/18:00:07.966000,(5 -1 -3 0 10 4 4 6)
1969/12/31/18:00:07.978000,(-5 -3 2 -5 0 -1 -1 -4)
1969/12/31/18:00:07.978000,(3 0 -7 -7 -13 0 2 1)
1969/12/31/18:00:07.993000,(-3 -2 -2 -20 0 -4 -4 -5)
1969/12/31/18:00:07.993000,(-1 7 2 42 4 3 -3 -4)
1969/12/31/18:00:08.002000,(-8 -14 1 -5 5 -3 -4 -5)
1969/12/31/18:00:08.002000,(-11 -5 -3 -18 -10 -10 -4 -7)
1969/12/31/18:00:08.004000,(9 9 19 23 23 16 10 9)
1969/12/31/18:00:08.004000,(-11 -8 -18 -33 -26 -10 -8 -9)
1969/12/31/18:00:08.025000,(4 -2 -22 -30 -28 -8 0 -1)
1969/12/31/18:00:08.025000,(0 0 11 32 29 3 -5 -3)
1969/12/31/18:00:08.026000,(9 6 9 28 14 8 3 5)
1969/12/31/18:00:08.026000,(3 9 6 11 24 9 3 1)
1969/12/31/18:00:08.039000,(-6 -6 13 17 5 0 -3 -2)
1969/12/31/18:00:08.039000,(-4 -9 -22 -31 -26 -15 -5 -3)
1969/12/31/18:00:08.055000,(-6 -8 -30 -102 -63 -22 -6 -7)
1969/12/31/18:00:08.055000,(7 1 10 58 32 11 5 8)
1969/12/31/18:00:08.062000,(-5 -1 10 32 -34 -8 -5 -6)
1969/12/31/18:00:08.062000,(14 18 36 70 106 41 17 14)
1969/12/31/18:00:08.064000,(-14 -11 -3 17 -17 -4 -6 -11)
1969/12/31/18:00:08.064000,(-6 -16 -43 -73 -24 -18 -12 -4)
1969/12/31/18:00:08.085000,(-15 -11 7 -63 -25 -4 0 -7)
1969/12/31/18:00:08.085000,(7 13 26 93 10 4 4 5)
1969/12/31/18:00:08.087000,(-1 6 0 -26 -21 -12 -10 -5)
1969/12/31/18:00:08.087000,(2 -2 -28 -38 -47 -9 0 -3)
1969/12/31/18:00:08.098000,(13 -2 -33 -40 32 -1 -1 7)
1969/12/31/18:00:08.098000,(-2 1 23 4 -17 -11 -4 -2)
1969/12/31/18:00:08.115000,(-4 0 44 114 92 40 13 2)
1969/12/31/18:00:08.115000,(-6 -2 16 -33 19 17 5 -1)
1969/12/31/18:00:08.122000,(6 5 -26 -4 -2 6 5 5)
1969/12/31/18:00:08.122000,(-6 -21 -61 -99 -65 -23 -9 -7)
1969/12/31/18:00:08.124000,(-6 -12 2 -38 -53 -35 -16 -4)
1969/12/31/18:00:08.124000,(-1 16 45 67 26 2 2 0)
1969/12/31/18:00:08.145000,(1 6 -13 11 8 3 1 -1)
1969/12/31/18:00:08.145000,(6 2 -5 -61 -53 -9 0 3)
1969/12/31/18:00:08.146000,(5 5 0 46 59 23 8 5)
1969/12/31/18:00:08.146000,(-1 -1 23 20 -12 6 4 -2)
1969/12/31/18:00:08.167000,(-11 0 13 56 66 23 3 -5)
1969/12/31/18:00:08.167000,(4 -2 -26 -38 -8 -13 -8 1)
1969/12/31/18:00:08.169000,(-7 -18 -16 -40 -29 -15 -9 -7)
1969/12/31/18:00:08.169000,(-2 3 -4 -50 -47 -20 -7 -2)
1969/12/31/18:00:08.182000,(9 5 2 23 -14 0 2 4)
1969/12/31/18:00:08.182000,(-12 -12 -14 -79 13 2 -2 -7)
1969/12/31/18:00:08.184000,(10 17 17 83 13 8 8 8)
1969/12/31/18:00:08.184000,(3 -1 14 42 43 10 2 4)
