timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
28627595452,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=276484200), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6377851042417476, y=0.026734603852797918, z=0.51680796991242, w=0.570460291343035)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=37.9375, y=12.875, z=-3.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9345703125, y=0.6953125, z=0.5244140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28642595106,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=291498093), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6419018660854972, y=0.016845575262869374, z=0.5166586760876423, w=0.5663409161745107)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=43.375, y=49.6875, z=0.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.091796875, y=0.9287109375, z=0.6396484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28656135655,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=305067570), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6502670842719306, y=0.0024414007293858853, z=0.5079944567669681, w=0.5648790937616592)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=30.1875, y=102.875, z=-9.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.20947265625, y=1.046875, z=0.9033203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28671882948,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=320801503), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6599077384469165, y=-0.014160062460200207, z=0.49206217049195716, w=0.5676231934476806)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.3125, y=140.8125, z=-25.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9833984375, y=1.052734375, z=0.845703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28695036737,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=343941351), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6685892960311912, y=-0.032410162150133516, z=0.47138169921936185, w=0.5742275056656424)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-22.0, y=161.4375, z=-44.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.74462890625, y=1.220703125, z=0.68994140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28716125251,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=365058425), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6677160899601179, y=-0.056212661686770436, z=0.4531192186347272, w=0.5879441585544621)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-12.9375, y=144.0625, z=-116.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.5498046875, y=1.26953125, z=0.54443359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28733210247,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=382121264), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6596687035301783, y=-0.08746347632852937, z=0.4375004873153514, w=0.6047980369430548)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=17.6875, y=140.3125, z=-172.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.435546875, y=1.2509765625, z=0.42822265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28754858291,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=403910214), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6479157447192363, y=-0.12451701547124278, z=0.42036700272080835, w=0.6228902661196237)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=35.375, y=154.5625, z=-206.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.25244140625, y=1.03125, z=0.43359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28776060047,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=425025236), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6311706053916523, y=-0.16723793238305068, z=0.40558250389977074, w=0.6396545734942961)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=76.0625, y=153.875, z=-233.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.1103515625, y=0.75732421875, z=0.51123046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
28792584953,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347067, nanosec=441574521), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6100596148166266, y=-0.22125723899052244, z=0.3977747383451682, w=0.6485736335209079)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=167.0, y=166.875, z=-241.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.03076171875, y=0.677734375, z=0.556640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
