time,.data
1969/12/31/18:00:05.212000,(-1 7 -5 -3 -3 -4 -6 -7)
1969/12/31/18:00:05.212000,(-6 -7 -9 -8 -4 -6 -4 -11)
1969/12/31/18:00:05.214000,(1 1 7 2 2 -4 -15 -11)
1969/12/31/18:00:05.214000,(3 0 7 8 -2 -2 -2 -1)
1969/12/31/18:00:05.226000,(2 -5 -12 -13 -9 -11 -4 -4)
1969/12/31/18:00:05.226000,(4 6 2 8 7 9 10 15)
1969/12/31/18:00:05.235000,(-2 -2 -4 -5 -7 -4 -2 -8)
1969/12/31/18:00:05.235000,(-3 -4 -5 -6 -1 -4 -2 -1)
1969/12/31/18:00:05.250000,(-2 -2 0 4 2 -2 -6 -7)
1969/12/31/18:00:05.250000,(-1 -8 -19 -13 -10 -8 -2 0)
1969/12/31/18:00:05.252000,(-3 2 0 3 5 4 13 25)
1969/12/31/18:00:05.252000,(-1 -1 -1 0 -1 -6 -6 -8)
1969/12/31/18:00:05.272000,(-2 -2 -7 -5 -3 -6 0 1)
1969/12/31/18:00:05.272000,(2 -4 -6 -3 -1 -4 -3 -4)
1969/12/31/18:00:05.278000,(1 -5 -4 -3 -2 -1 6 4)
1969/12/31/18:00:05.278000,(-2 -7 -6 -2 -1 -2 1 0)
1969/12/31/18:00:05.286000,(-3 7 12 6 4 3 0 2)
1969/12/31/18:00:05.286000,(2 3 2 2 -4 -2 -2 -4)
1969/12/31/18:00:05.295000,(2 -4 -9 -3 -6 -7 -7 -2)
1969/12/31/18:00:05.295000,(-2 6 10 1 0 -1 -1 1)
1969/12/31/18:00:05.309000,(2 -5 -7 0 4 4 6 0)
1969/12/31/18:00:05.309000,(-2 2 5 3 1 1 1 4)
1969/12/31/18:00:05.316000,(0 -1 -2 -3 -6 -5 -8 -9)
1969/12/31/18:00:05.316000,(-2 -2 -6 -3 2 1 3 0)
1969/12/31/18:00:05.332000,(-6 -10 -3 -3 -3 -1 -9 -9)
1969/12/31/18:00:05.332000,(-1 6 1 -1 3 -1 -6 -8)
1969/12/31/18:00:05.333000,(2 -1 0 -5 -2 1 6 21)
1969/12/31/18:00:05.333000,(-4 -6 -1 -4 -3 -1 -3 -13)
1969/12/31/18:00:05.355000,(-1 2 4 2 -1 1 -1 -6)
1969/12/31/18:00:05.355000,(3 -1 -2 1 1 1 -12 -6)
1969/12/31/18:00:05.356000,(0 2 0 1 1 1 -4 0)
1969/12/31/18:00:05.356000,(-13 -2 0 -2 -4 -2 -2 -33)
1969/12/31/18:00:05.369000,(14 2 -2 -1 0 1 3 21)
1969/12/31/18:00:05.369000,(-14 -9 -7 -6 -6 -7 -1 -9)
1969/12/31/18:00:05.376000,(-13 -6 4 -2 -2 -2 3 -12)
1969/12/31/18:00:05.376000,(11 3 -1 -1 1 -3 0 21)
1969/12/31/18:00:05.392000,(-1 1 -3 -2 -1 -3 1 -1)
1969/12/31/18:00:05.392000,(0 -3 -3 -3 -1 -1 0 0)
1969/12/31/18:00:05.394000,(-13 -3 -1 -2 -3 -1 3 -11)
1969/12/31/18:00:05.394000,(-5 -3 -4 -1 1 2 2 7)
1969/12/31/18:00:05.415000,(-3 -8 -8 -7 -5 -7 -9 -8)
1969/12/31/18:00:05.415000,(24 12 3 1 2 1 10 18)
1969/12/31/18:00:05.416000,(-15 -8 -3 1 2 -5 -8 -23)
1969/12/31/18:00:05.416000,(11 0 -1 -2 -2 0 -1 12)
1969/12/31/18:00:05.429000,(-22 -4 3 1 1 0 -4 -21)
1969/12/31/18:00:05.429000,(-2 -4 3 2 -1 3 -1 1)
1969/12/31/18:00:05.438000,(12 9 8 4 3 4 -1 -1)
1969/12/31/18:00:05.438000,(14 7 3 3 1 3 1 -1)
1969/12/31/18:00:05.452000,(40 18 6 1 -1 -2 -3 13)
1969/12/31/18:00:05.452000,(-28 -9 -1 -1 -1 7 -3 -26)
1969/12/31/18:00:05.454000,(-33 -15 -5 -1 -3 -1 -9 -9)
1969/12/31/18:00:05.454000,(-13 -10 -8 -7 -6 -5 -5 -15)
1969/12/31/18:00:05.475000,(-6 -1 2 0 -1 -1 1 -4)
1969/12/31/18:00:05.475000,(56 23 7 3 8 17 22 31)
1969/12/31/18:00:05.476000,(-64 -28 -11 -8 -8 -41 -54 -49)
1969/12/31/18:00:05.476000,(14 6 5 3 6 26 16 25)
1969/12/31/18:00:05.489000,(-43 -17 -13 -9 -11 -14 -8 -29)
1969/12/31/18:00:05.489000,(38 11 3 1 2 3 17 43)
1969/12/31/18:00:05.496000,(-7 -5 -4 -3 -2 2 3 -19)
1969/12/31/18:00:05.496000,(17 17 7 3 4 0 4 18)
1969/12/31/18:00:05.512000,(-9 -23 -11 -7 -7 -8 -26 -50)
1969/12/31/18:00:05.512000,(-30 -10 -4 0 -2 -7 -12 -9)
1969/12/31/18:00:05.514000,(17 7 -4 -4 -8 2 29 5)
1969/12/31/18:00:05.514000,(-3 1 2 3 9 12 -9 10)
1969/12/31/18:00:05.535000,(42 30 10 5 6 4 24 35)
1969/12/31/18:00:05.535000,(-50 -12 -3 -2 -8 -7 -20 -39)
1969/12/31/18:00:05.536000,(-40 -21 -7 -3 0 -10 -8 10)
1969/12/31/18:00:05.536000,(-19 -15 -8 -6 -6 8 -18 -52)
1969/12/31/18:00:05.549000,(-3 -5 -1 -4 -3 -6 -11 -13)
1969/12/31/18:00:05.549000,(22 18 4 0 -2 -5 -4 5)
1969/12/31/18:00:05.565000,(49 25 8 7 5 14 26 29)
1969/12/31/18:00:05.565000,(-24 -9 -3 2 1 8 6 4)
1969/12/31/18:00:05.572000,(24 10 4 5 7 6 -7 50)
1969/12/31/18:00:05.572000,(-39 -27 -16 -10 -11 -21 -22 -55)
1969/12/31/18:00:05.574000,(25 21 6 -1 -2 4 7 18)
1969/12/31/18:00:05.574000,(45 7 -1 -6 -7 -13 16 23)
1969/12/31/18:00:05.595000,(-51 -8 4 1 -2 -6 -3 -21)
1969/12/31/18:00:05.595000,(26 -2 -6 -3 -3 -6 15 61)
1969/12/31/18:00:05.596000,(-12 0 -4 -2 4 46 -1 -32)
1969/12/31/18:00:05.596000,(23 -7 -5 -5 -5 15 10 22)
1969/12/31/18:00:05.608000,(36 17 6 4 -5 -41 -14 31)
1969/12/31/18:00:05.608000,(-11 5 0 -1 3 14 -15 -38)
1969/12/31/18:00:05.618000,(16 0 2 2 3 -12 10 -2)
1969/12/31/18:00:05.618000,(11 -6 -1 -1 -1 -5 12 39)
1969/12/31/18:00:05.632000,(-13 -1 -4 -3 -1 41 40 22)
1969/12/31/18:00:05.632000,(-9 -9 3 3 0 -34 -28 9)
1969/12/31/18:00:05.634000,(31 21 8 6 4 -5 -4 -2)
1969/12/31/18:00:05.634000,(-22 -11 -12 -10 -10 -19 -16 -40)
1969/12/31/18:00:05.655000,(-42 -24 -7 -4 -1 -16 -4 -24)
1969/12/31/18:00:05.655000,(7 3 2 2 1 -1 4 -4)
1969/12/31/18:00:05.656000,(28 21 14 8 10 23 20 21)
1969/12/31/18:00:05.656000,(-29 -5 -1 3 0 -15 -12 23)
1969/12/31/18:00:05.668000,(0 -7 -4 -5 -3 10 -11 -47)
1969/12/31/18:00:05.668000,(5 8 7 3 1 8 5 -7)
1969/12/31/18:00:05.677000,(-4 -15 -11 -6 0 17 1 25)
1969/12/31/18:00:05.677000,(8 5 1 2 -1 -11 34 46)
1969/12/31/18:00:05.692000,(-12 8 4 5 4 4 -22 -4)
1969/12/31/18:00:05.692000,(15 -5 -6 -4 -4 -10 -2 -22)
1969/12/31/18:00:05.694000,(-34 -16 -3 -4 -4 3 2 -17)
1969/12/31/18:00:05.694000,(-42 -15 -8 -10 -9 -41 -41 -57)
1969/12/31/18:00:05.716000,(9 5 3 3 11 40 32 15)
1969/12/31/18:00:05.716000,(0 9 6 4 2 7 13 13)
1969/12/31/18:00:05.717000,(30 30 13 11 7 -8 -9 41)
1969/12/31/18:00:05.717000,(-9 -22 -9 -8 -7 -4 -22 -59)
1969/12/31/18:00:05.728000,(-2 -2 0 -4 -7 -22 1 -6)
1969/12/31/18:00:05.728000,(5 -3 -4 -2 -1 3 -6 18)
1969/12/31/18:00:05.737000,(20 1 -1 -4 0 -8 -5 -1)
1969/12/31/18:00:05.737000,(18 20 15 13 11 11 7 -1)
1969/12/31/18:00:05.752000,(3 -13 -14 -10 -11 -9 -22 -27)
1969/12/31/18:00:05.752000,(-18 -11 -5 -5 -4 15 -7 -54)
1969/12/31/18:00:05.754000,(27 10 2 0 -16 -71 7 26)
1969/12/31/18:00:05.754000,(-12 -10 -6 -3 0 -14 -53 -42)
1969/12/31/18:00:05.775000,(3 7 6 5 5 18 24 36)
1969/12/31/18:00:05.775000,(-31 -11 -5 -2 -4 -16 4 -24)
1969/12/31/18:00:05.776000,(-25 -18 -5 -5 -4 -4 -15 -7)
1969/12/31/18:00:05.776000,(5 -1 4 1 2 15 33 36)
1969/12/31/18:00:05.788000,(36 16 5 5 3 -7 -10 9)
1969/12/31/18:00:05.788000,(-3 2 -4 -3 -4 -47 -3 38)
1969/12/31/18:00:05.797000,(24 -3 3 2 10 56 12 7)
1969/12/31/18:00:05.797000,(-54 -9 -4 2 0 1 -18 -69)
1969/12/31/18:00:05.812000,(-16 -15 -6 -4 -3 -1 16 -23)
1969/12/31/18:00:05.812000,(14 -7 -2 -5 -3 -5 10 53)
1969/12/31/18:00:05.814000,(1 6 2 1 1 4 1 -3)
1969/12/31/18:00:05.814000,(22 19 7 4 3 0 -14 6)
1969/12/31/18:00:05.835000,(1 -5 -8 -6 -5 -13 -14 -32)
1969/12/31/18:00:05.835000,(7 13 10 7 13 57 19 8)
1969/12/31/18:00:05.836000,(-27 -30 -14 -13 -17 -73 -32 -33)
1969/12/31/18:00:05.836000,(10 -2 -3 -6 -6 -9 21 52)
1969/12/31/18:00:05.848000,(-1 9 5 7 11 24 13 44)
1969/12/31/18:00:05.848000,(19 0 -3 0 -1 7 4 0)
1969/12/31/18:00:05.857000,(14 11 5 4 3 3 17 50)
1969/12/31/18:00:05.857000,(9 2 1 -1 -3 8 16 -32)
1969/12/31/18:00:05.872000,(-2 -6 -5 -5 -7 -13 -10 -27)
1969/12/31/18:00:05.872000,(3 -2 -5 -2 -5 7 0 5)
1969/12/31/18:00:05.874000,(33 7 4 6 6 14 6 31)
1969/12/31/18:00:05.874000,(-40 -5 -6 -7 -10 -35 -15 -45)
1969/12/31/18:00:05.895000,(-8 -16 -2 -3 -2 11 17 29)
1969/12/31/18:00:05.895000,(-8 -1 -2 -2 -2 5 -32 -40)
1969/12/31/18:00:05.897000,(23 30 11 6 0 -27 17 8)
1969/12/31/18:00:05.897000,(-20 -20 -10 -4 1 11 12 3)
1969/12/31/18:00:05.908000,(-91 -33 -11 -7 -3 -15 -39 -59)
1969/12/31/18:00:05.908000,(-1 -8 -6 -8 2 -3 33 48)
1969/12/31/18:00:05.917000,(-11 -11 -9 -9 -5 3 1 -48)
1969/12/31/18:00:05.917000,(24 22 9 6 11 52 1 42)
1969/12/31/18:00:05.932000,(8 7 2 3 -4 -19 -29 22)
1969/12/31/18:00:05.932000,(-16 -5 1 1 -2 -17 -26 -54)
1969/12/31/18:00:05.934000,(-2 4 -3 0 9 83 19 8)
1969/12/31/18:00:05.934000,(52 18 9 5 -11 -36 68 68)
1969/12/31/18:00:05.955000,(15 -12 -10 -9 -5 -31 -69 -32)
1969/12/31/18:00:05.955000,(21 0 0 5 27 77 3 24)
1969/12/31/18:00:05.956000,(-32 -18 -8 -2 11 42 5 -25)
1969/12/31/18:00:05.956000,(-5 -1 2 -2 -7 -32 -14 4)
1969/12/31/18:00:05.968000,(15 11 8 11 3 -14 31 29)
1969/12/31/18:00:05.968000,(7 7 2 2 -36 -40 -18 -30)
1969/12/31/18:00:05.977000,(-30 -20 -19 -29 -40 -39 -40 -31)
1969/12/31/18:00:05.977000,(-3 -4 -9 -18 -5 -7 12 30)
1969/12/31/18:00:05.992000,(31 15 6 4 21 11 17 9)
1969/12/31/18:00:05.992000,(-51 -3 6 20 80 68 28 -5)
1969/12/31/18:00:05.994000,(-21 -1 6 10 -39 -37 -9 -5)
1969/12/31/18:00:05.994000,(-11 -9 -6 -3 8 2 -15 -18)
1969/12/31/18:00:06.015000,(26 17 9 -3 -60 -33 -6 2)
1969/12/31/18:00:06.015000,(-14 -24 -12 -8 4 -21 2 -13)
1969/12/31/18:00:06.016000,(4 7 1 -10 -30 -25 -21 -2)
1969/12/31/18:00:06.016000,(5 9 3 -1 9 15 -14 3)
