time,.data
1969/12/31/18:00:13.314,(-2 -1 -1 -1 -2 -1 -1 1)
1969/12/31/18:00:13.314,(-2 -1 -4 -3 -2 -1 0 -1)
1969/12/31/18:00:13.314,(1 -1 1 -1 0 0 -1 -1)
1969/12/31/18:00:13.315,(-2 -3 -7 -4 -1 -1 -1 -2)
1969/12/31/18:00:13.316,(0 1 4 3 2 0 1 -1)
1969/12/31/18:00:13.316,(0 -1 -1 1 0 -1 -1 0)
1969/12/31/18:00:13.335,(1 0 2 1 -1 -2 1 0)
1969/12/31/18:00:13.335,(-2 -2 -3 -2 -1 -1 0 -1)
1969/12/31/18:00:13.337,(-1 -3 1 2 -1 -1 -2 -1)
1969/12/31/18:00:13.337,(-2 0 -2 -1 -1 -1 -3 -3)
1969/12/31/18:00:13.350,(0 -1 -2 0 -2 -1 0 -1)
1969/12/31/18:00:13.350,(-1 -4 -6 -5 -3 -1 -3 -3)
1969/12/31/18:00:13.352,(0 2 1 0 0 -2 -1 1)
1969/12/31/18:00:13.352,(0 -1 1 3 -1 -1 -1 -1)
1969/12/31/18:00:13.373,(-2 0 -1 -2 0 -1 -2 -1)
1969/12/31/18:00:13.373,(-1 -3 -2 -1 1 -1 -1 0)
1969/12/31/18:00:13.374,(-2 1 0 -1 -3 -3 -3 -2)
1969/12/31/18:00:13.374,(-1 -3 0 -2 0 1 -1 0)
1969/12/31/18:00:13.396,(-5 -8 -23 -17 -2 -1 -2 -2)
1969/12/31/18:00:13.396,(2 8 20 7 -1 -2 0 1)
1969/12/31/18:00:13.426,(1 3 6 13 5 3 -1 0)
1969/12/31/18:00:13.426,(-1 -5 -1 -2 -1 -8 -2 -1)
1969/12/31/18:00:13.427,(-2 -5 -15 -6 -1 7 -3 -2)
1969/12/31/18:00:13.427,(-2 -2 1 -4 -3 -1 6 0)
1969/12/31/18:00:13.429,(2 5 10 -2 -1 -5 -6 -1)
1969/12/31/18:00:13.429,(0 -2 0 4 -1 1 2 -1)
1969/12/31/18:00:13.440,(-6 -10 -16 -11 -4 -10 -11 -4)
1969/12/31/18:00:13.440,(0 2 -12 -20 -3 2 5 -1)
1969/12/31/18:00:13.442,(-2 -1 1 9 1 2 4 0)
1969/12/31/18:00:13.442,(0 8 29 12 1 1 0 0)
1969/12/31/18:00:13.456,(4 5 6 9 2 -1 0 4)
1969/12/31/18:00:13.456,(-3 -5 -7 2 0 -1 -3 1)
1969/12/31/18:00:13.457,(-2 -6 -14 -16 -4 -2 0 0)
1969/12/31/18:00:13.457,(-6 -7 -15 -12 -5 -4 -1 -1)
1969/12/31/18:00:13.469,(-2 -2 -2 -6 -2 -2 4 2)
1969/12/31/18:00:13.469,(-3 -3 -8 -3 -4 -6 -5 -6)
1969/12/31/18:00:13.478,(-4 -4 -13 -12 -2 -2 2 0)
1969/12/31/18:00:13.478,(-2 7 5 1 8 -3 5 10)
1969/12/31/18:00:13.493,(7 6 15 9 2 3 -5 -9)
1969/12/31/18:00:13.493,(1 -2 -3 4 3 3 1 6)
1969/12/31/18:00:13.494,(-4 -10 -9 -5 -6 -2 -3 -1)
1969/12/31/18:00:13.494,(1 -4 -7 -7 -6 5 2 1)
1969/12/31/18:00:13.516,(0 4 5 0 -3 -4 -9 -13)
1969/12/31/18:00:13.516,(-1 -1 5 2 -1 5 -4 -1)
1969/12/31/18:00:13.517,(-1 -5 -5 -6 -3 3 -2 0)
1969/12/31/18:00:13.517,(-1 1 6 5 -3 1 -7 -7)
1969/12/31/18:00:13.529,(1 -2 8 5 -1 3 3 6)
1969/12/31/18:00:13.529,(0 2 5 6 -2 -2 -5 -6)
1969/12/31/18:00:13.538,(1 1 2 -1 -2 0 -1 -1)
1969/12/31/18:00:13.538,(-3 1 -3 1 2 3 -1 -4)
1969/12/31/18:00:13.568,(-4 -1 8 6 0 1 0 -1)
1969/12/31/18:00:13.568,(-2 -4 -1 1 0 -2 -2 -2)
1969/12/31/18:00:13.570,(-3 -3 3 4 1 2 1 0)
1969/12/31/18:00:13.570,(3 -1 -4 0 0 1 1 3)
1969/12/31/18:00:13.575,(-2 -2 -3 -2 -2 -2 -4 0)
1969/12/31/18:00:13.575,(1 0 0 1 -1 0 0 2)
1969/12/31/18:00:13.577,(-1 3 2 2 1 -2 2 -1)
1969/12/31/18:00:13.577,(1 -3 -7 -4 0 -1 -2 -3)
1969/12/31/18:00:13.589,(-1 0 3 0 -1 0 7 5)
1969/12/31/18:00:13.589,(-3 -1 -1 1 -1 -3 -1 -2)
1969/12/31/18:00:13.598,(-1 0 -2 0 -1 -3 -6 -5)
1969/12/31/18:00:13.598,(0 -2 -6 -6 -1 -3 2 0)
1969/12/31/18:00:13.613,(-1 -2 -2 -2 -1 -1 4 3)
1969/12/31/18:00:13.613,(-2 -1 0 -1 -1 -3 -2 -4)
1969/12/31/18:00:13.614,(1 -3 -10 -4 -1 -3 -2 1)
1969/12/31/18:00:13.614,(-1 -1 -6 -5 -5 -3 -3 -2)
1969/12/31/18:00:13.635,(-4 10 22 8 3 0 1 -1)
1969/12/31/18:00:13.635,(0 -1 -3 0 -1 -1 -1 0)
1969/12/31/18:00:13.637,(-4 -9 -2 -2 -2 -1 -3 -3)
1969/12/31/18:00:13.637,(-1 2 -1 0 1 0 -2 -1)
1969/12/31/18:00:13.658,(3 0 -7 -4 -3 -1 0 -2)
1969/12/31/18:00:13.658,(-3 -7 0 -2 -1 -1 -3 -4)
1969/12/31/18:00:13.659,(-1 0 -9 -6 0 1 0 1)
1969/12/31/18:00:13.659,(-3 -11 -14 -8 -3 0 8 6)
1969/12/31/18:00:13.673,(-5 29 44 19 5 1 -5 -7)
1969/12/31/18:00:13.673,(3 0 -6 -3 -3 -2 0 1)
