time,.data
1969/12/31/18:00:06.030,(-24 -9 -2 6 -1 -5 -10 -12)
1969/12/31/18:00:06.030,(16 -4 -5 -2 -2 -9 -7 -4)
1969/12/31/18:00:06.031,(27 29 15 4 8 19 19 16)
1969/12/31/18:00:06.031,(6 -7 -8 10 2 -4 -4 -5)
1969/12/31/18:00:06.045,(-2 8 -4 -12 -8 -8 -10 -14)
1969/12/31/18:00:06.045,(-23 -16 2 10 1 -2 -3 1)
1969/12/31/18:00:06.046,(18 9 3 14 7 10 14 12)
1969/12/31/18:00:06.046,(-3 -10 -9 -7 -5 -8 -10 -6)
1969/12/31/18:00:06.067,(-1 -4 -3 4 -1 1 1 5)
1969/12/31/18:00:06.067,(3 7 3 7 3 1 2 3)
1969/12/31/18:00:06.068,(-6 -11 -13 -42 -13 -9 -4 3)
1969/12/31/18:00:06.068,(8 8 16 78 21 10 6 7)
1969/12/31/18:00:06.080,(-1 2 6 3 -4 -2 -5 -4)
1969/12/31/18:00:06.080,(-9 1 1 2 1 2 0 -3)
1969/12/31/18:00:06.089,(28 1 0 -7 -6 -3 -2 9)
1969/12/31/18:00:06.089,(-20 2 -2 -22 2 6 -2 -13)
1969/12/31/18:00:06.104,(-15 -5 -1 1 -2 0 -2 -8)
1969/12/31/18:00:06.104,(34 10 0 2 3 8 13 24)
1969/12/31/18:00:06.106,(-34 -6 7 3 1 -1 -9 -25)
1969/12/31/18:00:06.106,(19 2 -13 -31 -16 -11 -10 -3)
1969/12/31/18:00:06.134,(7 -2 0 -4 -15 0 2 8)
1969/12/31/18:00:06.134,(-7 -2 2 12 25 4 0 -5)
1969/12/31/18:00:06.136,(-16 -5 4 10 -2 -6 -2 4)
1969/12/31/18:00:06.136,(16 8 4 13 15 7 8 9)
1969/12/31/18:00:06.140,(-14 -10 -7 -13 -7 -3 -1 -7)
1969/12/31/18:00:06.140,(13 10 -9 -30 -14 -2 1 1)
1969/12/31/18:00:06.149,(-4 -3 -6 -7 -8 -4 -4 -3)
1969/12/31/18:00:06.149,(-17 -8 6 20 -8 -6 -6 -10)
1969/12/31/18:00:06.164,(11 5 6 20 25 4 5 9)
1969/12/31/18:00:06.164,(-3 -4 2 0 -4 -3 1 4)
1969/12/31/18:00:06.166,(-17 -6 2 3 8 2 0 -13)
1969/12/31/18:00:06.166,(-33 -14 -14 -46 -24 -17 -21 -16)
1969/12/31/18:00:06.187,(52 20 -11 -23 -6 5 13 20)
1969/12/31/18:00:06.187,(-37 -14 -11 -36 -34 -11 -16 -30)
1969/12/31/18:00:06.188,(13 4 19 70 29 3 2 10)
1969/12/31/18:00:06.188,(0 -6 11 27 18 0 -3 2)
1969/12/31/18:00:06.200,(-17 -8 4 28 9 -2 -4 -2)
1969/12/31/18:00:06.200,(-4 -5 -14 -36 -3 1 2 3)
1969/12/31/18:00:06.209,(10 3 -17 -40 -33 -10 -4 -2)
1969/12/31/18:00:06.209,(-11 -2 -2 12 5 4 6 1)
1969/12/31/18:00:06.224,(14 5 21 51 25 8 7 8)
1969/12/31/18:00:06.224,(14 6 3 -5 -6 0 -1 3)
1969/12/31/18:00:06.226,(-33 -16 -7 -13 -4 0 -1 -12)
1969/12/31/18:00:06.226,(9 -4 -2 -5 1 6 12 19)
1969/12/31/18:00:06.247,(19 10 -15 -64 -24 -8 -12 -6)
1969/12/31/18:00:06.247,(-24 -15 -2 38 7 4 -1 -15)
1969/12/31/18:00:06.249,(20 7 8 8 6 -2 5 22)
1969/12/31/18:00:06.249,(-27 -24 -73 -113 -46 -20 -21 -30)
1969/12/31/18:00:06.262,(-7 -5 2 75 -21 0 14 11)
1969/12/31/18:00:06.262,(8 26 92 120 76 14 1 0)
1969/12/31/18:00:06.270,(-31 -9 24 37 44 9 -9 -20)
1969/12/31/18:00:06.270,(40 16 13 -31 5 8 15 22)
1969/12/31/18:00:06.285,(-24 -13 -35 -84 -14 1 0 -8)
1969/12/31/18:00:06.285,(26 7 -40 -71 -41 -7 3 8)
1969/12/31/18:00:06.286,(15 -2 10 14 -4 -1 3 11)
1969/12/31/18:00:06.286,(-29 16 21 21 17 16 15 -7)
1969/12/31/18:00:06.307,(-3 -7 -9 -10 -12 -11 -11 -16)
1969/12/31/18:00:06.307,(-1 -12 -8 -2 -6 -15 -6 10)
1969/12/31/18:00:06.309,(-6 -7 -14 -22 -8 0 -6 -19)
