timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
42713106771,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=60796771), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.40430143712447, y=0.14496013181923553, z=0.4019820750153622, w=0.8086639100939165)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-125.75, y=-50.3125, z=92.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.54541015625, y=0.83154296875, z=0.52197265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.713106771,"[-0.40430143712447, 0.14496013181923553, 0.4019820750153622, 0.8086639100939165]","[-125.75, -50.3125, 92.8125]","[0.54541015625, 0.83154296875, 0.52197265625]"
42735442297,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=83261431), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.41212811833054, y=0.17066205847929353, z=0.3789234832043828, w=0.8108278915732959)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-166.6875, y=-46.5625, z=111.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.40625, y=0.55419921875, z=0.54345703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.735442297,"[-0.41212811833054, 0.17066205847929353, 0.3789234832043828, 0.8108278915732959]","[-166.6875, -46.5625, 111.8125]","[0.40625, 0.55419921875, 0.54345703125]"
42757946963,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=105774256), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4200682156762738, y=0.19929129964879888, z=0.35603863732050345, w=0.810593708831868)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-165.6875, y=-62.5625, z=122.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.50830078125, y=0.33447265625, z=0.58740234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.757946963,"[-0.4200682156762738, 0.19929129964879888, 0.35603863732050345, 0.810593708831868]","[-165.6875, -62.5625, 122.375]","[0.50830078125, 0.33447265625, 0.58740234375]"
42773301495,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=120911499), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4277461836369648, y=0.22504283377133125, z=0.34113490587143214, w=0.8062356363671045)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-111.9375, y=-72.6875, z=113.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.74609375, y=0.25537109375, z=0.7294921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.773301495,"[-0.4277461836369648, 0.22504283377133125, 0.34113490587143214, 0.8062356363671045]","[-111.9375, -72.6875, 113.6875]","[0.74609375, 0.25537109375, 0.7294921875]"
42795659728,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=143294528), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4373941541253309, y=0.23902253803443982, z=0.3368655228325009, w=0.7987967199327666)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-24.625, y=-44.25, z=93.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0546875, y=0.45703125, z=1.01220703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.795659728,"[-0.4373941541253309, 0.23902253803443982, 0.3368655228325009, 0.7987967199327666]","[-24.625, -44.25, 93.0625]","[1.0546875, 0.45703125, 1.01220703125]"
42815415322,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=162981775), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.44318497447567645, y=0.23407442185845187, z=0.3414373705022633, w=0.7951205980573801)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=56.375, y=7.75, z=16.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.810546875, y=0.33740234375, z=0.99462890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.815415322,"[-0.44318497447567645, 0.23407442185845187, 0.3414373705022633, 0.7951205980573801]","[56.375, 7.75, 16.75]","[0.810546875, 0.33740234375, 0.99462890625]"
42839218368,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=186878853), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4473813871792986, y=0.22448413943321424, z=0.357111663899874, w=0.7886241342078741)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=115.3125, y=3.0625, z=-5.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.72119140625, y=0.28857421875, z=0.71728515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.839218368,"[-0.4473813871792986, 0.22448413943321424, 0.357111663899874, 0.7886241342078741]","[115.3125, 3.0625, -5.4375]","[0.72119140625, 0.28857421875, 0.71728515625]"
42871945709,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=219647311), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4502621689623552, y=0.21185576636415007, z=0.3783618253216267, w=0.7805276693358545)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=149.5625, y=-1.4375, z=-20.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.70556640625, y=0.30126953125, z=0.599609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.871945709,"[-0.4502621689623552, 0.21185576636415007, 0.3783618253216267, 0.7805276693358545]","[149.5625, -1.4375, -20.625]","[0.70556640625, 0.30126953125, 0.599609375]"
42876624098,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=224337789), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.45118203377318483, y=0.19543897079839528, z=0.40931097382074916, w=0.7685719925963127)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=210.0625, y=-19.9375, z=-40.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.71142578125, y=0.306640625, z=0.703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.876624098,"[-0.45118203377318483, 0.19543897079839528, 0.40931097382074916, 0.7685719925963127]","[210.0625, -19.9375, -40.5625]","[0.71142578125, 0.306640625, 0.703125]"
42893110405,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=240795542), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4528261839103008, y=0.1716943058821507, z=0.44672258256361924, w=0.7522688659784953)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=268.75, y=-3.8125, z=-52.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.40673828125, y=0.662109375, z=0.92919921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.893110405,"[-0.4528261839103008, 0.1716943058821507, 0.44672258256361924, 0.7522688659784953]","[268.75, -3.8125, -52.9375]","[1.40673828125, 0.662109375, 0.92919921875]"
42915662421,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=263384623), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4437930126344479, y=0.13653761095630038, z=0.47711868790585604, w=0.7461655314889459)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=226.8125, y=47.0, z=-143.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.3310546875, y=1.201171875, z=0.7919921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.915662421,"[-0.4437930126344479, 0.13653761095630038, 0.47711868790585604, 0.7461655314889459]","[226.8125, 47.0, -143.75]","[1.3310546875, 1.201171875, 0.7919921875]"
42935389123,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=283007398), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.4315854655199503, y=0.10351703429809585, z=0.48712821387565036, w=0.7521464703157047)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=94.8125, y=88.6875, z=-160.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.93017578125, y=1.541015625, z=0.63134765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.935389123,"[-0.4315854655199503, 0.10351703429809585, 0.48712821387565036, 0.7521464703157047]","[94.8125, 88.6875, -160.5625]","[0.93017578125, 1.541015625, 0.63134765625]"
42953173386,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=300857099), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.41150434672119696, y=0.07330417093031111, z=0.4776062760446998, w=0.7727761100321974)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-43.0625, y=110.5, z=-209.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.66943359375, y=1.65478515625, z=0.68310546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.953173386,"[-0.41150434672119696, 0.07330417093031111, 0.4776062760446998, 0.7727761100321974]","[-43.0625, 110.5, -209.625]","[0.66943359375, 1.65478515625, 0.68310546875]"
42982410880,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=330100873), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3830541904943375, y=0.04107639741916653, z=0.4514131282498598, w=0.804865457305422)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-146.125, y=140.25, z=-274.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4140625, y=1.37646484375, z=0.67626953125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.98241088,"[-0.3830541904943375, 0.04107639741916653, 0.4514131282498598, 0.804865457305422]","[-146.125, 140.25, -274.375]","[0.4140625, 1.37646484375, 0.67626953125]"
42996070174,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=343688438), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.35256131536737517, y=0.0006714290978256799, z=0.4208639663189148, w=0.835807148775185)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-143.25, y=179.4375, z=-301.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0244140625, y=1.03369140625, z=0.6494140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,42.996070174,"[-0.35256131536737517, 0.0006714290978256799, 0.4208639663189148, 0.835807148775185]","[-143.25, 179.4375, -301.25]","[0.0244140625, 1.03369140625, 0.6494140625]"
43012389564,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=360119701), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.32038605375132223, y=-0.05017285886522897, z=0.39595052975515854, w=0.8591033923699486)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-73.5, y=208.9375, z=-315.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.53076171875, y=0.63037109375, z=0.59619140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.012389564,"[-0.32038605375132223, -0.05017285886522897, 0.39595052975515854, 0.8591033923699486]","[-73.5, 208.9375, -315.9375]","[-0.53076171875, 0.63037109375, 0.59619140625]"
43034513854,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=382401567), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.2852300686286321, y=-0.11395774408937644, z=0.39039835629118996, w=0.8678977842564776)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=80.375, y=234.25, z=-327.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.6650390625, y=0.513671875, z=0.498046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.034513854,"[-0.2852300686286321, -0.11395774408937644, 0.39039835629118996, 0.8678977842564776]","[80.375, 234.25, -327.75]","[-0.6650390625, 0.513671875, 0.498046875]"
43056022285,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=403641550), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.24890573223683546, y=-0.18652670861102727, z=0.4046701826214368, w=0.8599393971272131)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=230.375, y=256.125, z=-314.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.66259765625, y=0.5751953125, z=0.31396484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.056022285,"[-0.24890573223683546, -0.18652670861102727, 0.4046701826214368, 0.8599393971272131]","[230.375, 256.125, -314.0]","[-0.66259765625, 0.5751953125, 0.31396484375]"
43072375705,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=420115777), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.21381561646786446, y=-0.2594108963712315, z=0.42250405286627396, w=0.841712061402184)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=268.125, y=265.8125, z=-289.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.82421875, y=0.767578125, z=0.1669921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.072375705,"[-0.21381561646786446, -0.2594108963712315, 0.42250405286627396, 0.841712061402184]","[268.125, 265.8125, -289.8125]","[-0.82421875, 0.767578125, 0.1669921875]"
43100907937,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=448558662), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.18292345461542328, y=-0.3292255969955266, z=0.43408462102932616, w=0.8183642574186171)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=240.625, y=276.875, z=-264.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.048828125, y=0.96435546875, z=0.189453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.100907937,"[-0.18292345461542328, -0.3292255969955266, 0.43408462102932616, 0.8183642574186171]","[240.625, 276.875, -264.375]","[-1.048828125, 0.96435546875, 0.189453125]"
43116005075,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=463599231), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.15417480325163524, y=-0.39453124632564146, z=0.4406738240209052, w=0.791442863722864)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=221.5, y=275.6875, z=-248.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.1923828125, y=0.8876953125, z=0.35302734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.116005075,"[-0.15417480325163524, -0.39453124632564146, 0.4406738240209052, 0.791442863722864]","[221.5, 275.6875, -248.125]","[-1.1923828125, 0.8876953125, 0.35302734375]"
43132499186,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=480079920), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.12707898877239135, y=-0.4499646038569016, z=0.4444102388337087, w=0.764121931047823)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=202.4375, y=243.25, z=-222.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.23193359375, y=0.814453125, z=0.60302734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.132499186,"[-0.12707898877239135, -0.4499646038569016, 0.4444102388337087, 0.764121931047823]","[202.4375, 243.25, -222.0625]","[-1.23193359375, 0.814453125, 0.60302734375]"
43154736021,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=502483670), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.10534929858374412, y=-0.4909179655324762, z=0.44672741386698905, w=0.7404969237647645)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=164.5, y=188.5625, z=-171.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.072265625, y=0.80029296875, z=0.70751953125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.154736021,"[-0.10534929858374412, -0.4909179655324762, 0.44672741386698905, 0.7404969237647645]","[164.5, 188.5625, -171.125]","[-1.072265625, 0.80029296875, 0.70751953125]"
43176188388,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=523778804), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.09131110739974516, y=-0.5190572575718133, z=0.44886489560008414, w=0.7216385179058736)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=122.5, y=142.25, z=-112.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.83154296875, y=0.70654296875, z=0.7041015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.176188388,"[-0.09131110739974516, -0.5190572575718133, 0.44886489560008414, 0.7216385179058736]","[122.5, 142.25, -112.0]","[-0.83154296875, 0.70654296875, 0.7041015625]"
43192171989,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344065, nanosec=539917008), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.08441168414260816, y=-0.537048740976724, z=0.45275912723779277, w=0.7067266020876789)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=92.5, y=106.4375, z=-53.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.62158203125, y=0.48291015625, z=0.642578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,43.192171989,"[-0.08441168414260816, -0.537048740976724, 0.45275912723779277, 0.7067266020876789]","[92.5, 106.4375, -53.0625]","[-0.62158203125, 0.48291015625, 0.642578125]"
