timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
28892868377,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=221491376), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8231335098477107, y=0.4660110001251128, z=-0.31213886766729887, w=0.08862448882536526)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-36.3125, y=-1.875, z=-4.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6435546875, y=0.7236328125, z=0.30859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.892868377,"[0.8231335098477107, 0.4660110001251128, -0.31213886766729887, 0.08862448882536526]","[-36.3125, -1.875, -4.875]","[0.6435546875, 0.7236328125, 0.30859375]"
28909698975,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=238136538), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8261851511086628, y=0.4607007624533234, z=-0.312810202381198, w=0.08557266414408578)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-41.6875, y=0.875, z=-7.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.63916015625, y=0.68359375, z=0.31201171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.909698975,"[0.8261851511086628, 0.4607007624533234, -0.312810202381198, 0.08557266414408578]","[-41.6875, 0.875, -7.8125]","[0.63916015625, 0.68359375, 0.31201171875]"
28931898704,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=260487482), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8282009387784863, y=0.4577108733067926, z=-0.31268873235774086, w=0.08252101623026852)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-27.0625, y=1.5625, z=-15.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.63427734375, y=0.64208984375, z=0.31005859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.931898704,"[0.8282009387784863, 0.4577108733067926, -0.31268873235774086, 0.08252101623026852]","[-27.0625, 1.5625, -15.25]","[0.63427734375, 0.64208984375, 0.31005859375]"
28952700581,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=281343397), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8282281548903807, y=0.4583362970795098, z=-0.3122717400264712, w=0.08032635064011652)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.75, y=1.125, z=-18.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.64111328125, y=0.626953125, z=0.2998046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.952700581,"[0.8282281548903807, 0.4583362970795098, -0.3122717400264712, 0.08032635064011652]","[-2.75, 1.125, -18.625]","[0.64111328125, 0.626953125, 0.2998046875]"
28969263184,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=297869911), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8269912710868029, y=0.46144025458825233, z=-0.3112890606349321, w=0.0791040436437004)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=12.75, y=2.5625, z=-16.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6357421875, y=0.69140625, z=0.294921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.969263184,"[0.8269912710868029, 0.46144025458825233, -0.3112890606349321, 0.0791040436437004]","[12.75, 2.5625, -16.6875]","[0.6357421875, 0.69140625, 0.294921875]"
28991917773,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=320499899), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.825571369687101, y=0.46497136583441784, z=-0.309940219966812, w=0.07855318296520028)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=14.1875, y=6.1875, z=-13.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6513671875, y=0.7646484375, z=0.28515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,28.991917773,"[0.825571369687101, 0.46497136583441784, -0.309940219966812, 0.07855318296520028]","[14.1875, 6.1875, -13.5]","[0.6513671875, 0.7646484375, 0.28515625]"
29012740327,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=341382462), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8251026323412679, y=0.46742387619983944, z=-0.30756710788338876, w=0.07824985757223743)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.5625, y=14.3125, z=-12.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.68798828125, y=0.84130859375, z=0.3046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,29.012740327,"[0.8251026323412679, 0.46742387619983944, -0.30756710788338876, 0.07824985757223743]","[6.5625, 14.3125, -12.1875]","[0.68798828125, 0.84130859375, 0.3046875]"
29029247867,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=357895797), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8266952330064546, y=0.4671829085522301, z=-0.30366278678434083, w=0.07812831499175)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.3125, y=28.0, z=-13.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.74755859375, y=0.900390625, z=0.322265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,29.029247867,"[0.8266952330064546, 0.4671829085522301, -0.30366278678434083, 0.07812831499175]","[-11.3125, 28.0, -13.3125]","[0.74755859375, 0.900390625, 0.322265625]"
29051797310,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=380448097), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8312017946814382, y=0.4633318272453221, z=-0.2971280905058923, w=0.07837150127558867)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-31.3125, y=44.9375, z=-12.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.7021484375, y=0.87353515625, z=0.39111328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,29.05179731,"[0.8312017946814382, 0.4633318272453221, -0.2971280905058923, 0.07837150127558867]","[-31.3125, 44.9375, -12.75]","[0.7021484375, 0.87353515625, 0.39111328125]"
29074425313,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187181, nanosec=402897623), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=0.8368058925437404, y=0.45868681856062793, z=-0.2879076145243489, w=0.08044567223724652)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-31.0, y=61.6875, z=-8.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6181640625, y=0.8310546875, z=0.443359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,29.074425313,"[0.8368058925437404, 0.45868681856062793, -0.2879076145243489, 0.08044567223724652]","[-31.0, 61.6875, -8.0]","[0.6181640625, 0.8310546875, 0.443359375]"
