timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
16303344396,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345064, nanosec=971322145), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8628785716349703, y=-0.4407772700769384, z=0.08953479025240496, w=-0.2305200427970917)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-227.0625, y=230.8125, z=-27.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6513671875, y=0.5458984375, z=0.6083984375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.303344396,"[-0.8628785716349703, -0.4407772700769384, 0.08953479025240496, -0.2305200427970917]","[-227.0625, 230.8125, -27.375]","[0.6513671875, 0.5458984375, 0.6083984375]"
16319978648,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345064, nanosec=987849208), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.880840615510287, y=-0.40062623338480624, z=0.06170522881658122, w=-0.24456266257966464)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-198.375, y=239.3125, z=-8.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.62109375, y=0.4638671875, z=0.62890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.319978648,"[-0.880840615510287, -0.40062623338480624, 0.06170522881658122, -0.24456266257966464]","[-198.375, 239.3125, -8.875]","[0.62109375, 0.4638671875, 0.62890625]"
16342446878,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=10319108), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8927031311806476, y=-0.3661871051537489, z=0.032773745911260525, w=-0.2606031565010846)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-152.8125, y=240.0, z=5.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.583984375, y=0.40771484375, z=0.6748046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.342446878,"[-0.8927031311806476, -0.3661871051537489, 0.032773745911260525, -0.2606031565010846]","[-152.8125, 240.0, 5.0625]","[0.583984375, 0.40771484375, 0.6748046875]"
16364894938,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=32804027), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8980789132285524, y=-0.34037282358651966, z=0.0034177654869724044, w=-0.27854788718825096)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-94.1875, y=232.25, z=22.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.55126953125, y=0.3857421875, z=0.72021484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.364894938,"[-0.8980789132285524, -0.34037282358651966, 0.0034177654869724044, -0.27854788718825096]","[-94.1875, 232.25, 22.3125]","[0.55126953125, 0.3857421875, 0.72021484375]"
16379990019,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=47885673), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8975803317969235, y=-0.3244398615511284, z=-0.02599913111752835, w=-0.2973421755976482)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-31.6875, y=218.875, z=36.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.494140625, y=0.357421875, z=0.6748046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.379990019,"[-0.8975803317969235, -0.3244398615511284, -0.02599913111752835, -0.2973421755976482]","[-31.6875, 218.875, 36.1875]","[0.494140625, 0.357421875, 0.6748046875]"
16403852513,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=71773545), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.891148759386129, y=-0.31932677961154904, z=-0.056883134288601624, w=-0.3172516438113211)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=37.125, y=210.8125, z=50.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.470703125, y=0.3583984375, z=0.66064453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.403852513,"[-0.891148759386129, -0.31932677961154904, -0.056883134288601624, -0.3172516438113211]","[37.125, 210.8125, 50.6875]","[0.470703125, 0.3583984375, 0.66064453125]"
16431117171,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=98981562), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8789071748238161, y=-0.3260885379545621, z=-0.09002069876155327, w=-0.3362807119838363)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=111.9375, y=200.6875, z=57.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.39208984375, y=0.4033203125, z=0.59716796875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.431117171,"[-0.8789071748238161, -0.3260885379545621, -0.09002069876155327, -0.3362807119838363]","[111.9375, 200.6875, 57.4375]","[0.39208984375, 0.4033203125, 0.59716796875]"
16439921944,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=107792838), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8626787640887474, y=-0.33896836616546894, z=-0.12517539053031632, w=-0.3538600264723422)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=152.6875, y=197.0625, z=57.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.29443359375, y=0.501953125, z=0.44287109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.439921944,"[-0.8626787640887474, -0.33896836616546894, -0.12517539053031632, -0.3538600264723422]","[152.6875, 197.0625, 57.875]","[0.29443359375, 0.501953125, 0.44287109375]"
16462623113,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=130469819), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.8448694233297626, y=-0.35130162541978716, z=-0.16246784691929697, w=-0.3693061388837964)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=157.5, y=205.4375, z=45.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.2373046875, y=0.568359375, z=0.36328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.462623113,"[-0.8448694233297626, -0.35130162541978716, -0.16246784691929697, -0.3693061388837964]","[157.5, 205.4375, 45.6875]","[0.2373046875, 0.568359375, 0.36328125]"
16483499690,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345065, nanosec=151425536), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.826002963309782, y=-0.3622231112194145, z=-0.1990243581611644, w=-0.3832790460754714)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=153.1875, y=202.0625, z=41.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.18603515625, y=0.63525390625, z=0.39306640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,16.48349969,"[-0.826002963309782, -0.3622231112194145, -0.1990243581611644, -0.3832790460754714]","[153.1875, 202.0625, 41.3125]","[0.18603515625, 0.63525390625, 0.39306640625]"
