timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
17609005542,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344251, nanosec=997191975), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.08777369304070497, y=-0.34010780085035336, z=0.5455641643934778, w=0.7609088021178221)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=156.3125, y=186.4375, z=-176.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.78857421875, y=0.791015625, z=0.3115234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.609005542,"[-0.08777369304070497, -0.34010780085035336, 0.5455641643934778, 0.7609088021178221]","[156.3125, 186.4375, -176.4375]","[-0.78857421875, 0.791015625, 0.3115234375]"
17625126599,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=13379934), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.07342500439574043, y=-0.3817734019080269, z=0.5519997836700552, w=0.7376679992742466)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=153.0, y=179.6875, z=-162.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.80712890625, y=0.7197265625, z=0.28369140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.625126599,"[-0.07342500439574043, -0.3817734019080269, 0.5519997836700552, 0.7376679992742466]","[153.0, 179.6875, -162.75]","[-0.80712890625, 0.7197265625, 0.28369140625]"
17647678642,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=35955321), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.062440777018414204, y=-0.41773673305378967, z=0.5572061128065525, w=0.714925533936154)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=137.125, y=167.0625, z=-134.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.76953125, y=0.66015625, z=0.28564453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.647678642,"[-0.062440777018414204, -0.41773673305378967, 0.5572061128065525, 0.714925533936154]","[137.125, 167.0625, -134.0]","[-0.76953125, 0.66015625, 0.28564453125]"
17669022129,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=57135809), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.056701455897803996, y=-0.4472640137988242, z=0.5611552050854789, w=0.6941503314593378)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=111.0, y=153.6875, z=-95.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.73095703125, y=0.54736328125, z=0.25927734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.669022129,"[-0.056701455897803996, -0.4472640137988242, 0.5611552050854789, 0.6941503314593378]","[111.0, 153.6875, -95.8125]","[-0.73095703125, 0.54736328125, 0.25927734375]"
17700138058,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=88425798), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.057435805652569435, y=-0.4696185852187771, z=0.5644700644792371, w=0.6764119003632035)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=79.75, y=138.5, z=-49.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.70361328125, y=0.4384765625, z=0.232421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.700138058,"[-0.057435805652569435, -0.4696185852187771, 0.5644700644792371, 0.6764119003632035]","[79.75, 138.5, -49.3125]","[-0.70361328125, 0.4384765625, 0.232421875]"
17707734061,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=96011007), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.06360146506518387, y=-0.48311477542315767, z=0.5696054433668866, w=0.6618947093731803)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=58.5, y=113.0, z=4.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.64208984375, y=0.35791015625, z=0.2041015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.707734061,"[-0.06360146506518387, -0.48311477542315767, 0.5696054433668866, 0.6618947093731803]","[58.5, 113.0, 4.375]","[-0.64208984375, 0.35791015625, 0.2041015625]"
17729179098,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=117298697), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.0725127517151159, y=-0.4875689063134224, z=0.5747306987790668, w=0.6532251421339819)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=36.8125, y=79.4375, z=54.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.51904296875, y=0.30224609375, z=0.16455078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.729179098,"[-0.0725127517151159, -0.4875689063134224, 0.5747306987790668, 0.6532251421339819]","[36.8125, 79.4375, 54.4375]","[-0.51904296875, 0.30224609375, 0.16455078125]"
17744569749,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=132876263), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.08789395650479562, y=-0.48323364836699084, z=0.5837013236495558, w=0.6465699175384028)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=12.75, y=51.0625, z=103.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.43017578125, y=0.31298828125, z=0.06787109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.744569749,"[-0.08789395650479562, -0.48323364836699084, 0.5837013236495558, 0.6465699175384028]","[12.75, 51.0625, 103.0625]","[-0.43017578125, 0.31298828125, 0.06787109375]"
17767524252,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=155893523), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.10644793035333311, y=-0.4713861044259126, z=0.5949853354841119, w=0.6422277082441348)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6875, y=25.5, z=142.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.2919921875, y=0.38623046875, z=0.06201171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.767524252,"[-0.10644793035333311, -0.4713861044259126, 0.5949853354841119, 0.6422277082441348]","[0.6875, 25.5, 142.9375]","[-0.2919921875, 0.38623046875, 0.06201171875]"
17788697871,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344252, nanosec=176968687), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.12372038392496731, y=-0.45612354665578725, z=0.6076154030454117, w=0.6383166132645822)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.5, y=7.0625, z=151.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.189453125, y=0.50537109375, z=0.07568359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.788697871,"[-0.12372038392496731, -0.45612354665578725, 0.6076154030454117, 0.6383166132645822]","[6.5, 7.0625, 151.375]","[-0.189453125, 0.50537109375, 0.07568359375]"
