timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730347204360930175,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=360767122), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6178538161278826, y=-0.12133689483969481, z=0.37658382352158803, w=0.6794988180333613)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-10.3125, y=-0.1875, z=-4.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.32666015625, y=0.60791015625, z=0.61376953125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204367309575,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=367076722), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6176953627243813, y=-0.12048721798596133, z=0.3757443332936059, w=0.6802583811821373)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-8.5, y=0.9375, z=-4.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.3125, y=0.60400390625, z=0.6171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204390158840,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=389727553), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.617686006093343, y=-0.11975295888884772, z=0.37512827998514686, w=0.6807363662014876)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-6.9375, y=1.1875, z=-2.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.310546875, y=0.6044921875, z=0.6162109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204412727545,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=412266269), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6179923691468651, y=-0.11895971629306074, z=0.3747627799073335, w=0.6807987047371983)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-4.75, y=0.8125, z=0.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.314453125, y=0.599609375, z=0.6201171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204427590672,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=427218370), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6184295058508045, y=-0.11847331927126051, z=0.37495188061996565, w=0.6803823235016697)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.1875, y=1.0, z=2.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.31884765625, y=0.6025390625, z=0.6220703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204450026977,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=449618899), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6191488489131707, y=-0.1185318478498992, z=0.37543223281397015, w=0.6794523842765592)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.625, y=2.625, z=4.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.318359375, y=0.61083984375, z=0.62353515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204472613393,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=472285990), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6200721166043098, y=-0.11877747208504644, z=0.37635246293751096, w=0.6780570079099594)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=5.875, y=2.875, z=6.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.322265625, y=0.6181640625, z=0.6279296875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204503762136,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=503385353), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6212733444981257, y=-0.11895684727643649, z=0.37731720362387394, w=0.6763877791264593)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=7.3125, y=2.625, z=9.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.31982421875, y=0.603515625, z=0.6298828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204509983534,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=509597211), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.622550065025009, y=-0.1190779585160581, z=0.3783517503029442, w=0.6746123400707279)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=8.125, y=2.125, z=9.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.3134765625, y=0.58154296875, z=0.62353515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730347204532573015,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730347204, nanosec=532175899), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6235938602117111, y=-0.11926224947182966, z=0.3798203574530174, w=0.6727880122456389)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=10.25, y=0.8125, z=9.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.318359375, y=0.58251953125, z=0.61865234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
