timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1731187340082700234,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=80588257), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4532358305397899, y=-0.3336709245301685, z=-0.6797316785243254, w=-0.47032525049011864)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=8.0625, y=-1.9375, z=-2.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9375, y=0.32421875, z=-0.15576171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340087442994,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=87237240), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45335411494702077, y=-0.33299677586846327, z=-0.6807025368880079, w=-0.4692837627662416)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=8.125, y=-1.6875, z=-2.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94482421875, y=0.328125, z=-0.16015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340111087626,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=110686675), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45353084104732333, y=-0.33244280597292025, z=-0.68136432639649, w=-0.4685447808801374)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.3125, y=-0.6875, z=-2.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94189453125, y=0.3271484375, z=-0.15625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340133785543,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=133506021), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45377795522118775, y=-0.33220086217470407, z=-0.6817350046833446, w=-0.4679375363390513)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=3.75, y=0.3125, z=-0.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9375, y=0.3203125, z=-0.1650390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340147851862,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=147412619), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4540861201222797, y=-0.33220305804107103, z=-0.6818615771513588, w=-0.46745236478716945)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.0, y=1.1875, z=0.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.93359375, y=0.318359375, z=-0.17041015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340194923115,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=194548842), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4545168157661928, y=-0.33244972411420065, z=-0.6817447068763762, w=-0.467028692660522)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.3125, y=1.125, z=1.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9365234375, y=0.3125, z=-0.16259765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340199635578,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=199383424), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45481963442963985, y=-0.3326921399994588, z=-0.6818022190302613, w=-0.46647698147419986)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.375, y=1.0, z=1.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9326171875, y=0.31591796875, z=-0.17431640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340207871358,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=207531934), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.4551115942639488, y=-0.3328655806779639, z=-0.6817824352316713, w=-0.4660972569925945)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0, y=0.75, z=1.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.935546875, y=0.32275390625, z=-0.16650390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340231169876,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=230705819), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45524577239615316, y=-0.33317960470714575, z=-0.6817395465431064, w=-0.46580449590125234)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0, y=0.1875, z=1.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9404296875, y=0.328125, z=-0.16845703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1731187340253563715,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731187340, nanosec=253068005), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.45517369724843454, y=-0.3335377119150838, z=-0.6816619770136452, w=-0.46573216461555433)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.25, y=-0.5625, z=1.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9375, y=0.33837890625, z=-0.16357421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
