timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
32347023052,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=6874649), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7082701454207648, y=-0.5494662748145753, z=0.04351543418224949, w=-0.44107439387814457)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=95.0625, y=83.625, z=-63.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.923828125, y=1.28125, z=0.61669921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32349168679,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=9158061), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7085134808689867, y=-0.5508083525577229, z=0.013426907209163329, w=-0.4409518390282048)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=77.3125, y=118.3125, z=-91.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.7041015625, y=1.55859375, z=0.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32361522206,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=21358094), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7137602335112677, y=-0.5461684762456037, z=-0.019591024793254978, w=-0.4380211368884454)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=42.9375, y=136.4375, z=-122.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.40869140625, y=1.61669921875, z=0.44482421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32384053630,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=43879117), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.727622705568699, y=-0.5325646476088297, z=-0.052914685935921996, w=-0.42911552112510676)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-20.3125, y=140.0625, z=-169.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.14892578125, y=1.4306640625, z=0.32861328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32404931602,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=64873613), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7445163724044307, y=-0.5146128413897991, z=-0.0895934121394954, w=-0.4157427271759146)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-36.125, y=150.3125, z=-209.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0830078125, y=1.20458984375, z=0.376953125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32421682700,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=81461568), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7562424173467598, y=-0.4997266494419554, z=-0.1331709268542192, w=-0.4007944439283489)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=13.9375, y=170.625, z=-226.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.1044921875, y=0.83447265625, z=0.48095703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32449788882,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=109683820), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7602020687444442, y=-0.49020094863161334, z=-0.18364226275305334, w=-0.3848004209564644)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=77.0, y=189.5, z=-225.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.25, y=0.619140625, z=0.40283203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32464740748,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=124756298), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7544554742357437, y=-0.4887299334800061, z=-0.24033697278275024, w=-0.36630332926411047)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=154.125, y=199.8125, z=-219.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.61767578125, y=0.728515625, z=0.29150390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32481577781,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=141445047), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7441507106654732, y=-0.4907500914017116, z=-0.29581714874071585, w=-0.3433602803415035)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=184.9375, y=181.6875, z=-220.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.73388671875, y=0.8857421875, z=0.25537109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
32504038727,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185797, nanosec=163956762), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7343371659943855, y=-0.48990395872979825, z=-0.3453191227722933, w=-0.3185871016032823)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=164.625, y=157.125, z=-218.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.71728515625, y=0.9208984375, z=0.3349609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
