Trail Name,Timestamp
R_r3deg180h1,1730283118.2014325
R_r1deg0h1,1730269510.4970906
R_r3deg67h1,1730276271.0659904
R_r2deg67h1,1730276032.932614
R_r2deg180h1,1730281271.208111
R_r3deg22h1,1730271693.7621114
R_r1deg45h1,1730272678.7273662
R_r2deg0h1,1730268942.627531
R_r2deg135h1,1730279043.665917
R_r2deg157h1,1730280121.765905
R_r1deg157h1,1730279894.9325488
R_r1deg67h1,1730275578.6051235
R_r1deg135h1,1730278453.8325877
R_r3deg157h1,1730280600.608153
R_r1deg22h1,1730270410.6497064
R_r2deg22h1,1730271416.0621698
R_r3deg90h1,1730277126.6659346
R_r1deg112h1,1730277465.6659684
R_r2deg112h1,1730277644.5659442
R_r2deg90h1,1730276879.399272
R_r1deg180h1,1730280974.774798
R_r3deg135h1,1730279447.5992315
R_r2deg45h1,1730273049.0273154
R_r3deg45h1,1730274866.2384558
R_r1deg90h1,1730276649.3325963
R_r3deg0h1,1730267575.9982543
R_r3deg112h1,1730277910.7659447
