timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
24071006879,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=129317260), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8791440943313051, y=0.4232757771582617, z=-0.1937241985148266, w=-0.10205005038336172)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-192.875, y=243.25, z=-77.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.62255859375, y=0.4970703125, z=0.49462890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24075761815,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=134125230), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8975607567733197, y=0.4032767031622797, z=-0.1501529725713952, w=-0.09595141174074522)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-161.625, y=247.375, z=-48.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.56591796875, y=0.375, z=0.53125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24092235446,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=150623924), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.9100781835254795, y=0.3907659645157693, z=-0.11017378412229985, w=-0.08319494058653445)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-101.6875, y=243.625, z=-14.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4892578125, y=0.29931640625, z=0.53125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24114640338,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=173080982), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.9166006673923798, y=0.38746627399659234, z=-0.0734281549492597, w=-0.06573742550320258)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-35.9375, y=237.0, z=9.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.375, y=0.30615234375, z=0.4794921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24136239344,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=194525857), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.9173558918319623, y=0.39364083747583506, z=-0.039736421956391474, w=-0.04388707739884097)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=28.625, y=232.5625, z=33.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.37744140625, y=0.30810546875, z=0.43212890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24159810609,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=218083880), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.9129565188377553, y=0.40749466602666673, z=-0.0072636107335490325, w=-0.020142786067825047)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=80.25, y=230.6875, z=43.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.31494140625, y=0.369140625, z=0.3701171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24174729558,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=233130218), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.903751653633423, y=0.4273379256441709, z=0.024354782507073874, w=0.0047000457469791685)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=122.625, y=228.875, z=50.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.27490234375, y=0.40478515625, z=0.32763671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24195725952,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=254110992), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8902750667556132, y=0.4511801243286366, z=0.05420020974077777, w=0.030151918481919164)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=153.3125, y=220.3125, z=59.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.18603515625, y=0.462890625, z=0.3037109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24211804340,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=270052853), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.874417884560677, y=0.47535714679314206, z=0.08081315643992297, w=0.05383474620846832)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=159.0625, y=199.5625, z=59.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.12255859375, y=0.64794921875, z=0.2353515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24234797503,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=293241836), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8596623497304265, y=0.4940433867309054, z=0.10535197498116416, w=0.0761757038102508)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=125.5625, y=185.75, z=56.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.06396484375, y=0.80712890625, z=0.09765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24256369190,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=314801130), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8488517688055623, y=0.5039275331314247, z=0.12781301530731629, w=0.0957682048792642)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=71.875, y=168.5, z=42.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.00830078125, y=0.85498046875, z=0.08837890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24271630894,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=329952509), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8423424355657915, y=0.506687286784901, z=0.14386964642236016, w=0.11414350394985724)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=20.4375, y=133.625, z=48.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.1044921875, y=1.09765625, z=0.09130859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24295039436,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=353494663), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8397741117835343, y=0.5037545969290238, z=0.15381819753557976, w=0.1317220913816592)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-23.5, y=101.25, z=56.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.2275390625, y=1.17138671875, z=0.0341796875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24315583253,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=374092159), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.842343201335682, y=0.49307596959345207, z=0.1615711923141703, w=0.14570095808610672)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-87.4375, y=76.5625, z=40.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.236328125, y=0.88720703125, z=0.10205078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24346047601,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185286, nanosec=404387053), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.8442147614044587, y=0.48525105582860584, z=0.164008753083203, w=0.15790496621743438)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-62.25, y=49.25, z=44.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.109375, y=0.68115234375, z=0.2099609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
