timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
26950584234,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=140439672), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7256172522965646, y=-0.537148409240648, z=0.19042188806167729, w=-0.3856043233248965)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=18.625, y=10.375, z=-4.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.79931640625, y=0.74560546875, z=0.32080078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
26981343935,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=171206777), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7235407714809082, y=-0.5411755394956739, z=0.1837079478833854, w=-0.3871294064532603)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=34.5, y=27.5625, z=-15.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.974609375, y=0.880859375, z=0.365234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
26986227465,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=176344987), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7209714441066911, y=-0.5473353010030311, z=0.17058454129164494, w=-0.38926232714064807)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=59.1875, y=52.0625, z=-35.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.08154296875, y=0.99853515625, z=0.39599609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27002290358,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=192251128), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7180248213697289, y=-0.5546459478629916, z=0.14830431924593637, w=-0.39346417538212003)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=86.25, y=91.125, z=-49.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.15625, y=1.2802734375, z=0.50048828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27024759942,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=214790354), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7180372458504478, y=-0.558988791733468, z=0.11748590720459942, w=-0.39768216693255576)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=88.25, y=131.625, z=-81.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0849609375, y=1.517578125, z=0.51171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27038847847,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=228933433), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7244332782423277, y=-0.5573314824691606, z=0.08080452067336495, w=-0.39755335926457647)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=50.875, y=159.6875, z=-125.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.69384765625, y=1.55859375, z=0.33837890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27077307737,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=267173348), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7342775767573183, y=-0.5519745993012374, z=0.03973191775155965, w=-0.3931689925584444)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=32.5625, y=173.0, z=-161.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.28759765625, y=1.39599609375, z=0.28369140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27092966062,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=282825403), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.742584390255604, y=-0.5485005272644952, z=-0.0034178290338056894, w=-0.38432266831918616)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=49.875, y=161.9375, z=-183.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0888671875, y=1.32666015625, z=0.322265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27107881522,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=297654525), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.748067256500417, y=-0.5500189373893904, z=-0.04748277111506278, w=-0.36826611941939436)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=84.0625, y=132.0625, z=-213.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0732421875, y=1.11328125, z=0.34228515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27122226306,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=312126303), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7470296915771656, y=-0.5575258359932522, z=-0.09545379392374893, w=-0.34928520628236265)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=142.0625, y=128.4375, z=-223.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.03955078125, y=0.97509765625, z=0.36865234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27144684849,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=334601412), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.73951446633508, y=-0.5677728051758066, z=-0.1445217674574127, w=-0.3314601854143616)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=176.375, y=134.5, z=-206.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.21142578125, y=0.916015625, z=0.326171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27159829562,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=349762089), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.726833492304898, y=-0.5793184573816518, z=-0.19255686188781201, w=-0.3146824658933625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=196.3125, y=135.625, z=-186.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.359375, y=1.04150390625, z=0.31103515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27182273924,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=372158282), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7111409049462227, y=-0.5910305976226589, z=-0.23832863318014072, w=-0.29691902699651335)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=205.5625, y=125.6875, z=-175.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.546875, y=1.06591796875, z=0.35107421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27212396123,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=402190139), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6958093363032868, y=-0.6008457956237048, z=-0.27768901676870056, w=-0.27878756672514815)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=189.125, y=101.6875, z=-157.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.65869140625, y=0.98291015625, z=0.419921875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
27234006772,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184870, nanosec=423903087), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.6812924680685594, y=-0.6091534644622674, z=-0.3093676897464416, w=-0.2628008033237675)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=164.75, y=80.75, z=-127.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.6025390625, y=0.904296875, z=0.38330078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
