time,.data
1969/12/31/18:00:06.599000,(-5 -2 0 -5 -5 -3 -2 -2)
1969/12/31/18:00:06.600000,(0 1 0 -3 -1 -4 -2 -1)
1969/12/31/18:00:06.606000,(1 1 1 3 0 1 2 4)
1969/12/31/18:00:06.606000,(4 1 -3 8 3 3 0 0)
1969/12/31/18:00:06.614000,(4 5 4 0 0 -2 -2 0)
1969/12/31/18:00:06.614000,(-3 -2 -1 -4 -3 -2 -2 -4)
1969/12/31/18:00:06.630000,(-1 -4 -5 -6 -4 -1 1 1)
1969/12/31/18:00:06.630000,(-1 -3 -6 1 2 -1 -1 0)
1969/12/31/18:00:06.637000,(-4 -4 6 -2 -3 -2 -2 0)
1969/12/31/18:00:06.637000,(-4 2 7 -5 -4 -1 -1 -4)
1969/12/31/18:00:06.644000,(4 0 -6 11 12 3 0 -1)
1969/12/31/18:00:06.644000,(0 -2 -8 -8 -4 -2 -2 -1)
1969/12/31/18:00:06.660000,(-8 -3 0 -11 -5 -3 -2 -6)
1969/12/31/18:00:06.660000,(4 3 -3 13 4 5 4 4)
1969/12/31/18:00:06.661000,(2 4 8 -4 -5 1 2 0)
1969/12/31/18:00:06.661000,(-2 -2 4 2 -1 -3 0 -1)
1969/12/31/18:00:06.682000,(6 0 -5 13 6 2 0 2)
1969/12/31/18:00:06.682000,(-2 2 -5 -13 2 0 -3 -1)
1969/12/31/18:00:06.684000,(-3 0 -3 -7 -3 2 1 1)
1969/12/31/18:00:06.684000,(-7 -9 -3 3 -7 -8 -4 -5)
1969/12/31/18:00:06.697000,(-4 -2 13 8 2 10 10 1)
1969/12/31/18:00:06.697000,(19 8 -14 10 15 1 1 13)
1969/12/31/18:00:06.711000,(-7 -9 -2 -21 -11 -8 -8 -7)
1969/12/31/18:00:06.711000,(3 14 -1 -15 -11 -3 -1 3)
1969/12/31/18:00:06.720000,(-6 -11 -21 -7 -7 -4 -4 -4)
1969/12/31/18:00:06.720000,(-4 -4 9 13 3 10 9 -3)
1969/12/31/18:00:06.722000,(-1 2 15 19 14 -1 -6 -3)
1969/12/31/18:00:06.722000,(1 4 10 0 -1 -1 -1 0)
1969/12/31/18:00:06.742000,(3 4 3 -9 -2 1 2 3)
1969/12/31/18:00:06.742000,(-9 -8 -6 1 -12 -8 -7 -8)
1969/12/31/18:00:06.744000,(-2 2 23 9 9 7 6 -2)
1969/12/31/18:00:06.744000,(-2 -3 -14 3 6 -3 -6 -1)
1969/12/31/18:00:06.757000,(-6 -14 -19 -18 -8 -9 -9 -4)
1969/12/31/18:00:06.757000,(3 -6 -14 -12 -7 -1 3 5)
1969/12/31/18:00:06.764000,(-2 -1 15 -5 -14 -3 0 -2)
1969/12/31/18:00:06.764000,(4 3 -12 25 9 8 4 -1)
1969/12/31/18:00:06.787000,(17 4 -8 13 12 12 3 6)
1969/12/31/18:00:06.787000,(-8 7 18 -30 -11 -8 -6 -5)
1969/12/31/18:00:06.789000,(1 -3 -34 -4 -5 -13 -2 0)
1969/12/31/18:00:06.789000,(0 -1 19 -1 -4 0 3 2)
1969/12/31/18:00:06.803000,(6 8 -9 6 11 1 3 5)
1969/12/31/18:00:06.803000,(-12 -19 13 -7 -20 -7 -7 -9)
1969/12/31/18:00:06.805000,(-1 3 -17 9 11 3 -3 -2)
1969/12/31/18:00:06.805000,(13 13 -8 -27 -5 10 8 6)
1969/12/31/18:00:06.817000,(14 8 -8 6 2 0 0 7)
1969/12/31/18:00:06.817000,(-15 -14 21 10 10 -3 -5 -6)
1969/12/31/18:00:06.824000,(-2 -4 1 -1 -22 -13 -3 0)
1969/12/31/18:00:06.824000,(-11 -10 6 18 16 -5 -5 -9)
1969/12/31/18:00:06.840000,(-12 -6 8 7 -4 0 -4 -8)
1969/12/31/18:00:06.840000,(12 17 -3 -20 -5 3 5 6)
1969/12/31/18:00:06.841000,(15 13 -5 -1 -6 2 6 8)
1969/12/31/18:00:06.841000,(0 2 3 3 24 7 0 3)
1969/12/31/18:00:06.862000,(0 1 27 19 15 3 3 -1)
1969/12/31/18:00:06.862000,(4 0 -16 40 12 6 -3 0)
1969/12/31/18:00:06.864000,(-3 -5 -14 -40 -22 -5 -2 -1)
