time,.data
1969/12/31/18:00:28.238,(-2 -1 2 2 0 -1 -2 0)
1969/12/31/18:00:28.238,(1 -1 3 4 3 1 0 0)
1969/12/31/18:00:28.239,(-2 -2 -4 -5 -4 -3 -3 -4)
1969/12/31/18:00:28.239,(-2 -1 2 4 3 1 -1 -1)
1969/12/31/18:00:28.260,(-1 -2 -1 -5 -2 -1 -1 -1)
1969/12/31/18:00:28.260,(-1 1 0 0 -2 0 -1 1)
1969/12/31/18:00:28.262,(0 1 -2 -1 0 1 1 -1)
1969/12/31/18:00:28.262,(-1 -5 -7 -7 -3 -3 -3 -3)
1969/12/31/18:00:28.275,(0 3 7 0 0 -1 0 -2)
1969/12/31/18:00:28.275,(-1 -3 -3 3 6 3 2 1)
1969/12/31/18:00:28.277,(0 -2 2 -1 -1 1 1 1)
1969/12/31/18:00:28.277,(-3 -1 -2 0 1 1 0 0)
1969/12/31/18:00:28.298,(-3 0 -3 0 -1 -3 -1 -2)
1969/12/31/18:00:28.298,(1 2 1 -1 0 -1 -1 -2)
1969/12/31/18:00:28.299,(-2 -2 0 1 0 -1 -1 -1)
1969/12/31/18:00:28.299,(-1 3 -2 -2 -1 -2 -1 0)
1969/12/31/18:00:28.312,(0 1 2 2 3 1 -1 -1)
1969/12/31/18:00:28.312,(-1 -3 -2 -3 -1 1 -2 -1)
1969/12/31/18:00:28.320,(0 -2 -1 0 -2 -2 -2 -2)
1969/12/31/18:00:28.320,(-1 1 -2 -5 -4 -1 -2 -1)
1969/12/31/18:00:28.336,(-1 -2 -2 -3 -1 1 0 -1)
1969/12/31/18:00:28.336,(-3 -5 -6 -5 -5 -2 -1 0)
1969/12/31/18:00:28.337,(-3 0 -1 -1 0 2 1 -1)
1969/12/31/18:00:28.337,(0 0 3 3 -2 -3 -1 -1)
1969/12/31/18:00:28.358,(-1 -3 -3 -1 -2 -1 0 -1)
1969/12/31/18:00:28.358,(0 0 10 4 2 0 1 1)
1969/12/31/18:00:28.359,(-1 -3 -4 -4 -5 -3 -2 0)
1969/12/31/18:00:28.359,(-1 -1 -3 -3 1 1 0 -2)
1969/12/31/18:00:28.380,(-3 -6 -4 -2 -2 -1 -1 -2)
1969/12/31/18:00:28.380,(-4 -1 -8 -5 -4 -4 -4 -4)
1969/12/31/18:00:28.382,(1 0 0 -1 -1 -1 -1 0)
1969/12/31/18:00:28.382,(-1 1 2 0 -1 0 -2 0)
1969/12/31/18:00:28.395,(-1 0 -3 -4 -2 0 -2 0)
1969/12/31/18:00:28.395,(0 0 0 1 2 0 1 1)
1969/12/31/18:00:28.397,(-2 -3 0 3 0 -1 -1 -1)
1969/12/31/18:00:28.397,(0 2 1 -2 -2 -1 0 0)
1969/12/31/18:00:28.418,(-2 -2 -1 1 2 1 -3 -1)
1969/12/31/18:00:28.418,(1 2 1 -1 0 1 0 1)
1969/12/31/18:00:28.420,(-2 1 1 -1 0 -1 -2 0)
1969/12/31/18:00:28.420,(-3 -8 -5 -3 -3 -1 -1 -2)
1969/12/31/18:00:28.440,(2 0 5 4 2 -1 0 0)
1969/12/31/18:00:28.440,(-2 1 4 4 0 0 -2 -2)
1969/12/31/18:00:28.442,(-2 -2 -5 -5 -1 -1 -2 -1)
1969/12/31/18:00:28.442,(-1 0 -2 -2 -1 0 -1 0)
1969/12/31/18:00:28.454,(0 2 1 -1 -5 -3 -1 -2)
1969/12/31/18:00:28.454,(-2 -3 -5 -3 0 -2 -1 -1)
1969/12/31/18:00:28.463,(0 -1 0 0 0 0 -1 -2)
1969/12/31/18:00:28.463,(-1 -4 -3 -8 -4 0 0 -1)
1969/12/31/18:00:28.486,(-1 0 0 1 -2 -3 -1 -1)
1969/12/31/18:00:28.486,(2 2 4 6 2 0 2 1)
1969/12/31/18:00:28.487,(-1 1 0 -1 0 -1 -1 -2)
1969/12/31/18:00:28.487,(-3 -2 -1 2 -1 -1 -2 -4)
1969/12/31/18:00:28.501,(-2 -4 -4 -5 -2 -1 -2 -2)
1969/12/31/18:00:28.501,(-4 -6 -9 -9 -6 -5 -3 -1)
1969/12/31/18:00:28.502,(3 2 2 -4 -3 -3 -1 -1)
1969/12/31/18:00:28.502,(-1 2 5 9 3 0 1 2)
1969/12/31/18:00:28.515,(0 2 2 2 -1 -3 -3 -3)
1969/12/31/18:00:28.515,(0 2 1 1 1 0 -1 -3)
1969/12/31/18:00:28.522,(-1 -3 -6 -4 -5 -1 -1 -2)
1969/12/31/18:00:28.522,(-1 -3 -3 -6 -1 -2 -2 -1)
1969/12/31/18:00:28.546,(0 -2 -9 -9 -1 1 2 0)
1969/12/31/18:00:28.546,(-2 0 5 4 -2 0 0 -2)
1969/12/31/18:00:28.547,(0 0 3 3 -2 -2 -1 -1)
1969/12/31/18:00:28.547,(-3 -2 -2 2 6 0 -1 -1)
1969/12/31/18:00:28.560,(-2 -3 -2 1 4 1 1 1)
1969/12/31/18:00:28.560,(0 -5 -7 -8 -4 -3 -3 -2)
1969/12/31/18:00:28.562,(-2 -1 -6 -4 0 -1 -3 -3)
1969/12/31/18:00:28.562,(0 -4 3 5 1 1 2 2)
1969/12/31/18:00:28.575,(0 -1 -2 -1 -3 0 0 -1)
1969/12/31/18:00:28.575,(-3 3 3 1 -1 -4 -2 -4)
1969/12/31/18:00:28.583,(-2 -3 5 7 2 -2 1 -1)
1969/12/31/18:00:28.583,(0 8 0 -4 -5 -5 -6 -4)
1969/12/31/18:00:28.598,(-5 -9 -17 -20 -11 -6 -1 -5)
1969/12/31/18:00:28.598,(4 2 -9 -14 2 2 2 3)
1969/12/31/18:00:28.600,(2 0 16 21 4 2 3 6)
1969/12/31/18:00:28.600,(-1 3 1 12 2 -1 -3 -5)
1969/12/31/18:00:28.628,(-2 -1 8 11 2 0 -1 0)
1969/12/31/18:00:28.628,(-2 -3 -8 -8 -3 -2 -3 -4)
1969/12/31/18:00:28.630,(-4 -6 -7 -18 -5 0 1 2)
1969/12/31/18:00:28.630,(0 -1 1 8 2 -1 0 1)
1969/12/31/18:00:28.634,(-2 -1 -1 3 0 -3 -2 0)
1969/12/31/18:00:28.634,(-3 -4 -10 -15 -3 0 -3 -5)
1969/12/31/18:00:28.643,(1 1 4 16 4 3 0 1)
1969/12/31/18:00:28.643,(-3 -7 -3 -7 -5 -2 1 -1)
1969/12/31/18:00:28.657,(1 3 -21 -28 -10 -6 -8 -6)
