time,.data
1969/12/31/18:00:21.216,(7 4 7 17 28 -13 -1 3)
1969/12/31/18:00:21.216,(-5 -11 -42 -69 -29 -3 1 -1)
1969/12/31/18:00:21.217,(6 10 40 34 14 -4 -3 1)
1969/12/31/18:00:21.217,(-4 7 30 98 -1 7 2 -3)
1969/12/31/18:00:21.218,(0 -11 -25 -34 14 -1 0 3)
1969/12/31/18:00:21.218,(-11 -5 -3 -34 -43 -9 -4 -7)
1969/12/31/18:00:21.221,(10 2 0 74 72 14 7 8)
1969/12/31/18:00:21.221,(-11 -14 -24 -85 -21 -12 -10 -11)
1969/12/31/18:00:21.244,(-7 -1 2 -19 -30 -13 -8 -6)
1969/12/31/18:00:21.244,(8 9 -8 19 -39 -4 6 5)
1969/12/31/18:00:21.244,(7 1 -11 -33 -7 7 4 6)
1969/12/31/18:00:21.244,(-1 -1 27 39 52 12 0 -3)
1969/12/31/18:00:21.259,(-13 -12 -25 -23 -32 -11 -8 -10)
1969/12/31/18:00:21.259,(5 2 7 3 11 4 2 6)
1969/12/31/18:00:21.260,(0 4 16 9 2 10 2 -1)
1969/12/31/18:00:21.260,(6 -1 -14 42 14 -2 -2 3)
1969/12/31/18:00:21.273,(1 3 -1 -62 -28 -3 -3 0)
1969/12/31/18:00:21.273,(6 4 19 41 26 10 5 5)
1969/12/31/18:00:21.288,(-3 -2 3 36 8 5 -3 -3)
1969/12/31/18:00:21.288,(-3 -4 -18 -50 -14 -9 -6 -2)
1969/12/31/18:00:21.297,(0 0 -3 1 -5 -3 3 4)
1969/12/31/18:00:21.297,(-3 1 10 6 10 0 -3 -2)
1969/12/31/18:00:21.297,(0 0 -11 -21 -8 -3 -1 1)
1969/12/31/18:00:21.297,(-2 -2 -2 -4 -1 -9 -7 -1)
1969/12/31/18:00:21.319,(-1 2 4 13 -2 4 4 1)
1969/12/31/18:00:21.319,(0 2 2 17 9 0 4 0)
1969/12/31/18:00:21.320,(-3 -4 -13 -23 -8 -5 0 -3)
1969/12/31/18:00:21.320,(1 1 3 -6 -8 -4 0 0)
1969/12/31/18:00:21.350,(0 -2 7 31 8 5 1 -1)
1969/12/31/18:00:21.350,(3 2 -3 -9 5 1 0 1)
1969/12/31/18:00:21.350,(0 -1 -5 -12 -6 1 -1 0)
1969/12/31/18:00:21.350,(3 2 8 4 1 2 1 2)
1969/12/31/18:00:21.357,(-4 -2 0 15 3 3 -2 -4)
1969/12/31/18:00:21.357,(4 1 -3 -18 -2 1 2 3)
1969/12/31/18:00:21.357,(0 -1 2 -6 -4 4 1 -1)
1969/12/31/18:00:21.357,(-4 -3 3 13 3 -1 -1 -4)
1969/12/31/18:00:21.370,(0 -1 -3 -7 -3 1 2 0)
1969/12/31/18:00:21.370,(-2 -1 1 -5 1 0 -1 -2)
1969/12/31/18:00:21.378,(0 0 0 4 1 0 0 1)
1969/12/31/18:00:21.378,(2 0 -4 -7 -1 2 2 2)
1969/12/31/18:00:21.393,(-3 -3 -2 3 0 0 -2 -4)
1969/12/31/18:00:21.393,(0 -1 2 0 0 0 0 0)
1969/12/31/18:00:21.402,(-2 -1 -2 -2 -2 -5 -6 -5)
1969/12/31/18:00:21.402,(0 -1 0 -2 -4 -4 -2 -1)
1969/12/31/18:00:21.417,(3 3 -1 -1 -2 3 4 5)
1969/12/31/18:00:21.417,(-1 0 1 6 13 5 1 0)
1969/12/31/18:00:21.418,(-2 -1 -2 -1 1 0 -1 -1)
1969/12/31/18:00:21.418,(-2 0 0 -7 -6 -4 -4 -2)
1969/12/31/18:00:21.439,(-1 -1 1 8 -2 -5 -3 -2)
1969/12/31/18:00:21.439,(1 0 -1 -7 -2 -2 1 1)
1969/12/31/18:00:21.441,(-2 -3 -4 -3 1 3 2 0)
1969/12/31/18:00:21.441,(1 0 -1 -4 -1 1 2 0)
1969/12/31/18:00:21.453,(-5 -4 0 0 -5 -2 -3 -4)
1969/12/31/18:00:21.453,(5 4 0 3 4 3 3 5)
1969/12/31/18:00:21.462,(-6 -4 -5 -6 -4 -2 -4 -2)
1969/12/31/18:00:21.462,(2 2 -1 -16 -2 3 1 2)
1969/12/31/18:00:21.485,(0 0 10 29 12 3 -2 -2)
1969/12/31/18:00:21.485,(-7 -4 -4 0 -2 -4 -4 -6)
1969/12/31/18:00:21.486,(7 6 0 -11 -5 2 6 7)
1969/12/31/18:00:21.486,(-6 -5 0 -3 -1 -1 -3 -1)
