timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
24714936823,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=5611671), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6341499616197611, y=0.17400977291414235, z=-0.7431578376017528, w=-0.12365619078360308)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-7.0625, y=33.75, z=-17.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.13916015625, y=0.4423828125, z=-0.3046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24726669096,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=17515438), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6335487948982055, y=0.18243519729775878, z=-0.7408492555370344, w=-0.1283577182727289)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=8.625, y=17.5, z=-33.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.91357421875, y=0.7822265625, z=-0.33447265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24735632364,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=26525789), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6313942989048301, y=0.19030327926392077, z=-0.7389968265963928, w=-0.13787527513059558)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-9.375, y=-1.125, z=-49.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.888671875, y=0.80224609375, z=-0.25439453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24765445129,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=56442792), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6318925012813527, y=0.19390731928628005, z=-0.7354073937930086, w=-0.14929093578037173)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-34.125, y=-1.75, z=-53.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.00830078125, y=0.6376953125, z=-0.068359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24779065135,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=70113191), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6370766081794209, y=0.1993992411306925, z=-0.7274684894510939, w=-0.1586282913066023)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-21.6875, y=25.9375, z=-61.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.09912109375, y=0.619140625, z=0.134765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24803349616,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=94122660), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6456886244453118, y=0.20733568931285795, z=-0.7158177698737703, w=-0.1664422798811197)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.125, y=53.9375, z=-69.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.10498046875, y=0.61962890625, z=0.23193359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24818378561,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=109279219), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6568095612640709, y=0.21631196776506526, z=-0.7004503786884562, w=-0.17657746127097454)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-20.125, y=73.0625, z=-80.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.03125, y=0.6865234375, z=0.33447265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24839595324,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=130327122), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6692240811280041, y=0.225699101870621, z=-0.6821019909426881, w=-0.18956771509198184)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-46.625, y=106.0, z=-96.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0654296875, y=0.76708984375, z=0.3984375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24855927701,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=146693524), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6873305754505604, y=0.23474588341913286, z=-0.6557137351980614, w=-0.20618086172382497)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-79.25, y=155.8125, z=-116.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.18408203125, y=0.71435546875, z=0.35302734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24878338748,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=169090961), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.7070310221680494, y=0.24279777332393823, z=-0.6249997986015906, w=-0.2247924080321932)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-98.5, y=176.5, z=-124.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.99609375, y=0.59375, z=0.36767578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
24899312365,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185951, nanosec=190124377), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.730329661969791, y=0.2492007362378954, z=-0.5883041627717546, w=-0.24169358694637907)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-111.25, y=213.8125, z=-115.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.904296875, y=0.5732421875, z=0.4658203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
