time,.data
1969/12/31/18:00:06.455000,(-2 -1 -2 -5 -1 -1 -2 -2)
1969/12/31/18:00:06.455000,(-1 0 -2 -2 1 0 -1 -1)
1969/12/31/18:00:06.457000,(-2 -2 0 4 0 0 -1 -1)
1969/12/31/18:00:06.457000,(0 -1 1 -1 0 -1 -1 -3)
1969/12/31/18:00:06.478000,(-2 -2 -4 -1 -1 -1 -1 -3)
1969/12/31/18:00:06.478000,(-1 1 -2 0 -2 0 0 0)
1969/12/31/18:00:06.479000,(1 -1 -1 2 0 2 0 -1)
1969/12/31/18:00:06.480000,(0 -2 -2 -4 1 0 -1 0)
1969/12/31/18:00:06.492000,(0 0 2 0 -2 0 -2 0)
1969/12/31/18:00:06.492000,(1 1 3 1 -1 0 -1 -1)
1969/12/31/18:00:06.500000,(-1 -1 1 0 -1 0 -1 -2)
1969/12/31/18:00:06.500000,(-1 -1 0 1 1 -2 -1 0)
1969/12/31/18:00:06.515000,(1 -4 -4 -4 -4 0 -1 1)
1969/12/31/18:00:06.515000,(-1 0 0 1 -1 -2 -1 -2)
1969/12/31/18:00:06.517000,(-2 -2 -3 -2 -4 0 -1 0)
1969/12/31/18:00:06.517000,(-2 0 -1 1 -1 -2 0 -2)
1969/12/31/18:00:06.538000,(-2 1 0 -1 1 -2 1 0)
1969/12/31/18:00:06.538000,(-2 -2 0 -2 0 0 0 0)
1969/12/31/18:00:06.539000,(-1 -1 -3 -3 1 -2 0 -1)
1969/12/31/18:00:06.539000,(-2 -1 -1 0 -1 -3 -2 -3)
1969/12/31/18:00:06.552000,(-2 -1 -1 -1 -2 -3 0 -2)
1969/12/31/18:00:06.552000,(1 -1 -1 -1 -2 1 -2 -1)
1969/12/31/18:00:06.560000,(-1 -2 2 1 -2 -4 -2 -3)
1969/12/31/18:00:06.560000,(-2 -2 -2 -3 -3 0 0 -1)
1969/12/31/18:00:06.575000,(0 0 -1 -3 -2 -8 -6 -3)
1969/12/31/18:00:06.575000,(-3 -4 -5 -5 0 9 0 1)
1969/12/31/18:00:06.577000,(1 2 6 5 -1 -10 4 0)
1969/12/31/18:00:06.577000,(1 1 1 2 0 6 -3 0)
1969/12/31/18:00:06.598000,(-3 -5 -8 2 3 -15 -1 -3)
1969/12/31/18:00:06.598000,(-2 0 1 -8 -4 23 8 -3)
1969/12/31/18:00:06.599000,(-1 -2 -4 -8 -8 -27 -26 -2)
1969/12/31/18:00:06.599000,(0 -1 1 7 9 25 9 0)
1969/12/31/18:00:06.611000,(0 2 2 2 5 29 10 1)
1969/12/31/18:00:06.611000,(-2 -4 -6 2 1 -18 -8 -2)
1969/12/31/18:00:06.620000,(-3 -1 -7 -18 -15 -26 29 4)
1969/12/31/18:00:06.620000,(-3 -3 -2 -3 -3 -24 -18 -2)
1969/12/31/18:00:06.635000,(1 0 1 8 -3 5 -1 0)
1969/12/31/18:00:06.635000,(1 1 4 4 16 43 24 3)
1969/12/31/18:00:06.637000,(-1 -4 -7 -6 -3 -30 -12 1)
1969/12/31/18:00:06.637000,(-4 -3 -11 -29 -13 0 -6 -3)
1969/12/31/18:00:06.658000,(-5 -3 -9 -14 -15 -4 23 1)
1969/12/31/18:00:06.658000,(-4 0 -5 -22 -23 -20 -35 -8)
1969/12/31/18:00:06.660000,(6 7 12 33 37 10 11 8)
1969/12/31/18:00:06.660000,(0 1 12 42 40 33 -11 -5)
1969/12/31/18:00:06.672000,(-2 -4 -4 -9 -18 -27 -41 -8)
1969/12/31/18:00:06.672000,(-6 -13 -22 -44 -27 -15 13 -3)
1969/12/31/18:00:06.681000,(5 10 18 34 30 36 6 1)
1969/12/31/18:00:06.681000,(3 6 10 25 9 -10 3 1)
1969/12/31/18:00:06.695000,(-4 -3 -1 6 16 11 5 -8)
1969/12/31/18:00:06.695000,(-2 1 4 4 -14 -53 -38 -5)
1969/12/31/18:00:06.697000,(-7 -9 -14 -24 -14 43 12 -5)
1969/12/31/18:00:06.697000,(-8 -6 -7 -13 -14 -23 -34 -20)
1969/12/31/18:00:06.718000,(16 7 10 -7 -7 -9 16 21)
1969/12/31/18:00:06.718000,(-2 -1 8 13 4 0 7 -2)
1969/12/31/18:00:06.720000,(0 -2 -3 -1 -7 4 -1 -1)
1969/12/31/18:00:06.720000,(4 3 8 4 -1 22 23 3)
1969/12/31/18:00:06.732000,(-8 -7 -8 -10 1 -8 -15 -5)
1969/12/31/18:00:06.732000,(3 -3 -5 2 -1 -4 -13 -4)
1969/12/31/18:00:06.740000,(-1 1 -2 2 4 19 1 0)
1969/12/31/18:00:06.740000,(0 2 3 -12 -15 -14 4 1)
1969/12/31/18:00:06.755000,(-1 2 7 4 3 -4 -5 -4)
1969/12/31/18:00:06.755000,(2 4 4 17 14 11 15 7)
1969/12/31/18:00:06.757000,(-6 -3 -1 0 -10 0 -9 -6)
1969/12/31/18:00:06.757000,(-1 -8 -18 -17 -10 -17 -5 -2)
1969/12/31/18:00:06.778000,(-2 -5 -10 -5 0 2 6 1)
1969/12/31/18:00:06.778000,(1 9 9 17 13 14 11 3)
1969/12/31/18:00:06.780000,(-3 -3 2 -4 -9 -15 -9 -1)
1969/12/31/18:00:06.780000,(2 3 1 -3 -5 -5 1 -2)
1969/12/31/18:00:06.792000,(-1 -2 4 8 7 17 12 11)
1969/12/31/18:00:06.792000,(-4 -7 -18 -14 -2 -3 -4 1)
1969/12/31/18:00:06.800000,(2 3 7 -2 -5 -10 -10 -5)
1969/12/31/18:00:06.800000,(0 0 6 3 3 1 8 4)
1969/12/31/18:00:06.815000,(-1 -3 -5 -1 -1 -2 -1 -6)
1969/12/31/18:00:06.815000,(-4 0 -4 -1 0 -8 -2 -4)
1969/12/31/18:00:06.817000,(-4 -1 -7 -6 -1 -6 2 0)
1969/12/31/18:00:06.817000,(0 -2 -5 -6 -3 0 10 5)
1969/12/31/18:00:06.838000,(-3 0 -4 -4 1 -5 -6 -3)
1969/12/31/18:00:06.838000,(-3 -2 0 0 1 -2 4 5)
1969/12/31/18:00:06.840000,(0 1 -1 -3 0 0 -2 -3)
1969/12/31/18:00:06.840000,(-3 -1 -5 -4 -6 -2 -2 1)
1969/12/31/18:00:06.852000,(-1 -1 1 2 -2 -1 -5 -3)
1969/12/31/18:00:06.852000,(3 -1 6 6 2 3 -1 -2)
1969/12/31/18:00:06.861000,(-1 -4 -1 -1 -5 1 -2 0)
1969/12/31/18:00:06.861000,(-1 -3 -1 -1 -3 -3 -1 -1)
1969/12/31/18:00:06.875000,(4 4 1 5 1 1 -3 -3)
1969/12/31/18:00:06.876000,(5 3 2 7 3 6 1 0)
1969/12/31/18:00:06.877000,(-2 -1 -1 -7 -3 -2 -5 -1)
1969/12/31/18:00:06.877000,(-4 -7 -5 -3 -2 0 -1 1)
1969/12/31/18:00:06.898000,(9 -3 -10 -3 -2 2 2 1)
1969/12/31/18:00:06.898000,(2 14 17 9 3 -3 -12 -10)
1969/12/31/18:00:06.900000,(-6 -1 4 1 0 0 -2 0)
1969/12/31/18:00:06.900000,(-6 -6 -5 -5 -7 1 13 13)
1969/12/31/18:00:06.911000,(-1 -3 3 -4 -1 -1 -6 -2)
1969/12/31/18:00:06.911000,(-16 -14 -7 -6 -2 -1 2 -2)
1969/12/31/18:00:06.920000,(5 -4 -8 -6 -5 0 2 -1)
1969/12/31/18:00:06.920000,(4 8 5 1 -1 -1 -5 -10)
1969/12/31/18:00:06.943000,(10 0 -4 -3 -6 -3 0 1)
1969/12/31/18:00:06.943000,(32 16 9 10 6 6 -1 18)
1969/12/31/18:00:06.945000,(-26 -11 4 4 0 1 3 -11)
1969/12/31/18:00:06.945000,(-20 -14 -6 -4 -1 -1 -1 -5)
1969/12/31/18:00:06.965000,(4 12 7 3 1 0 -10 -21)
1969/12/31/18:00:06.965000,(-1 -1 -2 -1 -1 1 8 9)
1969/12/31/18:00:06.967000,(41 30 11 6 5 -3 -13 7)
1969/12/31/18:00:06.967000,(19 6 1 2 3 -1 -2 7)
1969/12/31/18:00:06.980000,(-59 -25 -4 -3 -4 -11 -15 -30)
1969/12/31/18:00:06.980000,(-23 -17 -10 -6 -5 -2 1 -20)
1969/12/31/18:00:06.982000,(-17 -16 -15 -10 -6 -6 -3 12)
1969/12/31/18:00:06.982000,(35 7 -2 -4 -2 -1 10 26)
1969/12/31/18:00:06.995000,(-12 0 -2 -3 -2 0 5 -5)
1969/12/31/18:00:06.995000,(6 6 1 6 4 4 8 -4)
1969/12/31/18:00:06.997000,(-9 -9 -6 -6 -4 -4 -2 -5)
1969/12/31/18:00:06.997000,(9 13 5 -1 -1 -5 -15 -8)
1969/12/31/18:00:07.018000,(-13 -15 -7 -6 -4 1 -2 -1)
1969/12/31/18:00:07.018000,(30 5 -4 -9 -4 0 13 7)
1969/12/31/18:00:07.020000,(13 5 5 4 4 4 -13 -11)
1969/12/31/18:00:07.020000,(-14 -8 -4 -2 -1 2 8 16)
1969/12/31/18:00:07.032000,(18 10 3 6 7 0 12 14)
1969/12/31/18:00:07.032000,(9 -2 -4 -1 -8 -19 -15 -8)
1969/12/31/18:00:07.041000,(30 22 6 6 2 6 3 16)
1969/12/31/18:00:07.041000,(-77 -45 -8 -2 -11 4 -3 -60)
1969/12/31/18:00:07.056000,(-1 5 10 8 5 25 -16 6)
1969/12/31/18:00:07.056000,(-21 -15 -2 -3 -16 -45 -2 -13)
1969/12/31/18:00:07.057000,(57 22 6 1 3 28 25 44)
1969/12/31/18:00:07.057000,(-7 -2 -8 -6 -6 0 -14 -25)
1969/12/31/18:00:07.078000,(34 -3 -3 -4 -7 21 14 8)
1969/12/31/18:00:07.078000,(30 9 -2 -7 1 -18 -26 30)
1969/12/31/18:00:07.080000,(-66 -25 -16 -33 -19 -8 -1 -47)
1969/12/31/18:00:07.080000,(-36 -7 6 25 17 -14 -8 -7)
1969/12/31/18:00:07.092000,(-9 -2 -2 3 -5 -26 19 30)
1969/12/31/18:00:07.092000,(-15 -20 -1 10 11 17 -3 -28)
1969/12/31/18:00:07.101000,(-14 -8 -4 -9 -9 -11 -6 -2)
1969/12/31/18:00:07.101000,(42 20 2 -9 2 9 5 33)
1969/12/31/18:00:07.115000,(-3 7 0 -1 3 1 -5 -2)
1969/12/31/18:00:07.115000,(-18 8 2 -20 -17 19 21 -25)
1969/12/31/18:00:07.121000,(-14 -27 -12 18 15 -17 -11 -12)
1969/12/31/18:00:07.121000,(-1 4 3 4 6 1 -6 -7)
1969/12/31/18:00:07.138000,(-17 7 6 5 3 13 7 -27)
1969/12/31/18:00:07.138000,(10 -6 -7 -3 -1 5 13 32)
1969/12/31/18:00:07.140000,(-20 11 3 3 3 24 -2 -14)
