timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
15504233197,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=465105859), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7715638709272061, y=-0.5104698794838753, z=0.2571879569757354, w=-0.27922043264451574)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=3.75, y=-2.5625, z=-1.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.66455078125, y=0.6220703125, z=0.3173828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15508874213,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=469921462), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7713838816178328, y=-0.5108381271573115, z=0.25712796053927756, w=-0.2790994928901297)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.5625, y=-0.4375, z=-1.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.68408203125, y=0.6328125, z=0.326171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15541719885,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=502663029), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7710179421455481, y=-0.5130964806156592, z=0.2544426344340054, w=-0.27842823177930737)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=11.75, y=7.1875, z=-10.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.7216796875, y=0.6630859375, z=0.3017578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15553443291,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=514293322), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7700989875237875, y=-0.5166950410822939, z=0.2501082303750579, w=-0.27824388049777676)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=22.875, y=14.625, z=-18.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.73828125, y=0.69189453125, z=0.31201171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15569143820,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=530100520), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7697452506649037, y=-0.5213418911496676, z=0.24223905010220448, w=-0.27751598911935593)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=31.8125, y=26.5, z=-33.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.798828125, y=0.7841796875, z=0.36962890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15584948341,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=545838355), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7705507606887788, y=-0.527148270896553, z=0.22948680080711353, w=-0.2751400260740606)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=36.9375, y=42.375, z=-55.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81884765625, y=0.93701171875, z=0.39892578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15645385152,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=606342288), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7721349035925117, y=-0.5321511520372388, z=0.213678309815618, w=-0.2737963147194694)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=34.125, y=62.875, z=-57.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.80224609375, y=1.03271484375, z=0.37451171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15647753649,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=608724509), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7731032623410548, y=-0.5368450537263691, z=0.1951220596592999, w=-0.27574647029737787)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=43.5625, y=84.5, z=-51.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81591796875, y=1.08251953125, z=0.40966796875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15658358275,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=619360997), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.77480476364805, y=-0.5426379798026635, z=0.1698528284547084, w=-0.2763541528001867)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=59.875, y=107.3125, z=-83.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.79541015625, y=1.16162109375, z=0.45849609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15673450991,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=634470120), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.777060859405109, y=-0.5485566293067169, z=0.1385428959196982, w=-0.27580411747185735)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=65.5625, y=131.25, z=-107.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.62744140625, y=1.140625, z=0.30908203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15689415328,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=650420926), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7788279563334704, y=-0.5541085350326446, z=0.10308286327460477, w=-0.27525382674272797)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=70.4375, y=150.0, z=-118.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4873046875, y=1.216796875, z=0.23828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15705047084,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=666055461), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7805052950282615, y=-0.5588290961275229, z=0.06548969202106072, w=-0.2724566497502471)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=69.125, y=152.9375, z=-132.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.32275390625, y=1.26611328125, z=0.24072265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15725930365,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=686918321), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7807380833774821, y=-0.5641919045295063, z=0.02715982231886957, w=-0.2672038249708112)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=77.0625, y=145.9375, z=-143.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.1708984375, y=1.224609375, z=0.2470703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15742500712,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=703474109), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7784130459413379, y=-0.5713285653957083, z=-0.012328636920193684, w=-0.2598168681646758)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=96.5, y=140.5, z=-153.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.017578125, y=1.11767578125, z=0.27490234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15788883585,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=749940508), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7740005209405516, y=-0.5792492465105484, z=-0.052425993336061655, w=-0.2502898703971931)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=109.5, y=134.375, z=-161.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.119140625, y=1.04052734375, z=0.31884765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15792966767,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=754097285), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7671167769112299, y=-0.5878034591798914, z=-0.09307447567743063, w=-0.23949130659556578)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=122.9375, y=131.875, z=-164.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.2470703125, y=1.01953125, z=0.32958984375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
15802167331,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185434, nanosec=763107771), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.7578279175878903, y=-0.5968268668834645, z=-0.13500163918051167, w=-0.2264267998913645)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=136.6875, y=129.8125, z=-170.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.580078125, y=0.83056640625, z=0.29541015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
