timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
38172142658,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=879017802), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.5890426764118992, y=0.11096047929922628, z=-0.7573144263722771, w=-0.25921295686678436)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=3.0, y=12.875, z=-27.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.84228515625, y=0.67919921875, z=-0.287109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.172142658,"[0.5890426764118992, 0.11096047929922628, -0.7573144263722771, -0.25921295686678436]","[3.0, 12.875, -27.8125]","[0.84228515625, 0.67919921875, -0.287109375]"
38193452096,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=900228674), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.5861902052714693, y=0.1153581307749976, z=-0.7574573560411219, w=-0.2633095111975342)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-5.0, y=-0.125, z=-29.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.865234375, y=0.68408203125, z=-0.33349609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.193452096,"[0.5861902052714693, 0.1153581307749976, -0.7574573560411219, -0.2633095111975342]","[-5.0, -0.125, -29.75]","[0.865234375, 0.68408203125, -0.33349609375]"
38208442681,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=915083354), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.5840377245110007, y=0.11743009530349727, z=-0.7574363215781711, w=-0.2672083977332178)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-9.1875, y=-7.875, z=-25.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.99365234375, y=0.64501953125, z=-0.22265625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.208442681,"[0.5840377245110007, 0.11743009530349727, -0.7574363215781711, -0.2672083977332178]","[-9.1875, -7.875, -25.8125]","[0.99365234375, 0.64501953125, -0.22265625]"
38224852234,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=931578430), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.586486957328071, y=0.11663821161972565, z=-0.7540285014914132, w=-0.27178961608719954)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-22.4375, y=4.875, z=-18.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0947265625, y=0.59619140625, z=0.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.224852234,"[0.586486957328071, 0.11663821161972565, -0.7540285014914132, -0.27178961608719954]","[-22.4375, 4.875, -18.0625]","[1.0947265625, 0.59619140625, 0.0]"
38246075553,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=952663639), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.5937525901414439, y=0.11523487769192496, z=-0.7457918276046774, w=-0.27923705796639653)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-40.9375, y=30.25, z=-16.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.07373046875, y=0.662109375, z=0.1845703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.246075553,"[0.5937525901414439, 0.11523487769192496, -0.7457918276046774, -0.27923705796639653]","[-40.9375, 30.25, -16.8125]","[1.07373046875, 0.662109375, 0.1845703125]"
38268296131,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=974953280), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6049183271280416, y=0.11499002404492285, z=-0.7327867455856389, w=-0.28961128667365127)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-56.0, y=59.6875, z=-23.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.00439453125, y=0.72265625, z=0.3076171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.268296131,"[0.6049183271280416, 0.11499002404492285, -0.7327867455856389, -0.28961128667365127]","[-56.0, 59.6875, -23.125]","[1.00439453125, 0.72265625, 0.3076171875]"
38284735307,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346609, nanosec=991507089), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6166984721016806, y=0.11712632303673051, z=-0.7174673930676223, w=-0.30200158748605654)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-64.3125, y=79.6875, z=-36.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0478515625, y=0.84375, z=0.2451171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.284735307,"[0.6166984721016806, 0.11712632303673051, -0.7174673930676223, -0.30200158748605654]","[-64.3125, 79.6875, -36.4375]","[1.0478515625, 0.84375, 0.2451171875]"
38306164565,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346610, nanosec=12694737), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6271897843118315, y=0.12109230557363504, z=-0.7005531670232777, w=-0.31811143984364204)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-76.75, y=82.5625, z=-62.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.04296875, y=0.83935546875, z=0.26904296875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.306164565,"[0.6271897843118315, 0.12109230557363504, -0.7005531670232777, -0.31811143984364204]","[-76.75, 82.5625, -62.8125]","[1.04296875, 0.83935546875, 0.26904296875]"
38336440013,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346610, nanosec=43222389), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6378547241901859, y=0.12591085025398083, z=-0.6819204701346232, w=-0.3350705612672587)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-83.8125, y=95.75, z=-76.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.99169921875, y=0.7294921875, z=0.24365234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.336440013,"[0.6378547241901859, 0.12591085025398083, -0.6819204701346232, -0.3350705612672587]","[-83.8125, 95.75, -76.6875]","[0.99169921875, 0.7294921875, 0.24365234375]"
38344907974,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730346610, nanosec=51659071), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6493983620985492, y=0.1315886154778639, z=-0.6606285593378474, w=-0.35289674150881684)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-95.5, y=117.875, z=-82.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.84716796875, y=0.5986328125, z=0.33154296875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,38.344907974,"[0.6493983620985492, 0.1315886154778639, -0.6606285593378474, -0.35289674150881684]","[-95.5, 117.875, -82.125]","[0.84716796875, 0.5986328125, 0.33154296875]"
