time,.data
1969/12/31/18:00:07.845000,(-2 1 1 4 3 0 0 -2)
1969/12/31/18:00:07.845000,(-2 -2 -1 0 -1 0 -1 0)
1969/12/31/18:00:07.860000,(-1 -1 -2 -4 -6 -1 -2 -3)
1969/12/31/18:00:07.860000,(1 2 2 6 3 -1 -2 0)
1969/12/31/18:00:07.861000,(-2 -1 -1 -1 -3 -1 -1 0)
1969/12/31/18:00:07.861000,(-1 0 -1 -1 -1 0 -1 0)
1969/12/31/18:00:07.883000,(-1 -2 -1 -3 -1 -2 -1 -1)
1969/12/31/18:00:07.883000,(-1 0 -1 0 -2 -3 -1 0)
1969/12/31/18:00:07.884000,(0 -2 -1 -3 -10 -3 0 0)
1969/12/31/18:00:07.884000,(-2 0 0 -4 1 -3 -3 -2)
1969/12/31/18:00:07.896000,(0 -2 -3 7 15 4 12 3)
1969/12/31/18:00:07.896000,(0 0 1 -6 -13 -5 -22 -10)
1969/12/31/18:00:07.905000,(0 3 5 10 11 -8 0 -1)
1969/12/31/18:00:07.905000,(1 0 0 -1 -3 0 0 3)
1969/12/31/18:00:07.920000,(3 3 2 3 1 5 -3 1)
1969/12/31/18:00:07.920000,(2 1 2 5 -1 0 14 5)
1969/12/31/18:00:07.921000,(-7 -6 -10 -12 -6 8 -16 -11)
1969/12/31/18:00:07.921000,(-4 -5 -12 -25 -23 -21 14 0)
1969/12/31/18:00:07.942000,(0 2 2 24 25 8 -23 -5)
1969/12/31/18:00:07.942000,(1 2 11 9 7 1 4 2)
1969/12/31/18:00:07.944000,(-1 -1 4 2 -7 -5 -8 -3)
1969/12/31/18:00:07.944000,(0 -1 -2 5 3 7 9 2)
1969/12/31/18:00:07.964000,(-3 -9 -12 -29 -20 2 11 -3)
1969/12/31/18:00:07.964000,(2 -3 -12 -14 -21 -5 15 14)
1969/12/31/18:00:07.966000,(-5 -1 2 -4 5 -14 0 -14)
1969/12/31/18:00:07.966000,(0 -1 0 8 17 36 38 12)
1969/12/31/18:00:07.979000,(4 8 15 19 23 -15 -34 1)
1969/12/31/18:00:07.979000,(-1 -3 -2 13 25 -2 -2 2)
1969/12/31/18:00:07.981000,(0 -3 -11 -33 -35 -4 15 6)
1969/12/31/18:00:07.981000,(-9 -4 -11 -3 -23 2 12 -11)
1969/12/31/18:00:08.002000,(-1 -2 3 5 6 -9 -3 2)
1969/12/31/18:00:08.002000,(2 6 11 13 31 -5 -21 -5)
1969/12/31/18:00:08.008000,(-1 -3 -2 10 -5 -14 -3 -2)
1969/12/31/18:00:08.008000,(-12 6 6 13 19 27 -16 -9)
1969/12/31/18:00:08.016000,(19 5 4 -15 -31 -18 -15 -1)
1969/12/31/18:00:08.016000,(-10 -8 -13 -24 -3 32 24 -10)
1969/12/31/18:00:08.025000,(10 1 -5 -2 6 -13 16 16)
1969/12/31/18:00:08.025000,(-8 -6 0 -4 -6 -22 -42 -24)
1969/12/31/18:00:08.039000,(-10 -9 -10 -27 -19 10 21 -2)
1969/12/31/18:00:08.039000,(-5 -3 -15 9 3 -20 -21 -7)
1969/12/31/18:00:08.046000,(1 2 8 -14 5 13 9 -2)
1969/12/31/18:00:08.046000,(9 1 11 15 3 -2 -1 12)
1969/12/31/18:00:08.062000,(-7 2 -15 15 3 2 12 -5)
1969/12/31/18:00:08.062000,(0 -4 21 -18 -16 -11 -10 -6)
1969/12/31/18:00:08.064000,(-8 -5 -21 14 7 11 -2 -1)
1969/12/31/18:00:08.064000,(6 1 13 -23 0 -18 -8 5)
