time,.data
1969-12-31 18:00:04.567000000,(-1 -1 -2 -1 0 0 -2 0)
1969-12-31 18:00:04.567000000,(-2 -1 -4 -2 -2 -2 -2 -2)
1969-12-31 18:00:04.568642710,(-1 -1 -1 -2 0 -2 -1 -3)
1969-12-31 18:00:04.568642710,(-1 0 1 0 0 0 0 0)
1969-12-31 18:00:04.585891170,(-2 -3 -4 -5 -3 -1 -2 0)
1969-12-31 18:00:04.585891170,(-1 -1 2 2 0 0 0 -1)
1969-12-31 18:00:04.586712526,(-1 0 -1 0 -1 1 1 0)
1969-12-31 18:00:04.586712526,(-2 -1 -3 -1 -2 -2 -2 -1)
1969-12-31 18:00:04.596568789,(-2 0 -2 -2 -3 -2 0 0)
1969-12-31 18:00:04.597390144,(-1 -1 2 1 0 0 -1 -1)
1969-12-31 18:00:04.604782341,(-2 -1 -2 -4 -4 -1 -1 -1)
1969-12-31 18:00:04.604782341,(1 -2 -2 -1 -1 -1 0 0)
1969-12-31 18:00:04.616281314,(-1 0 -1 0 -3 -1 -1 -2)
1969-12-31 18:00:04.616281314,(-1 0 -4 0 -3 -3 -1 -2)
1969-12-31 18:00:04.617924025,(0 1 0 1 0 0 -1 0)
1969-12-31 18:00:04.617924025,(-1 -1 -2 -2 -1 -1 1 -1)
1969-12-31 18:00:04.635172485,(0 -2 0 0 -1 -1 0 0)
1969-12-31 18:00:04.635172485,(-3 -3 -6 -4 -3 -1 -2 0)
1969-12-31 18:00:04.635993840,(-2 -2 -2 0 -1 -1 -1 -2)
1969-12-31 18:00:04.635993840,(1 -2 1 -1 1 1 -1 1)
1969-12-31 18:00:04.645850103,(1 4 3 2 -1 -2 1 0)
1969-12-31 18:00:04.645850103,(-4 -3 -2 -2 -1 1 0 -1)
1969-12-31 18:00:04.653242300,(-2 -2 -1 -1 0 -1 -2 -1)
1969-12-31 18:00:04.653242300,(-2 0 -2 0 1 -1 0 0)
1969-12-31 18:00:04.665562628,(-2 -3 -3 -3 -2 0 -2 -1)
1969-12-31 18:00:04.665562628,(0 2 5 1 -1 -2 -1 -2)
1969-12-31 18:00:04.667205339,(-1 -1 -2 0 1 0 0 1)
1969-12-31 18:00:04.667205339,(0 -2 -2 1 -2 0 0 -1)
1969-12-31 18:00:04.684453799,(-1 -2 -2 -3 -4 -4 -2 -3)
1969-12-31 18:00:04.684453799,(1 0 0 2 -1 0 1 1)
1969-12-31 18:00:04.685275154,(-1 0 0 2 1 0 -1 -1)
1969-12-31 18:00:04.685275154,(-2 -2 -4 -9 -2 -2 -3 0)
1969-12-31 18:00:04.695952772,(-2 0 -1 1 -1 0 -1 -2)
1969-12-31 18:00:04.695952772,(-2 -1 -3 -3 -1 -1 -2 -1)
1969-12-31 18:00:04.709094456,(-1 -2 0 -2 -2 -1 -1 -1)
1969-12-31 18:00:04.709094456,(0 1 1 3 1 1 0 0)
1969-12-31 18:00:04.714843943,(-1 -1 -2 -5 -1 0 1 0)
1969-12-31 18:00:04.714843943,(0 0 1 3 2 0 -1 1)
1969-12-31 18:00:04.716486653,(1 -3 -4 -5 -3 -2 -1 -2)
1969-12-31 18:00:04.716486653,(-1 -1 0 -11 -5 -3 -2 -3)
1969-12-31 18:00:04.733735113,(0 0 2 16 6 -3 -2 -3)
1969-12-31 18:00:04.733735113,(-2 -2 -4 -6 -1 -1 -1 -2)
1969-12-31 18:00:04.735377823,(-1 1 4 0 -2 -1 0 0)
1969-12-31 18:00:04.735377823,(-1 -4 -9 -4 -2 0 0 -1)
1969-12-31 18:00:04.744412731,(-1 0 0 -7 -1 0 -1 -1)
1969-12-31 18:00:04.744412731,(1 6 11 9 2 -1 0 -1)
1969-12-31 18:00:04.751804928,(-1 1 3 12 4 1 0 1)
1969-12-31 18:00:04.751804928,(-4 -6 -4 -3 -3 -2 -1 -1)
1969-12-31 18:00:04.764125257,(-6 -9 -19 -37 -13 -5 -5 -2)
1969-12-31 18:00:04.764125257,(-2 -2 -17 -6 -4 -3 -2 -3)
1969-12-31 18:00:04.765767967,(5 11 30 36 13 6 4 3)
1969-12-31 18:00:04.765767967,(3 6 15 18 7 2 2 2)
1969-12-31 18:00:04.783016427,(2 2 4 6 1 -1 0 -2)
1969-12-31 18:00:04.783016427,(-5 -5 0 -6 -5 -2 0 -2)
1969-12-31 18:00:04.783837782,(-4 -5 -15 -28 -12 -5 -5 -6)
1969-12-31 18:00:04.783837782,(-3 -4 -7 3 1 -2 -3 -1)
1969-12-31 18:00:04.794515400,(-2 -5 -17 -24 -5 -3 0 -2)
1969-12-31 18:00:04.794515400,(3 6 -3 14 3 -1 -2 -1)
1969-12-31 18:00:04.806014374,(5 10 38 34 10 5 2 4)
1969-12-31 18:00:04.806014374,(-3 -10 -10 -17 -4 1 2 1)
1969-12-31 18:00:04.813406571,(-1 6 -2 5 -4 -7 -10 -7)
1969-12-31 18:00:04.813406571,(0 -6 -2 8 5 3 4 5)
1969-12-31 18:00:04.818334702,(0 -3 -6 0 -2 -3 -1 2)
1969-12-31 18:00:04.818334702,(0 4 0 -10 -3 -1 -1 -4)
1969-12-31 18:00:04.832297740,(-1 0 7 9 2 1 1 1)
1969-12-31 18:00:04.832297740,(-3 -4 4 -9 -3 -1 -1 -1)
1969-12-31 18:00:04.833119097,(-3 -6 -24 -9 -8 -4 0 -1)
1969-12-31 18:00:04.833119097,(-1 1 7 2 -1 0 -1 1)
1969-12-31 18:00:04.842975359,(-4 0 2 6 2 -1 -5 -6)
1969-12-31 18:00:04.842975359,(-1 0 3 -4 0 0 0 -2)
1969-12-31 18:00:04.850367556,(-5 -11 -12 -17 -3 -1 0 -2)
1969-12-31 18:00:04.850367556,(-2 -3 -13 -5 -5 -4 -3 -4)
1969-12-31 18:00:04.861866530,(1 -1 3 7 4 3 4 3)
1969-12-31 18:00:04.861866530,(2 2 3 2 -1 -3 -2 -3)
1969-12-31 18:00:04.867616016,(-2 -4 -10 -14 -5 -2 -2 -1)
1969-12-31 18:00:04.867616016,(-1 0 -1 5 2 2 1 1)
1969-12-31 18:00:04.880757700,(-2 3 7 3 -1 2 3 2)
1969-12-31 18:00:04.881579055,(-4 0 3 0 -2 -7 -13 -13)
1969-12-31 18:00:04.882400411,(-2 -2 -10 -10 -4 -1 -1 -2)
1969-12-31 18:00:04.882400411,(-1 4 9 7 2 -1 -1 -2)
1969-12-31 18:00:04.892256674,(1 -4 -1 -1 -1 1 3 3)
1969-12-31 18:00:04.892256674,(-1 0 -9 -5 -1 -1 2 4)
1969-12-31 18:00:04.899648871,(-6 -10 -10 -3 1 1 3 0)
1969-12-31 18:00:04.899648871,(-3 -11 -7 1 -2 -3 -4 -3)
1969-12-31 18:00:04.911969199,(-2 -12 -2 -4 -2 0 -1 0)
1969-12-31 18:00:04.911969199,(0 15 -14 -6 -3 -2 -3 -6)
1969-12-31 18:00:04.916897331,(-4 5 17 0 -2 -3 -5 -4)
1969-12-31 18:00:04.916897331,(-6 -47 -25 -12 -7 -2 -1 0)
1969-12-31 18:00:04.930860370,(5 8 -30 -1 1 -1 -1 1)
1969-12-31 18:00:04.930860370,(25 88 92 47 16 9 10 12)
1969-12-31 18:00:04.935788501,(0 -13 -17 -5 -3 -2 -1 -1)
1969-12-31 18:00:04.935788501,(-5 -9 -21 -8 -5 -4 -4 -3)
1969-12-31 18:00:04.948930185,(-7 -33 -15 2 -1 0 -2 -1)
1969-12-31 18:00:04.948930185,(-16 -55 -27 -12 -5 0 1 -1)
1969-12-31 18:00:04.950572895,(-6 0 -11 -7 -2 -1 -3 -4)
1969-12-31 18:00:04.950572895,(7 24 33 10 1 3 11 13)
1969-12-31 18:00:04.961250513,(0 5 5 5 3 -2 -9 -9)
1969-12-31 18:00:04.961250513,(-19 -17 -15 -10 -4 -1 -1 -4)
1969-12-31 18:00:04.966178645,(18 13 10 4 3 0 -1 1)
1969-12-31 18:00:04.966178645,(15 5 -22 -12 -7 -5 1 6)
1969-12-31 18:00:04.980141684,(-9 -6 8 1 1 0 -4 -16)
1969-12-31 18:00:04.980141684,(-1 -11 -6 -7 -4 -2 1 6)
1969-12-31 18:00:04.980963039,(-21 -14 -6 -2 0 -2 -3 -1)
1969-12-31 18:00:04.980963039,(1 17 8 2 0 -4 -6 -11)
1969-12-31 18:00:04.998211499,(-13 17 19 7 2 3 11 19)
1969-12-31 18:00:04.998211499,(4 -29 -13 -4 -3 -3 -11 -13)
1969-12-31 18:00:04.999854209,(23 12 -6 -4 -3 3 13 13)
1969-12-31 18:00:04.999854209,(-55 -12 6 8 5 -1 -6 8)
1969-12-31 18:00:05.009710472,(9 -12 -13 -15 -14 -16 -29 -58)
1969-12-31 18:00:05.010531828,(-7 -16 -22 -14 -3 -1 1 -4)
1969-12-31 18:00:05.015459959,(-10 4 3 -2 -3 -4 -5 4)
1969-12-31 18:00:05.015459959,(31 26 16 8 5 5 5 3)
1969-12-31 18:00:05.029422998,(-43 -16 0 3 4 6 12 5)
1969-12-31 18:00:05.029422998,(21 3 -7 -8 -6 -8 -15 -17)
1969-12-31 18:00:05.030244353,(-6 1 7 2 1 6 4 7)
1969-12-31 18:00:05.030244353,(65 38 14 9 8 14 10 22)
1969-12-31 18:00:05.047492813,(-25 -3 -9 -8 -9 -22 -25 -62)
1969-12-31 18:00:05.047492813,(12 11 7 3 -2 -25 2 31)
1969-12-31 18:00:05.049135524,(-24 -11 -5 1 6 22 -17 -25)
1969-12-31 18:00:05.049135524,(-30 -19 -3 -1 0 5 0 -9)
1969-12-31 18:00:05.058991786,(66 16 10 9 7 18 37 97)
1969-12-31 18:00:05.058991786,(-47 -10 -2 0 0 -12 -39 -62)
1969-12-31 18:00:05.066383984,(21 5 -6 -6 -11 -4 23 4)
1969-12-31 18:00:05.066383984,(-6 0 -8 -10 -6 0 -33 -34)
1969-12-31 18:00:05.078704312,(49 37 20 9 5 9 -8 -12)
1969-12-31 18:00:05.078704312,(-31 -35 -8 1 5 -5 11 51)
1969-12-31 18:00:05.080347023,(-24 11 5 2 2 -6 6 7)
1969-12-31 18:00:05.080347023,(57 -2 -16 -7 -5 5 0 13)
1969-12-31 18:00:05.096774127,(-31 -11 -6 -7 -4 -3 21 37)
1969-12-31 18:00:05.097595483,(15 14 4 0 -3 -6 -35 -24)
1969-12-31 18:00:05.098416837,(-6 -20 -10 -6 -1 7 30 43)
1969-12-31 18:00:05.098416837,(16 20 12 12 11 -7 4 7)
1969-12-31 18:00:05.108273101,(35 -1 -3 -5 -6 16 -6 -13)
1969-12-31 18:00:05.108273101,(8 -1 -17 -17 -14 5 13 -1)
1969-12-31 18:00:05.115665298,(37 44 14 8 6 7 -3 9)
1969-12-31 18:00:05.115665298,(-52 -64 -14 -4 -6 -17 -13 -22)
1969-12-31 18:00:05.127985626,(-21 -1 4 7 10 -6 2 -5)
1969-12-31 18:00:05.127985626,(-21 10 9 7 6 29 31 38)
1969-12-31 18:00:05.128806982,(29 -5 -14 -8 -3 -8 -32 -13)
1969-12-31 18:00:05.128806982,(-19 6 4 -1 -7 -22 21 6)
1969-12-31 18:00:05.146055441,(16 -6 -9 -6 -4 0 -4 22)
1969-12-31 18:00:05.146055441,(-12 -23 -8 -4 -2 4 -7 -6)
1969-12-31 18:00:05.147698152,(42 -12 -5 -2 -5 -10 19 66)
1969-12-31 18:00:05.147698152,(-12 -1 3 2 4 5 -21 -7)
1969-12-31 18:00:05.157554415,(14 6 -1 -7 -13 -17 -1 -21)
1969-12-31 18:00:05.157554415,(25 12 -2 1 0 9 23 51)
1969-12-31 18:00:05.164946612,(1 -6 6 2 -1 -17 -10 -13)
1969-12-31 18:00:05.164946612,(-9 21 1 -6 -4 35 16 -3)
1969-12-31 18:00:05.177266940,(-5 -19 -12 -11 -15 -31 -26 -15)
1969-12-31 18:00:05.177266940,(40 11 -3 -1 3 -2 9 31)
1969-12-31 18:00:05.178088296,(-62 -9 6 6 5 8 -20 -109)
1969-12-31 18:00:05.178088296,(-93 -32 -10 -10 -15 -50 -13 -50)
1969-12-31 18:00:05.195336756,(21 11 11 10 11 8 11 33)
1969-12-31 18:00:05.195336756,(-45 -27 -9 -3 5 22 8 -21)
1969-12-31 18:00:05.196979466,(-19 -7 -1 0 1 -8 12 -2)
1969-12-31 18:00:05.196979466,(37 3 -7 -7 0 21 -27 -32)
1969-12-31 18:00:05.206835729,(-7 15 1 -3 -4 -9 -19 21)
1969-12-31 18:00:05.206835729,(43 42 16 13 5 -16 -10 -35)
1969-12-31 18:00:05.214227926,(-8 -17 -10 -9 -11 -46 -67 -23)
1969-12-31 18:00:05.214227926,(-6 14 12 11 18 48 52 20)
1969-12-31 18:00:05.226548255,(-50 -13 5 4 7 7 1 -43)
1969-12-31 18:00:05.226548255,(-39 -25 -8 -5 -2 6 -20 -59)
1969-12-31 18:00:05.227369610,(60 30 10 5 3 4 8 8)
1969-12-31 18:00:05.227369610,(53 34 -5 -9 -12 -24 -28 -30)
1969-12-31 18:00:05.244618070,(-81 -30 -1 3 1 -6 5 -39)
1969-12-31 18:00:05.244618070,(-2 1 -2 0 0 -6 64 39)
1969-12-31 18:00:05.246260780,(-59 -38 -16 -10 -7 -8 -4 31)
1969-12-31 18:00:05.246260780,(-13 9 14 9 8 -3 -17 -9)
1969-12-31 18:00:05.256117043,(-20 11 -4 -3 -1 11 6 -16)
1969-12-31 18:00:05.256117043,(4 -12 -5 -5 -8 -14 -29 -9)
1969-12-31 18:00:05.263509240,(44 25 4 2 4 20 48 78)
1969-12-31 18:00:05.263509240,(-74 -34 -7 -4 -8 -3 2 -26)
1969-12-31 18:00:05.275829569,(-2 4 -1 0 0 -23 -33 -31)
1969-12-31 18:00:05.275829569,(-44 -25 -3 -2 1 23 -7 -76)
1969-12-31 18:00:05.276650924,(4 4 -4 -5 -6 -33 -10 -14)
1969-12-31 18:00:05.276650924,(31 -12 -6 -3 -3 -3 23 37)
1969-12-31 18:00:05.293899384,(-6 -1 2 2 5 17 10 1)
1969-12-31 18:00:05.293899384,(1 19 19 16 12 5 31 68)
1969-12-31 18:00:05.295542094,(37 29 5 -3 -4 15 -31 -112)
