time,.data
1969/12/31/18:00:03.496000,(-2 -2 -7 28 13 -2 -1 -2)
1969/12/31/18:00:03.496000,(-16 -17 -10 -64 -62 -12 -11 -17)
1969/12/31/18:00:03.510000,(16 20 22 69 80 23 8 9)
1969/12/31/18:00:03.510000,(9 8 12 15 23 8 4 7)
1969/12/31/18:00:03.516000,(1 -2 6 71 20 9 6 3)
1969/12/31/18:00:03.516000,(-5 -10 -20 -77 -37 -5 -3 -4)
1969/12/31/18:00:03.533000,(2 6 -8 -56 -32 -11 -2 -1)
1969/12/31/18:00:03.533000,(-1 0 14 83 50 8 -1 -4)
1969/12/31/18:00:03.534000,(-9 -8 1 6 -8 -8 -8 -6)
1969/12/31/18:00:03.534000,(2 3 3 16 13 1 3 4)
1969/12/31/18:00:03.546000,(-2 -6 -34 -103 -52 -18 -6 -2)
1969/12/31/18:00:03.546000,(3 3 13 29 -3 2 3 4)
1969/12/31/18:00:03.555000,(-3 1 9 21 0 2 -1 -1)
1969/12/31/18:00:03.555000,(2 2 6 10 10 3 3 3)
1969/12/31/18:00:03.570000,(1 -3 -13 -5 -12 -3 1 -1)
1969/12/31/18:00:03.570000,(-3 -2 1 -23 -21 -2 -3 -2)
1969/12/31/18:00:03.576000,(-1 2 -1 -5 12 3 0 1)
1969/12/31/18:00:03.576000,(-1 1 9 34 20 3 0 0)
1969/12/31/18:00:03.593000,(1 -3 -11 -1 -25 -9 -2 0)
1969/12/31/18:00:03.593000,(1 3 -2 -35 -12 -1 1 2)
1969/12/31/18:00:03.594000,(-6 -2 9 30 10 4 -1 -5)
1969/12/31/18:00:03.594000,(2 3 6 23 21 3 2 2)
1969/12/31/18:00:03.606000,(-8 -3 -6 -4 -7 -3 -3 -5)
1969/12/31/18:00:03.606000,(-1 -4 -8 -33 -11 -4 -2 -3)
1969/12/31/18:00:03.615000,(2 0 0 -2 1 1 1 5)
1969/12/31/18:00:03.615000,(0 1 2 7 -1 0 2 0)
1969/12/31/18:00:03.630000,(0 1 -3 -9 -3 -2 1 0)
1969/12/31/18:00:03.630000,(1 -2 -5 -5 0 0 -4 -2)
1969/12/31/18:00:03.637000,(0 -2 2 -3 -2 0 0 0)
1969/12/31/18:00:03.637000,(2 2 2 9 1 1 1 2)
1969/12/31/18:00:03.653000,(-2 -4 -4 -1 1 1 -1 -2)
1969/12/31/18:00:03.653000,(2 1 2 -5 -4 0 2 3)
1969/12/31/18:00:03.655000,(1 0 -2 -1 -2 0 0 2)
1969/12/31/18:00:03.655000,(-2 0 1 -1 1 2 -3 -4)
1969/12/31/18:00:03.666000,(-4 0 -1 -3 -4 -1 -1 -2)
1969/12/31/18:00:03.666000,(-7 -5 1 3 3 -2 -2 -5)
1969/12/31/18:00:03.676000,(5 6 2 -7 0 -1 2 3)
1969/12/31/18:00:03.676000,(1 0 -3 7 3 -1 -3 -3)
1969/12/31/18:00:03.690000,(2 0 -1 -1 -1 -2 -1 -1)
1969/12/31/18:00:03.690000,(1 -1 -3 -11 -1 1 3 1)
1969/12/31/18:00:03.697000,(-4 -5 -2 10 2 0 0 2)
1969/12/31/18:00:03.697000,(16 9 0 -6 -5 -3 5 14)
1969/12/31/18:00:03.713000,(-5 3 4 5 5 5 -1 -9)
1969/12/31/18:00:03.713000,(-4 -6 -3 -4 -6 -5 -7 -5)
1969/12/31/18:00:03.715000,(-7 -4 -1 0 3 3 0 -5)
1969/12/31/18:00:03.715000,(-4 -3 3 5 -5 -2 -3 -4)
1969/12/31/18:00:03.726000,(-2 -6 -4 5 10 -1 -1 3)
1969/12/31/18:00:03.726000,(-3 -4 -4 -17 -10 -3 4 5)
1969/12/31/18:00:03.735000,(11 15 2 3 0 0 -2 -3)
1969/12/31/18:00:03.735000,(16 -2 -2 9 4 2 5 8)
1969/12/31/18:00:03.750000,(-37 -15 -5 -39 -21 -9 -17 -36)
1969/12/31/18:00:03.750000,(-4 -3 6 31 21 4 -2 0)
1969/12/31/18:00:03.756000,(-7 -1 6 12 5 2 0 -1)
1969/12/31/18:00:03.756000,(12 4 -5 -2 -11 -8 -1 15)
1969/12/31/18:00:03.773000,(26 13 0 17 14 13 17 20)
1969/12/31/18:00:03.773000,(-49 -38 -2 -43 -16 -8 -15 -34)
1969/12/31/18:00:03.774000,(-14 -9 -7 12 4 -4 -6 -11)
1969/12/31/18:00:03.774000,(15 15 -6 -44 -14 5 1 -9)
1969/12/31/18:00:03.795000,(3 13 13 76 17 -10 -7 16)
1969/12/31/18:00:03.795000,(62 34 12 7 11 16 30 43)
1969/12/31/18:00:03.797000,(-33 -40 -20 -61 -47 -15 -14 -28)
1969/12/31/18:00:03.797000,(12 6 -16 -44 -35 -19 -11 -4)
1969/12/31/18:00:03.810000,(22 28 15 19 43 25 29 23)
1969/12/31/18:00:03.810000,(6 10 8 34 10 1 -6 1)
1969/12/31/18:00:03.817000,(-31 -26 12 67 30 8 -2 -4)
1969/12/31/18:00:03.817000,(-28 3 11 3 -1 6 7 -9)
1969/12/31/18:00:03.833000,(1 -9 -36 -96 -58 -20 -12 -8)
1969/12/31/18:00:03.833000,(-5 -15 -32 -55 -56 -14 -1 3)
1969/12/31/18:00:03.834000,(20 25 35 76 60 8 -2 0)
1969/12/31/18:00:03.834000,(-28 -23 21 60 59 1 -4 11)
1969/12/31/18:00:03.856000,(-13 -15 28 13 14 6 -10 -27)
1969/12/31/18:00:03.856000,(31 13 -17 -68 -15 -3 11 30)
1969/12/31/18:00:03.857000,(-63 -54 -46 -124 -65 -19 -30 -60)
1969/12/31/18:00:03.857000,(15 25 -26 -40 -18 -12 -3 2)
1969/12/31/18:00:03.869000,(-3 -2 -10 -40 -30 -12 -9 -4)
1969/12/31/18:00:03.869000,(18 21 22 85 26 -5 -8 -8)
1969/12/31/18:00:03.878000,(33 9 2 -58 -16 13 21 26)
1969/12/31/18:00:03.878000,(-50 -65 -3 96 3 2 -7 -11)
1969/12/31/18:00:03.893000,(11 16 9 77 59 5 2 6)
1969/12/31/18:00:03.893000,(7 39 31 50 35 28 23 4)
1969/12/31/18:00:03.894000,(-26 -30 -13 -14 -8 -12 -8 -1)
1969/12/31/18:00:03.894000,(28 28 0 -35 -3 14 20 13)
1969/12/31/18:00:03.915000,(5 16 -15 -47 -46 -15 -13 -10)
1969/12/31/18:00:03.915000,(-32 -37 -6 19 8 -8 -11 -14)
1969/12/31/18:00:03.917000,(14 -16 9 15 24 23 40 40)
1969/12/31/18:00:03.917000,(-10 22 -23 -57 -34 -18 -22 -15)
1969/12/31/18:00:03.929000,(-20 -17 -6 16 -5 -14 -24 -24)
1969/12/31/18:00:03.929000,(-2 -4 -10 -16 7 -6 -10 -8)
1969/12/31/18:00:03.938000,(20 13 0 -39 -27 -9 -2 13)
1969/12/31/18:00:03.938000,(6 -10 -24 -68 -16 -2 5 -3)
1969/12/31/18:00:03.953000,(-12 -20 -32 -91 -60 -13 8 9)
1969/12/31/18:00:03.953000,(5 15 33 67 -22 -17 -15 -5)
1969/12/31/18:00:03.955000,(-6 14 35 78 88 18 -7 -12)
1969/12/31/18:00:03.955000,(4 8 50 103 88 57 28 14)
1969/12/31/18:00:03.977000,(11 12 21 -2 36 25 13 11)
1969/12/31/18:00:03.977000,(-19 -33 -43 -91 -36 -13 -10 -11)
