timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
5760887909,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=411348132), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6623995539258503, y=0.2829525782733108, z=-0.693282643789158, w=-0.02288766541253053)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0, y=2.4375, z=0.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9228515625, y=0.39013671875, z=-0.13232421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5789487295,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=439915346), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6623037486037272, y=0.2824144728402401, z=-0.6936153164807627, w=-0.022217174867916016)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.125, y=0.625, z=3.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.91943359375, y=0.3876953125, z=-0.1416015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5798559251,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=448979059), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6627084480308665, y=0.28155038411921046, z=-0.6935917114959262, w=-0.021850214072117354)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-3.0, y=2.6875, z=2.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.95166015625, y=0.39306640625, z=-0.13720703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5820858382,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=471292105), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6635025070010856, y=0.2805740984899265, z=-0.6932261498039123, w=-0.021911268513788034)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-6.3125, y=5.5, z=0.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.96142578125, y=0.3798828125, z=-0.1455078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5849593258,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=500007760), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6637665796862151, y=0.2788124814718741, z=-0.6936742232766745, w=-0.022217106667198373)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-10.875, y=3.125, z=2.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94677734375, y=0.361328125, z=-0.19189453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5858497367,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=508906573), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6637698734698887, y=0.276738630465515, z=-0.694471137502565, w=-0.023132761567364397)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-13.875, y=0.8125, z=5.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.91552734375, y=0.39501953125, z=-0.20703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5881034226,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=531425545), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6640675219229116, y=0.27551477885661974, z=-0.6945853308348101, w=-0.02563495948599475)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-16.1875, y=-0.25, z=-0.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.943359375, y=0.470703125, z=-0.1728515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5902319737,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=552542720), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6632919923624104, y=0.2763767499233454, z=-0.6947261854301053, w=-0.03186145394434326)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-20.625, y=-9.0625, z=-16.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.91162109375, y=0.57861328125, z=-0.18359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5918714427,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=569093457), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6618041548413247, y=0.278625469597957, z=-0.6947631370062528, w=-0.04107665740184557)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-26.875, y=-13.8125, z=-31.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9267578125, y=0.654296875, z=-0.22412109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
5941057496,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185770, nanosec=591336356), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.662107267343404, y=0.28057772013068105, z=-0.6929909580952257, w=-0.05151350789434301)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-32.4375, y=-10.5, z=-37.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.01953125, y=0.703125, z=-0.1025390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
