time,.data
1969/12/31/18:00:08.233000,(-1 -2 -3 -1 5 1 -3 0)
1969/12/31/18:00:08.233000,(-2 -2 -1 -1 -3 -1 -3 -3)
1969/12/31/18:00:08.242000,(0 0 -1 -2 -1 -2 1 1)
1969/12/31/18:00:08.242000,(-2 1 2 1 2 1 0 -1)
1969/12/31/18:00:08.257000,(-4 -5 -4 0 -1 -1 -1 -3)
1969/12/31/18:00:08.257000,(3 -2 0 3 1 0 2 4)
1969/12/31/18:00:08.259000,(-1 -2 0 -2 -1 0 -1 0)
1969/12/31/18:00:08.259000,(-2 -5 -2 -2 -3 -3 -2 -3)
1969/12/31/18:00:08.280000,(0 1 -1 -2 0 -1 -3 -3)
1969/12/31/18:00:08.280000,(-2 -1 -2 -6 -7 -2 1 0)
1969/12/31/18:00:08.281000,(-1 0 -1 -3 5 -1 -3 -2)
1969/12/31/18:00:08.281000,(4 3 -2 -2 -27 -4 2 4)
1969/12/31/18:00:08.293000,(-2 0 1 -12 22 2 -3 -1)
1969/12/31/18:00:08.293000,(0 2 3 8 -3 3 0 -1)
1969/12/31/18:00:08.302000,(-1 -4 -12 -9 -2 -4 -5 -4)
1969/12/31/18:00:08.302000,(-5 -5 1 6 7 2 0 -3)
1969/12/31/18:00:08.318000,(1 3 11 11 -10 -2 -1 -1)
1969/12/31/18:00:08.318000,(-1 2 6 25 13 5 2 0)
1969/12/31/18:00:08.319000,(10 10 7 0 9 7 7 8)
1969/12/31/18:00:08.319000,(-2 -8 -15 -15 -26 -7 -6 -2)
1969/12/31/18:00:08.340000,(-5 -5 -10 -23 15 -8 -6 -6)
1969/12/31/18:00:08.340000,(1 1 2 3 9 2 -1 2)
1969/12/31/18:00:08.341000,(-4 -4 20 33 12 13 4 0)
1969/12/31/18:00:08.341000,(1 2 -5 14 14 8 3 0)
1969/12/31/18:00:08.353000,(4 4 -6 -17 -23 -6 2 2)
1969/12/31/18:00:08.353000,(-4 -6 -20 -52 -30 -18 -10 -5)
1969/12/31/18:00:08.362000,(-6 -6 1 -4 -14 -6 -7 -7)
1969/12/31/18:00:08.362000,(9 8 -13 19 4 3 4 6)
1969/12/31/18:00:08.377000,(-11 -23 -7 3 21 2 -5 -5)
1969/12/31/18:00:08.377000,(-17 -8 -15 -100 -54 -16 -8 -13)
1969/12/31/18:00:08.383000,(17 10 -9 10 18 8 7 11)
1969/12/31/18:00:08.383000,(4 7 67 84 49 24 12 7)
1969/12/31/18:00:08.400000,(-10 16 46 100 61 14 5 -6)
1969/12/31/18:00:08.400000,(-1 -7 -12 57 52 13 -4 0)
1969/12/31/18:00:08.401000,(-24 -25 -10 -122 -92 -32 -13 -16)
1969/12/31/18:00:08.401000,(10 -1 -96 -128 -100 -36 -1 4)
1969/12/31/18:00:08.422000,(12 -7 -3 27 73 13 0 10)
1969/12/31/18:00:08.422000,(-8 17 81 92 56 13 8 -3)
1969/12/31/18:00:08.424000,(-5 -1 -11 22 31 3 -3 -4)
1969/12/31/18:00:08.424000,(-12 -5 36 -53 -6 2 -2 -8)
1969/12/31/18:00:08.437000,(6 10 -18 -12 -89 -14 3 2)
1969/12/31/18:00:08.437000,(16 6 -49 -75 -53 -13 4 8)
1969/12/31/18:00:08.443000,(17 5 -32 -49 6 -3 -4 8)
1969/12/31/18:00:08.443000,(-5 -5 22 40 50 3 -7 -4)
1969/12/31/18:00:08.460000,(-5 4 55 71 42 27 9 1)
1969/12/31/18:00:08.460000,(2 2 8 -5 -1 14 7 4)
1969/12/31/18:00:08.461000,(11 14 25 100 63 17 7 9)
1969/12/31/18:00:08.461000,(-12 -18 -42 -118 -49 -22 -10 -11)
1969/12/31/18:00:08.482000,(1 -5 -45 -47 -45 -20 -8 -3)
1969/12/31/18:00:08.482000,(2 0 -9 -68 -54 -16 -5 -1)
1969/12/31/18:00:08.484000,(-6 -6 -9 -38 -29 -12 -5 -3)
1969/12/31/18:00:08.484000,(2 10 38 95 85 23 5 5)
