time,.data
1969/12/31/18:00:05.820000,(0 1 -1 -3 -2 0 0 2)
1969/12/31/18:00:05.820000,(-2 -5 -5 -2 -1 -1 -1 -2)
1969/12/31/18:00:05.822000,(1 1 0 0 1 1 1 2)
1969/12/31/18:00:05.822000,(3 5 6 1 -1 -1 1 0)
1969/12/31/18:00:05.834000,(-9 -12 -9 -4 -2 -3 -4 -7)
1969/12/31/18:00:05.834000,(2 1 1 -5 -2 -1 1 0)
1969/12/31/18:00:05.849000,(-3 -5 -4 -1 -2 -2 -2 -3)
1969/12/31/18:00:05.849000,(0 0 1 0 2 0 0 1)
1969/12/31/18:00:05.858000,(2 3 6 5 3 -1 -1 2)
1969/12/31/18:00:05.858000,(-1 -2 0 -1 -2 0 -2 -1)
1969/12/31/18:00:05.859000,(2 0 0 -4 -2 -2 -2 -1)
1969/12/31/18:00:05.859000,(-1 0 0 2 -1 1 -1 0)
1969/12/31/18:00:05.880000,(0 0 -1 -2 0 0 1 -1)
1969/12/31/18:00:05.880000,(-3 -3 -4 -1 -4 -13 -10 -3)
1969/12/31/18:00:05.882000,(-2 4 1 0 2 13 7 -1)
1969/12/31/18:00:05.882000,(2 1 5 0 0 0 -2 3)
1969/12/31/18:00:05.894000,(-3 -1 -9 -6 0 3 2 -3)
1969/12/31/18:00:05.894000,(-4 -3 0 -2 -4 -5 -17 -6)
1969/12/31/18:00:05.903000,(0 1 -2 -4 -2 -9 -2 1)
1969/12/31/18:00:05.903000,(-2 -5 -4 0 0 0 5 1)
1969/12/31/18:00:05.918000,(-1 1 4 -1 -3 0 4 2)
1969/12/31/18:00:05.918000,(0 -1 -9 -3 3 5 2 2)
1969/12/31/18:00:05.924000,(-3 -4 8 6 -3 -6 1 -3)
1969/12/31/18:00:05.924000,(-4 -7 -22 -16 -4 -1 -2 -4)
1969/12/31/18:00:05.941000,(2 5 15 7 3 -2 -3 0)
1969/12/31/18:00:05.941000,(2 5 18 32 8 8 3 2)
1969/12/31/18:00:05.943000,(-1 -2 1 -2 1 4 4 5)
