time,.data
1969-12-31 18:00:06.614000000,(-1 0 -2 -2 -1 -2 -2 -1)
1969-12-31 18:00:06.614766703,(-2 -1 -2 0 -1 -2 -1 -2)
1969-12-31 18:00:06.619366922,(0 -1 -1 -2 -3 -1 0 -1)
1969-12-31 18:00:06.619366922,(-3 1 1 -1 0 -1 -2 0)
1969-12-31 18:00:06.625500548,(-2 -4 -3 -4 -5 -2 -2 -2)
1969-12-31 18:00:06.625500548,(0 0 1 -4 0 -1 -2 -1)
1969-12-31 18:00:06.630867470,(-1 -3 -3 0 -3 -3 -2 -3)
1969-12-31 18:00:06.630867470,(0 0 1 5 6 1 0 0)
1969-12-31 18:00:06.643134721,(-1 0 -1 1 4 1 0 0)
1969-12-31 18:00:06.643134721,(1 -3 -3 2 3 2 0 0)
1969-12-31 18:00:06.644668127,(-1 2 3 1 1 -1 0 -1)
1969-12-31 18:00:06.644668127,(-3 -2 -1 -3 -3 1 -1 0)
1969-12-31 18:00:06.660768894,(0 -1 0 -1 -1 -1 -1 -2)
1969-12-31 18:00:06.660768894,(-1 -1 -1 -3 -2 -1 0 -1)
1969-12-31 18:00:06.661535597,(-3 -1 -3 -4 -3 -1 -1 -1)
1969-12-31 18:00:06.661535597,(0 0 -3 -2 -1 -2 0 0)
1969-12-31 18:00:06.671502738,(-3 -2 -2 -2 0 -2 -2 -2)
1969-12-31 18:00:06.671502738,(-1 -1 0 0 -1 -1 -1 -1)
1969-12-31 18:00:06.676869659,(-2 -1 -5 -2 -1 -2 -2 1)
1969-12-31 18:00:06.676869659,(-1 -3 0 -4 -3 -1 -2 -2)
1969-12-31 18:00:06.689136911,(0 0 -1 -1 -1 0 0 -1)
1969-12-31 18:00:06.689136911,(-1 0 -1 -3 -4 -1 -2 -1)
1969-12-31 18:00:06.690670318,(2 2 5 7 6 1 2 0)
1969-12-31 18:00:06.690670318,(-4 -5 -4 -2 -2 0 -2 -3)
1969-12-31 18:00:06.706771084,(-1 -1 -1 -1 -1 0 -1 1)
1969-12-31 18:00:06.706771084,(0 1 -1 1 0 1 1 -1)
1969-12-31 18:00:06.707537788,(0 -3 -2 -4 -2 0 0 0)
1969-12-31 18:00:06.707537788,(0 2 0 -1 -1 -2 -1 -1)
1969-12-31 18:00:06.717504929,(1 -2 -1 -2 0 -2 -2 -1)
1969-12-31 18:00:06.717504929,(1 1 3 2 1 0 2 1)
1969-12-31 18:00:06.722871851,(0 1 0 1 0 0 -2 1)
