time,.data
1969-12-31 18:00:05.819000000,(0 -2 -1 1 2 0 1 -2)
1969-12-31 18:00:05.819000000,(1 2 1 -1 0 -2 -2 2)
1969-12-31 18:00:05.821480291,(1 -1 -1 -1 -2 -1 -2 -1)
1969-12-31 18:00:05.821480291,(0 0 0 2 0 1 3 0)
1969-12-31 18:00:05.822720436,(0 0 0 0 0 1 4 2)
1969-12-31 18:00:05.822720436,(-3 0 -2 -1 -2 -1 -5 -5)
1969-12-31 18:00:05.828921162,(-1 -2 -2 -2 0 0 0 1)
1969-12-31 18:00:05.828921162,(0 -1 -2 0 -1 -2 -2 1)
1969-12-31 18:00:05.830161307,(-3 -1 -1 0 -1 2 -1 -3)
1969-12-31 18:00:05.830161307,(0 3 1 2 -1 0 4 4)
1969-12-31 18:00:05.833881743,(-2 -2 -1 -2 -2 -2 0 -1)
1969-12-31 18:00:05.833881743,(-3 -1 -2 -1 -3 -4 -4 -2)
1969-12-31 18:00:05.854964213,(0 -1 -1 -1 0 2 4 3)
1969-12-31 18:00:05.854964213,(0 -1 0 0 0 -2 -3 -2)
1969-12-31 18:00:05.857444503,(-1 1 4 2 1 1 -4 -3)
1969-12-31 18:00:05.857444503,(-1 -1 -2 4 2 -1 -4 -1)
1969-12-31 18:00:05.872326247,(1 0 0 -4 -3 -1 1 -1)
1969-12-31 18:00:05.872326247,(0 -1 0 -1 -1 4 4 2)
1969-12-31 18:00:05.882247409,(-1 0 0 2 1 -1 1 0)
1969-12-31 18:00:05.882247409,(-2 -2 0 -5 -3 -3 -1 -2)
1969-12-31 18:00:05.910770750,(1 4 3 1 1 3 4 2)
1969-12-31 18:00:05.910770750,(1 -2 -4 2 -2 -6 -4 -2)
1969-12-31 18:00:05.912010896,(-7 0 2 -7 -4 -4 -7 -6)
1969-12-31 18:00:05.912010896,(1 -6 -5 3 5 5 3 4)
1969-12-31 18:00:05.938053946,(-5 -4 0 -3 0 -5 -6 -3)
1969-12-31 18:00:05.938053946,(-1 1 -4 -14 -8 0 3 1)
1969-12-31 18:00:05.940534237,(9 4 -2 11 5 0 2 6)
1969-12-31 18:00:05.940534237,(-9 -5 -14 -20 -18 -3 -3 -7)
1969-12-31 18:00:05.976498450,(6 1 8 28 34 4 2 5)
1969-12-31 18:00:05.976498450,(-8 -3 8 -1 -13 5 0 -5)
1969-12-31 18:00:05.978978740,(1 6 -4 -22 4 -5 -5 -2)
1969-12-31 18:00:05.978978740,(-2 -7 -18 -30 -38 -6 0 -3)
1969-12-31 18:00:05.995100629,(4 -8 -22 -36 -4 -14 -3 2)
1969-12-31 18:00:05.995100629,(-8 -1 29 66 28 7 -4 -6)
1969-12-31 18:00:05.995100629,(-3 4 19 50 26 13 5 1)
1969-12-31 18:00:05.995100629,(14 13 8 6 17 10 7 12)
1969-12-31 18:00:06.042226149,(-2 -5 -14 -33 -43 -5 -1 -2)
