time,.data
1969/12/31/18:00:12.300,(-7 -4 -6 -10 -34 -54 -22 -18)
1969/12/31/18:00:12.300,(-2 0 -4 -1 6 13 14 4)
1969/12/31/18:00:12.308,(1 5 17 11 22 1 -25 -7)
1969/12/31/18:00:12.308,(4 1 -2 5 -7 18 4 1)
1969/12/31/18:00:12.310,(1 1 0 -4 -12 -24 13 10)
1969/12/31/18:00:12.310,(-1 -5 -6 -1 -15 8 2 3)
1969/12/31/18:00:12.334,(3 4 -5 -8 -10 1 23 -6)
1969/12/31/18:00:12.334,(-10 -4 -5 -4 7 5 -13 0)
1969/12/31/18:00:12.341,(16 8 3 3 -8 -1 27 19)
1969/12/31/18:00:12.341,(-2 -1 0 1 7 -28 -3 -1)
1969/12/31/18:00:12.350,(0 -4 0 2 2 -6 2 3)
1969/12/31/18:00:12.350,(-1 0 -4 -4 -4 16 11 -15)
1969/12/31/18:00:12.360,(-4 -2 7 4 17 34 -8 1)
1969/12/31/18:00:12.360,(-4 5 1 -1 -12 -25 -5 -8)
1969/12/31/18:00:12.377,(1 -1 -2 -4 1 8 2 13)
1969/12/31/18:00:12.377,(-6 -6 -11 -9 -13 -21 -3 -8)
1969/12/31/18:00:12.379,(-8 -9 -7 -3 3 22 -3 4)
1969/12/31/18:00:12.379,(9 2 11 10 16 2 -1 6)
1969/12/31/18:00:12.421,(-5 -5 -9 -9 -16 -11 -1 -16)
1969/12/31/18:00:12.421,(5 6 9 3 2 -1 -7 7)
1969/12/31/18:00:12.423,(9 4 -2 1 6 5 0 24)
1969/12/31/18:00:12.423,(-17 -10 -5 -3 0 1 -3 -39)
1969/12/31/18:00:12.424,(-5 -6 -9 -6 -5 -5 5 5)
1969/12/31/18:00:12.424,(0 3 3 3 -4 -12 -7 -2)
1969/12/31/18:00:12.428,(1 2 4 4 10 20 1 -17)
1969/12/31/18:00:12.428,(-1 -4 -8 -4 1 0 3 24)
1969/12/31/18:00:12.446,(-1 8 8 3 -7 -16 -14 -12)
1969/12/31/18:00:12.446,(-1 -8 1 -3 4 9 16 9)
1969/12/31/18:00:12.454,(-1 -2 -3 -3 -4 1 -7 -10)
1969/12/31/18:00:12.454,(4 3 4 2 3 -1 -1 10)
1969/12/31/18:00:12.472,(-6 -3 -8 -4 -1 -5 3 2)
1969/12/31/18:00:12.472,(1 -4 -4 0 -2 -1 5 7)
1969/12/31/18:00:12.479,(-5 -2 -4 -3 3 6 -4 -12)
1969/12/31/18:00:12.479,(5 -21 -27 -8 -4 -5 -1 8)
1969/12/31/18:00:12.498,(-4 2 2 -2 -1 0 1 -3)
1969/12/31/18:00:12.498,(-5 19 23 8 -4 -10 -22 -27)
1969/12/31/18:00:12.500,(-2 3 0 -1 4 6 2 9)
1969/12/31/18:00:12.500,(1 3 3 0 1 1 -2 -9)
1969/12/31/18:00:12.514,(1 -10 -14 -2 -2 -1 5 8)
1969/12/31/18:00:12.514,(1 -8 -11 -6 -1 -2 0 2)
1969/12/31/18:00:12.523,(1 -4 -3 -1 0 2 1 1)
1969/12/31/18:00:12.523,(4 -10 -13 -6 -1 1 1 4)
1969/12/31/18:00:12.569,(-6 -13 0 -5 -2 -2 -1 2)
1969/12/31/18:00:12.569,(-4 11 12 7 1 -4 0 -5)
1969/12/31/18:00:12.570,(-9 16 15 2 -1 0 3 2)
1969/12/31/18:00:12.570,(0 9 2 0 1 3 0 3)
1969/12/31/18:00:12.571,(-3 -10 -16 -9 -7 -4 -3 -7)
1969/12/31/18:00:12.571,(15 -13 -14 -9 -4 0 7 24)
1969/12/31/18:00:12.575,(-31 -48 -29 -15 -13 -3 11 -25)
1969/12/31/18:00:12.575,(13 14 -8 -6 -2 -4 -14 0)
1969/12/31/18:00:12.583,(-6 46 73 28 8 0 -5 -7)
1969/12/31/18:00:12.583,(-7 -8 -8 -3 -2 1 9 6)
1969/12/31/18:00:12.592,(0 4 1 3 2 7 7 -1)
1969/12/31/18:00:12.592,(13 0 5 4 -1 -12 -23 -11)
1969/12/31/18:00:12.610,(2 -4 -16 -5 0 2 -1 0)
1969/12/31/18:00:12.610,(6 3 1 -2 1 0 -2 2)
1969/12/31/18:00:12.612,(26 13 5 5 6 2 -11 -5)
1969/12/31/18:00:12.612,(-11 6 14 8 5 6 1 -12)
1969/12/31/18:00:12.635,(-21 -24 -23 -14 -13 -14 -15 -12)
1969/12/31/18:00:12.635,(-25 -12 -2 1 0 -4 -12 -25)
1969/12/31/18:00:12.638,(35 12 -1 -1 3 -1 -10 14)
1969/12/31/18:00:12.638,(6 1 3 1 0 2 12 15)
1969/12/31/18:00:12.652,(-15 2 -1 0 -2 0 6 -3)
1969/12/31/18:00:12.652,(71 24 1 0 0 1 7 53)
1969/12/31/18:00:12.661,(-67 -22 -4 -5 -4 -6 -17 -56)
1969/12/31/18:00:12.661,(-65 -27 -4 -4 -2 -7 -19 -13)
1969/12/31/18:00:12.679,(17 -1 -6 -2 -3 -8 0 -8)
1969/12/31/18:00:12.679,(37 20 6 2 3 3 8 10)
1969/12/31/18:00:12.681,(84 23 7 3 -2 -11 6 48)
1969/12/31/18:00:12.681,(-37 -17 7 2 12 45 16 7)
1969/12/31/18:00:12.729,(-18 -8 -9 -3 -10 -33 5 -31)
1969/12/31/18:00:12.729,(-95 -38 -16 -10 -7 -3 -23 -53)
1969/12/31/18:00:12.742,(29 25 9 3 6 26 9 9)
1969/12/31/18:00:12.742,(40 14 -2 -3 -8 -18 -2 -9)
1969/12/31/18:00:12.743,(94 38 19 12 18 65 53 97)
1969/12/31/18:00:12.743,(-75 -36 -2 6 -9 -62 -40 -7)
1969/12/31/18:00:12.749,(-80 -21 -23 -17 -15 -14 -38 -89)
