timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730344422269640174,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=269332911), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.30994749390801696, y=0.08545224329878373, z=0.5119199746763565, w=0.7965980194945903)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4375, y=0.5625, z=2.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41455078125, y=0.716796875, z=0.4267578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422292278891,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=292046954), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3104367356081558, y=0.08551354042214439, z=0.5117994549890654, w=0.7964783647170322)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.375, y=1.0, z=2.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4140625, y=0.69921875, z=0.4345703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422316077368,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=315901022), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31092211540246656, y=0.0855127372750011, z=0.5116115373583577, w=0.7964098472264199)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4375, y=1.1875, z=2.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41650390625, y=0.69189453125, z=0.439453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422329577073,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=329356849), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3113425618343746, y=0.08551086632620246, z=0.5114782725293195, w=0.7963313868365193)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.875, y=0.875, z=1.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.421875, y=0.6884765625, z=0.4384765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422352180682,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=351961097), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3113506556393724, y=0.08557412648625763, z=0.511430531974574, w=0.7963520886349524)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.8125, y=0.4375, z=0.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42724609375, y=0.6923828125, z=0.4365234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422368650530,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=368389424), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31116368787141163, y=0.08545099313848104, z=0.5114852303574793, w=0.7964032560506432)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.5, y=-0.125, z=-1.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42578125, y=0.7021484375, z=0.43310546875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422389793445,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=389459731), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31080750555736647, y=0.08527063732593106, z=0.5115017471662865, w=0.7965510501813889)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.125, y=-0.3125, z=-2.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42724609375, y=0.71142578125, z=0.43505859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422412208640,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=411942528), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.310309612033875, y=0.08508489362219154, z=0.5113028363508598, w=0.7968926622175988)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.5, y=-0.0625, z=-3.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.419921875, y=0.71142578125, z=0.43408203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422428576866,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=428343360), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.30987909750133935, y=0.08496192706753286, z=0.5109312438809753, w=0.7973115325310214)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.9375, y=-0.3125, z=-2.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41796875, y=0.71533203125, z=0.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422449898114,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=449556665), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3095857434186549, y=0.08496517248398415, z=0.5105845314860111, w=0.7976471796125754)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.6875, y=-0.4375, z=-1.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.416015625, y=0.7177734375, z=0.43896484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422480607766,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=480269218), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.30945587102125843, y=0.08508510536560834, z=0.5103885588717482, w=0.7978101952897177)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.8125, y=-0.25, z=-0.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42578125, y=0.72021484375, z=0.43359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422488742055,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=488521172), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3094572377574554, y=0.08514651808119333, z=0.510085628390346, w=0.7979968296727754)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.875, y=0.1875, z=-0.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.42919921875, y=0.716796875, z=0.44140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422509829515,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=509529481), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3095840231193772, y=0.08520885178916612, z=0.5097882021082489, w=0.7981310501397825)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.8125, y=0.75, z=0.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.43017578125, y=0.70751953125, z=0.43701171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422532333280,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=532037069), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.30976756716849174, y=0.08520897020043634, z=0.5094837208187981, w=0.798254235158529)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.0, y=1.0, z=0.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4189453125, y=0.703125, z=0.443359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422554675113,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=554403737), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.3100627121923213, y=0.08520620988592136, z=0.5093451443395514, w=0.7982283759943264)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4375, y=0.6875, z=1.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.4189453125, y=0.69921875, z=0.44580078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422569693264,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=569412416), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31031102357400125, y=0.08514631744408571, z=0.5094740585704541, w=0.7980559860798715)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.8125, y=0.25, z=1.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41943359375, y=0.70166015625, z=0.44287109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422592092554,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=591940875), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31055125907921444, y=0.08502317293579909, z=0.5096507494715882, w=0.7978628259991138)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.25, y=0.5, z=1.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41748046875, y=0.7041015625, z=0.44091796875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422610264951,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=609956328), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31079404154487594, y=0.08496176469569272, z=0.5097095524236566, w=0.7977372590321148)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.4375, y=0.375, z=1.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41650390625, y=0.7060546875, z=0.43994140625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422637235497,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=636944391), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31098873794682785, y=0.08484285490600406, z=0.5098506237624834, w=0.7975838741415504)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.5, y=0.3125, z=1.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41455078125, y=0.70947265625, z=0.439453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422652148676,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=651914759), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31122885839855796, y=0.08471968139972513, z=0.5100271309626104, w=0.797390430695972)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.9375, y=0.3125, z=1.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41455078125, y=0.70849609375, z=0.43896484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344422670129346,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344422, nanosec=669784031), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.31141220329811103, y=0.08465870756065856, z=0.5102106247293042, w=0.7972079159695469)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.3125, y=-0.0625, z=1.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.41650390625, y=0.7080078125, z=0.44384765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
