timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
1730344234396328151,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=396042253), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17491319393074561, y=-0.6662691340341765, z=-0.024534230272212052, w=-0.7244921581130082)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=5.75, y=-7.5625, z=-3.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9736328125, y=0.28857421875, z=0.12353515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234412691892,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=412513167), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17449260230215238, y=-0.6672099084879782, z=-0.02630511073530174, w=-0.7236651925486606)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=10.25, y=-6.0625, z=-4.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.970703125, y=0.29052734375, z=0.12158203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234435298289,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=435001004), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17381748688588283, y=-0.6682330280595263, z=-0.028623736428890115, w=-0.7227951183951933)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=13.125, y=-5.1875, z=-5.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.97314453125, y=0.291015625, z=0.1064453125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234456424448,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=456146591), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.1731472653979308, y=-0.669152843786716, z=-0.03100416313787411, w=-0.7220063974823833)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=13.0625, y=-3.75, z=-6.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.97119140625, y=0.2880859375, z=0.095703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234472906567,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=472681507), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17284544459757306, y=-0.6698371308115694, z=-0.03314091681372958, w=-0.7213489794133885)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=10.4375, y=-2.125, z=-7.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.955078125, y=0.2783203125, z=0.08349609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234495540307,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=495212452), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17302620267851354, y=-0.6703773581025725, z=-0.034727304876216655, w=-0.7207288985645738)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.5, y=-1.9375, z=-8.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9560546875, y=0.27099609375, z=0.083984375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234517796751,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=517535006), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17339399910402745, y=-0.6708107863964681, z=-0.03576518249734604, w=-0.7201862687178895)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=3.25, y=-2.625, z=-7.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.95947265625, y=0.255859375, z=0.08984375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234532713559,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=532491290), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17388170233351025, y=-0.6711748264519524, z=-0.036436425515305584, w=-0.7196956946004749)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.5625, y=-2.6875, z=-7.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.95458984375, y=0.25, z=0.09228515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234555326903,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=555043347), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.17448964917426243, y=-0.6715928994451149, z=-0.036863150787427246, w=-0.7191365988878399)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.1875, y=-2.8125, z=-6.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94482421875, y=0.2509765625, z=0.08349609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
1730344234576270062,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730344234, nanosec=576040588), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.1749245327859426, y=-0.6719885226703517, z=-0.03649855917864399, w=-0.7186798232918612)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.6875, y=-3.0, z=-3.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94873046875, y=0.24462890625, z=0.08056640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
