time,.data
1969/12/31/18:00:05.500,(-2 1 1 -1 -1 -1 -3 -2)
1969/12/31/18:00:05.500,(0 2 -2 -2 -2 -2 0 1)
1969/12/31/18:00:05.521,(-3 -5 -6 -1 -2 -2 1 -2)
1969/12/31/18:00:05.521,(-1 0 1 0 -1 -1 -2 1)
1969/12/31/18:00:05.523,(-1 0 2 2 -2 -1 -2 -1)
1969/12/31/18:00:05.523,(-1 -5 -2 -2 -3 0 0 -1)
1969/12/31/18:00:05.535,(0 -4 -6 -2 3 2 2 0)
1969/12/31/18:00:05.535,(0 2 -2 -3 -2 -1 0 -1)
1969/12/31/18:00:05.544,(-4 -8 -15 -22 -5 -3 0 -2)
1969/12/31/18:00:05.544,(0 2 7 6 -4 -2 -3 -1)
1969/12/31/18:00:05.558,(1 2 7 10 0 0 -2 -2)
1969/12/31/18:00:05.558,(0 -1 5 4 1 1 0 0)
1969/12/31/18:00:05.565,(1 3 5 2 1 1 2 0)
1969/12/31/18:00:05.565,(-4 -8 -7 -8 -2 -3 -1 -1)
1969/12/31/18:00:05.589,(-4 -4 -7 -11 -4 -3 -2 -5)
1969/12/31/18:00:05.589,(-1 0 -5 -4 -2 -2 -2 0)
1969/12/31/18:00:05.590,(1 3 9 9 2 1 -1 1)
1969/12/31/18:00:05.590,(2 3 4 -2 1 2 1 2)
1969/12/31/18:00:05.595,(0 -2 -2 3 1 1 0 -1)
1969/12/31/18:00:05.595,(-1 -5 -5 -5 -3 -3 -2 -2)
1969/12/31/18:00:05.604,(-1 -4 -10 5 1 -1 -1 -1)
1969/12/31/18:00:05.604,(-3 -4 5 0 -1 0 0 -1)
1969/12/31/18:00:05.619,(2 5 6 4 0 1 -1 0)
1969/12/31/18:00:05.619,(2 1 11 3 1 1 1 0)
1969/12/31/18:00:05.620,(-1 0 -3 -1 -1 0 -2 -1)
1969/12/31/18:00:05.620,(0 -2 -4 -2 -1 0 -2 -1)
1969/12/31/18:00:05.641,(-5 -10 -18 -17 -4 -4 -1 -3)
1969/12/31/18:00:05.641,(-5 -4 -14 -22 -7 -4 -4 -4)
