timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
30457284463,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=647920747), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.361096669066128, y=0.31342653746696536, z=0.6986329401843984, w=0.5322452593402022)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.125, y=1.1875, z=-0.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.837890625, y=0.494140625, z=-0.18359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30479845545,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=670430107), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.36109500092499247, y=0.31360820060050904, z=0.6985076387061552, w=0.5323038375704631)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.0, y=1.125, z=-0.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81884765625, y=0.49169921875, z=-0.19287109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30494558126,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=685258593), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.36079249067902036, y=0.31397675047418044, z=0.6986348922876107, w=0.5321246715851293)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-1.5, y=-0.875, z=0.25)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81201171875, y=0.4931640625, z=-0.19970703125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30524735852,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=715375561), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.36042574686454726, y=0.31434252266764073, z=0.6989390732169231, w=0.5317576810641721)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.1875, y=-2.8125, z=-0.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.82763671875, y=0.4931640625, z=-0.19287109375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30539657782,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=730343354), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.3599413286281969, y=0.3150173303459597, z=0.6992517993496056, w=0.5312751101203707)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.625, y=-4.375, z=-0.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.8349609375, y=0.4765625, z=-0.1953125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30561967984,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=752679683), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.35938479622600217, y=0.31635383811809936, z=0.6993598836884397, w=0.5307151499974675)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.0, y=-6.4375, z=2.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81787109375, y=0.47412109375, z=-0.19677734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30564414227,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=755112063), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.35865901264149724, y=0.31764150813246284, z=0.699372867060292, w=0.5304198127730788)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-3.6875, y=-6.4375, z=3.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81103515625, y=0.4970703125, z=-0.19482421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30582637599,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=773346527), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.35719920273094385, y=0.3187447431067992, z=0.6995659710354318, w=0.5304884263387958)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-5.625, y=-7.0625, z=0.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81494140625, y=0.51318359375, z=-0.2138671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30607933002,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=798638562), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.3552923464766301, y=0.3208068326887421, z=0.6998423028175641, w=0.5301613677196374)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-8.125, y=-12.1875, z=0.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.83447265625, y=0.48388671875, z=-0.2373046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30620119247,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=810781851), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.35371647501561637, y=0.3236856716148082, z=0.6990707141249102, w=0.5304831551959831)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-13.9375, y=-11.625, z=4.375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.85498046875, y=0.4716796875, z=-0.21484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30642550787,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=833239037), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.3523744731118207, y=0.3260669383965609, z=0.6978516111358819, w=0.5315220703027429)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-16.9375, y=-6.25, z=3.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.86962890625, y=0.490234375, z=-0.22802734375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
30673940935,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1730345897, nanosec=864633941), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=-0.3535958990775126, y=0.32716623840073666, z=0.6962048722385825, w=0.5321944836970192)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.3125, y=10.125, z=4.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.95654296875, y=0.47900390625, z=-0.27490234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
