time,.data
1969/12/31/18:00:04.567000,(-1 -1 -2 -1 0 0 -2 0)
1969/12/31/18:00:04.567000,(-2 -1 -4 -2 -2 -2 -2 -2)
1969/12/31/18:00:04.569000,(-1 -1 -1 -2 0 -2 -1 -3)
1969/12/31/18:00:04.569000,(-1 0 1 0 0 0 0 0)
1969/12/31/18:00:04.590000,(-2 -3 -4 -5 -3 -1 -2 0)
1969/12/31/18:00:04.590000,(-1 -1 2 2 0 0 0 -1)
1969/12/31/18:00:04.591000,(-1 0 -1 0 -1 1 1 0)
1969/12/31/18:00:04.591000,(-2 -1 -3 -1 -2 -2 -2 -1)
1969/12/31/18:00:04.603000,(-2 0 -2 -2 -3 -2 0 0)
1969/12/31/18:00:04.604000,(-1 -1 2 1 0 0 -1 -1)
1969/12/31/18:00:04.613000,(-2 -1 -2 -4 -4 -1 -1 -1)
1969/12/31/18:00:04.613000,(1 -2 -2 -1 -1 -1 0 0)
1969/12/31/18:00:04.627000,(-1 0 -1 0 -3 -1 -1 -2)
1969/12/31/18:00:04.627000,(-1 0 -4 0 -3 -3 -1 -2)
1969/12/31/18:00:04.629000,(0 1 0 1 0 0 -1 0)
1969/12/31/18:00:04.629000,(-1 -1 -2 -2 -1 -1 1 -1)
1969/12/31/18:00:04.650000,(0 -2 0 0 -1 -1 0 0)
1969/12/31/18:00:04.650000,(-3 -3 -6 -4 -3 -1 -2 0)
1969/12/31/18:00:04.651000,(-2 -2 -2 0 -1 -1 -1 -2)
1969/12/31/18:00:04.651000,(1 -2 1 -1 1 1 -1 1)
1969/12/31/18:00:04.663000,(1 4 3 2 -1 -2 1 0)
1969/12/31/18:00:04.663000,(-4 -3 -2 -2 -1 1 0 -1)
1969/12/31/18:00:04.672000,(-2 -2 -1 -1 0 -1 -2 -1)
1969/12/31/18:00:04.672000,(-2 0 -2 0 1 -1 0 0)
1969/12/31/18:00:04.687000,(-2 -3 -3 -3 -2 0 -2 -1)
1969/12/31/18:00:04.687000,(0 2 5 1 -1 -2 -1 -2)
1969/12/31/18:00:04.689000,(-1 -1 -2 0 1 0 0 1)
1969/12/31/18:00:04.689000,(0 -2 -2 1 -2 0 0 -1)
1969/12/31/18:00:04.710000,(-1 -2 -2 -3 -4 -4 -2 -3)
1969/12/31/18:00:04.710000,(1 0 0 2 -1 0 1 1)
1969/12/31/18:00:04.711000,(-1 0 0 2 1 0 -1 -1)
1969/12/31/18:00:04.711000,(-2 -2 -4 -9 -2 -2 -3 0)
1969/12/31/18:00:04.724000,(-2 0 -1 1 -1 0 -1 -2)
1969/12/31/18:00:04.724000,(-2 -1 -3 -3 -1 -1 -2 -1)
1969/12/31/18:00:04.740000,(-1 -2 0 -2 -2 -1 -1 -1)
1969/12/31/18:00:04.740000,(0 1 1 3 1 1 0 0)
1969/12/31/18:00:04.747000,(-1 -1 -2 -5 -1 0 1 0)
1969/12/31/18:00:04.747000,(0 0 1 3 2 0 -1 1)
