time,.data
1969/12/31/18:00:07.742000,(7 3 -11 9 4 -2 -1 2)
1969/12/31/18:00:07.742000,(0 -3 1 1 14 10 5 3)
1969/12/31/18:00:07.750000,(-9 -5 3 -2 -4 -3 -4 -6)
1969/12/31/18:00:07.750000,(-3 -1 -3 -1 -3 -2 -2 -1)
1969/12/31/18:00:07.751000,(1 4 4 -3 -4 -1 1 0)
1969/12/31/18:00:07.751000,(1 0 -3 -3 -6 -3 1 1)
1969/12/31/18:00:07.780000,(6 1 -4 7 7 4 0 4)
1969/12/31/18:00:07.780000,(2 0 0 -1 0 -3 -1 1)
1969/12/31/18:00:07.787000,(-5 -5 -9 -27 -13 -4 2 -2)
1969/12/31/18:00:07.787000,(4 2 -8 3 1 -6 -6 -1)
1969/12/31/18:00:07.795000,(-4 1 18 8 5 4 2 0)
1969/12/31/18:00:07.795000,(4 4 1 26 0 2 1 4)
1969/12/31/18:00:07.796000,(2 3 14 -5 15 3 1 0)
1969/12/31/18:00:07.796000,(0 0 -15 1 0 3 3 2)
1969/12/31/18:00:07.811000,(3 2 2 -10 -3 -2 1 2)
1969/12/31/18:00:07.811000,(-8 -4 6 6 8 -2 -6 -6)
1969/12/31/18:00:07.812000,(-2 -1 -8 0 -11 -5 -5 -4)
1969/12/31/18:00:07.812000,(-1 0 2 -38 -52 -18 -1 -2)
1969/12/31/18:00:07.832000,(10 8 -12 -7 18 6 1 7)
1969/12/31/18:00:07.832000,(-13 -13 18 29 19 3 -4 -8)
1969/12/31/18:00:07.833000,(0 7 10 16 13 5 1 1)
1969/12/31/18:00:07.833000,(-2 -5 -1 10 2 -3 -4 -3)
1969/12/31/18:00:07.855000,(-2 1 2 7 -16 -10 -2 -2)
1969/12/31/18:00:07.855000,(12 2 -8 -20 3 9 5 6)
1969/12/31/18:00:07.856000,(-1 3 1 20 19 5 -1 -3)
1969/12/31/18:00:07.856000,(9 7 -1 -5 3 10 8 7)
1969/12/31/18:00:07.870000,(-6 -12 -18 -39 -25 -16 -10 -6)
1969/12/31/18:00:07.870000,(0 4 -7 -30 -26 -7 1 -1)
1969/12/31/18:00:07.871000,(3 -3 -12 -21 -17 -7 -2 2)
1969/12/31/18:00:07.871000,(-8 -6 -3 22 -4 1 1 -2)
1969/12/31/18:00:07.892000,(-8 -6 21 46 34 9 -3 -4)
1969/12/31/18:00:07.892000,(-3 5 21 33 14 0 -4 -3)
1969/12/31/18:00:07.893000,(4 4 -15 -62 -1 2 3 2)
1969/12/31/18:00:07.893000,(2 -6 7 21 4 2 -5 0)
1969/12/31/18:00:07.915000,(-6 -5 -16 25 10 -1 1 -7)
1969/12/31/18:00:07.915000,(4 1 -7 -54 -18 -3 -1 0)
1969/12/31/18:00:07.916000,(-6 -5 18 79 24 0 -2 -4)
1969/12/31/18:00:07.916000,(-4 -8 -5 -64 -7 0 -3 -3)
1969/12/31/18:00:07.930000,(-3 -8 -15 8 -74 -23 -4 -4)
1969/12/31/18:00:07.930000,(3 2 -6 -35 7 4 -1 2)
1969/12/31/18:00:07.931000,(4 5 7 90 83 28 11 4)
1969/12/31/18:00:07.931000,(-5 -4 12 13 43 13 3 -1)
