time,.data
1969/12/31/18:00:03.270,(0 -2 -8 -10 -7 -5 -2 0)
1969/12/31/18:00:03.270,(5 -3 -5 4 6 0 1 3)
1969/12/31/18:00:03.271,(-2 1 2 1 2 3 1 -2)
1969/12/31/18:00:03.271,(-6 -2 0 -8 -3 0 -1 -3)
1969/12/31/18:00:03.292,(4 5 5 -1 1 5 4 3)
1969/12/31/18:00:03.292,(-3 -1 -7 -9 -42 -11 -5 -4)
1969/12/31/18:00:03.293,(-2 -5 -9 -9 27 1 0 1)
1969/12/31/18:00:03.293,(3 6 21 21 -1 2 2 2)
1969/12/31/18:00:03.306,(2 4 -1 26 14 5 2 2)
1969/12/31/18:00:03.307,(-2 -5 -2 -6 10 1 -2 -1)
1969/12/31/18:00:03.308,(-6 2 -3 -56 -31 -12 -7 -6)
1969/12/31/18:00:03.308,(3 -4 -15 -9 -12 -2 4 6)
1969/12/31/18:00:03.330,(8 10 37 28 5 13 12 8)
1969/12/31/18:00:03.330,(3 -4 -16 44 23 2 -2 -1)
1969/12/31/18:00:03.330,(-19 -18 2 11 7 -3 -10 -10)
1969/12/31/18:00:03.331,(-6 3 11 -17 7 0 -5 -8)
1969/12/31/18:00:03.344,(7 2 -6 -25 -16 -1 7 8)
1969/12/31/18:00:03.344,(15 15 2 -16 -8 5 11 13)
1969/12/31/18:00:03.345,(6 1 -13 12 4 -2 -4 -1)
1969/12/31/18:00:03.345,(-15 -13 4 -5 9 -8 -14 -13)
1969/12/31/18:00:03.366,(-6 -2 -7 -12 -7 -2 0 0)
1969/12/31/18:00:03.366,(6 7 14 10 5 2 3 4)
1969/12/31/18:00:03.367,(-3 -5 -24 6 -7 -7 -7 -4)
1969/12/31/18:00:03.367,(1 2 16 -13 -8 1 1 2)
1969/12/31/18:00:03.389,(-8 -12 -26 -11 0 -8 -11 -11)
1969/12/31/18:00:03.389,(-7 -13 -6 -52 -32 0 4 -1)
1969/12/31/18:00:03.389,(12 19 20 -20 -7 4 10 8)
1969/12/31/18:00:03.389,(8 7 11 115 57 20 9 4)
1969/12/31/18:00:03.404,(-20 -23 -7 -40 7 -8 -11 -13)
1969/12/31/18:00:03.404,(-4 0 11 11 -19 -16 -10 -4)
1969/12/31/18:00:03.405,(11 14 27 52 27 21 12 10)
1969/12/31/18:00:03.405,(6 13 22 -39 -35 0 5 7)
1969/12/31/18:00:03.427,(13 -2 -47 58 29 4 0 6)
1969/12/31/18:00:03.427,(-21 -23 -27 -79 -7 -3 -7 -14)
1969/12/31/18:00:03.428,(-5 -6 -18 -91 -44 -21 -9 -5)
1969/12/31/18:00:03.428,(2 9 17 61 17 8 8 5)
1969/12/31/18:00:03.449,(10 17 35 -9 -7 1 2 4)
1969/12/31/18:00:03.449,(-6 -6 2 86 40 0 -6 -7)
1969/12/31/18:00:03.449,(-5 -21 -18 4 8 -2 -4 -3)
1969/12/31/18:00:03.449,(-7 0 -23 -119 -81 -10 2 -3)
1969/12/31/18:00:03.464,(11 2 2 94 57 4 0 5)
1969/12/31/18:00:03.464,(-18 -4 19 28 19 -1 -8 -12)
1969/12/31/18:00:03.465,(1 8 16 -37 -14 -1 3 -1)
1969/12/31/18:00:03.465,(1 -10 -45 -66 -28 -18 -10 -2)
1969/12/31/18:00:03.486,(0 -3 -4 -55 -73 -8 -2 -1)
1969/12/31/18:00:03.486,(12 17 31 97 102 24 11 10)
1969/12/31/18:00:03.487,(1 1 13 30 28 7 -3 0)
1969/12/31/18:00:03.487,(-9 -15 -25 -16 -12 -8 -6 -6)
1969/12/31/18:00:03.509,(-1 3 -12 -76 -42 -5 4 1)
1969/12/31/18:00:03.509,(11 12 -12 -32 -26 -6 0 3)
1969/12/31/18:00:03.510,(-6 -14 14 80 25 5 0 -3)
1969/12/31/18:00:03.510,(-12 -7 -9 -80 -24 -12 -8 -8)
1969/12/31/18:00:03.524,(3 4 9 25 24 4 3 2)
1969/12/31/18:00:03.524,(-1 1 -2 4 -9 5 1 -3)
1969/12/31/18:00:03.525,(8 12 2 -9 -6 2 4 5)
1969/12/31/18:00:03.525,(5 -3 1 63 33 5 0 3)
1969/12/31/18:00:03.546,(-7 -3 12 -10 3 -2 -4 -5)
1969/12/31/18:00:03.546,(-1 -2 -6 -29 -28 -5 -1 -3)
1969/12/31/18:00:03.547,(-2 -1 -10 -9 -13 -3 -3 -2)
1969/12/31/18:00:03.547,(1 -4 -1 21 20 3 0 1)
1969/12/31/18:00:03.569,(-2 2 0 -10 -3 1 -1 -1)
1969/12/31/18:00:03.569,(2 -1 -3 -13 -5 1 -1 0)
1969/12/31/18:00:03.570,(-4 -3 4 9 -6 -3 -5 -5)
1969/12/31/18:00:03.570,(3 2 3 24 18 4 5 3)
1969/12/31/18:00:03.592,(-4 -4 -4 -7 -2 -3 -2 -5)
1969/12/31/18:00:03.592,(0 -1 3 -14 -12 -2 0 2)
1969/12/31/18:00:03.593,(-6 -5 -7 -1 -4 -5 -4 -4)
1969/12/31/18:00:03.593,(8 8 1 -6 7 1 4 5)
1969/12/31/18:00:03.607,(-3 1 6 13 -1 -3 -2 -4)
1969/12/31/18:00:03.607,(-4 -4 -2 -11 -5 -3 -1 -4)
1969/12/31/18:00:03.608,(3 4 -3 4 -5 0 3 5)
1969/12/31/18:00:03.608,(-1 -3 -3 4 6 3 -3 -2)
1969/12/31/18:00:03.629,(0 -1 0 -6 -4 -3 -2 0)
1969/12/31/18:00:03.629,(-2 -3 -4 -16 -9 -2 -3 -3)
1969/12/31/18:00:03.630,(0 1 -3 1 -3 -1 0 -1)
1969/12/31/18:00:03.630,(8 2 4 2 2 3 3 4)
1969/12/31/18:00:03.644,(-3 -6 -2 8 4 1 0 -1)
1969/12/31/18:00:03.644,(-1 1 -1 -2 -3 1 0 0)
1969/12/31/18:00:03.645,(4 3 -3 -6 -3 2 1 6)
1969/12/31/18:00:03.645,(-5 0 -1 4 2 2 -1 -1)
1969/12/31/18:00:03.666,(1 1 6 2 1 1 0 -2)
1969/12/31/18:00:03.666,(1 0 0 -16 -6 1 1 0)
1969/12/31/18:00:03.667,(-1 -5 -6 -3 -1 -1 -1 0)
1969/12/31/18:00:03.667,(-2 1 0 6 2 -3 -2 -1)
1969/12/31/18:00:03.690,(0 1 4 5 3 2 1 1)
1969/12/31/18:00:03.690,(2 -1 -3 -4 -3 1 0 -1)
1969/12/31/18:00:03.690,(2 1 3 3 1 2 3 0)
1969/12/31/18:00:03.690,(-2 -2 -2 8 0 -1 -4 -4)
1969/12/31/18:00:03.704,(-6 -5 -6 -17 -10 -6 -6 -7)
1969/12/31/18:00:03.704,(2 2 4 7 5 -1 1 2)
1969/12/31/18:00:03.705,(2 0 -7 -21 -7 1 1 1)
1969/12/31/18:00:03.705,(0 -3 0 4 -7 -2 0 1)
1969/12/31/18:00:03.727,(4 1 6 27 20 7 3 2)
1969/12/31/18:00:03.727,(-6 -2 0 -11 -1 -3 -4 -5)
1969/12/31/18:00:03.728,(-2 -1 1 5 0 -2 -4 -5)
1969/12/31/18:00:03.728,(-3 -2 -5 -2 6 2 2 0)
1969/12/31/18:00:03.750,(0 -3 -6 -10 -7 -1 -1 3)
1969/12/31/18:00:03.750,(5 0 -1 -2 -5 -1 2 4)
1969/12/31/18:00:03.751,(-2 -1 -2 -13 -4 -4 -4 -5)
1969/12/31/18:00:03.751,(-7 -6 6 15 0 -5 -7 -6)
1969/12/31/18:00:03.764,(2 2 -7 -3 1 3 3 3)
1969/12/31/18:00:03.764,(-1 -7 -10 -22 -11 -5 0 5)
1969/12/31/18:00:03.765,(-9 0 -1 -18 -5 2 0 -5)
1969/12/31/18:00:03.765,(7 2 7 20 16 4 1 2)
1969/12/31/18:00:03.786,(0 3 13 40 15 3 -5 -5)
1969/12/31/18:00:03.786,(2 1 -5 -22 -6 -3 0 6)
1969/12/31/18:00:03.787,(7 8 9 42 3 2 6 2)
1969/12/31/18:00:03.788,(-12 -4 -1 -6 -2 -4 -3 -8)
1969/12/31/18:00:03.810,(-1 -5 -10 -21 6 -2 0 -1)
1969/12/31/18:00:03.810,(-4 -2 1 -1 -1 2 0 -2)
1969/12/31/18:00:03.811,(-6 -6 -4 -3 -5 -7 -4 -2)
1969/12/31/18:00:03.811,(-13 3 11 24 1 0 0 -6)
1969/12/31/18:00:03.833,(35 12 0 -9 0 6 6 14)
1969/12/31/18:00:03.833,(2 1 -6 -11 -9 -4 -2 3)
1969/12/31/18:00:03.833,(-8 -16 -16 -19 -7 -6 -1 6)
1969/12/31/18:00:03.833,(36 23 4 -8 -3 8 15 20)
1969/12/31/18:00:03.849,(-47 -16 -2 -9 -10 -15 -22 -33)
1969/12/31/18:00:03.849,(-19 -21 -5 1 -2 -5 -4 -13)
1969/12/31/18:00:03.850,(70 37 2 -23 4 16 19 36)
1969/12/31/18:00:03.850,(-7 -15 -10 0 2 -4 -3 0)
1969/12/31/18:00:03.870,(8 3 11 33 7 3 6 9)
1969/12/31/18:00:03.870,(-8 7 12 27 8 -1 -4 -4)
1969/12/31/18:00:03.870,(-26 -15 3 16 2 -3 -3 -7)
1969/12/31/18:00:03.870,(-24 -4 -6 -21 -6 -1 -3 -15)
1969/12/31/18:00:03.884,(16 -1 -13 -24 -6 2 1 1)
1969/12/31/18:00:03.884,(-13 -9 -30 -85 -25 -7 -8 -10)
1969/12/31/18:00:03.885,(-2 1 14 56 8 -1 1 0)
1969/12/31/18:00:03.885,(14 12 19 38 19 7 4 8)
1969/12/31/18:00:03.907,(-31 -17 -32 -68 -13 -8 -5 -14)
1969/12/31/18:00:03.907,(16 16 48 123 26 9 10 11)
1969/12/31/18:00:03.907,(-7 -7 10 28 10 -3 -9 -15)
1969/12/31/18:00:03.907,(-11 -6 -9 -5 -3 0 -1 -3)
1969/12/31/18:00:03.937,(-11 -1 -1 -15 -5 -5 -1 0)
1969/12/31/18:00:03.937,(24 -7 -28 -56 -15 -3 -6 2)
1969/12/31/18:00:03.938,(-21 -10 -15 -30 -15 -9 -15 -22)
1969/12/31/18:00:03.938,(47 16 5 5 1 -5 7 29)
1969/12/31/18:00:03.944,(-68 -22 -10 -15 -20 -19 -31 -61)
1969/12/31/18:00:03.944,(56 30 11 5 12 16 28 53)
1969/12/31/18:00:03.945,(-52 -23 -4 3 -3 -5 -15 -35)
1969/12/31/18:00:03.945,(2 -17 -20 -43 -10 -2 -3 3)
1969/12/31/18:00:03.966,(21 6 3 14 3 10 14 22)
1969/12/31/18:00:03.966,(-6 15 28 42 11 5 4 -1)
1969/12/31/18:00:03.967,(6 1 4 13 10 -1 2 4)
1969/12/31/18:00:03.967,(-3 2 -5 -12 -5 -2 -5 -6)
1969/12/31/18:00:03.990,(12 8 14 30 4 5 6 9)
1969/12/31/18:00:03.990,(-32 -19 -24 -45 -14 -9 -12 -24)
1969/12/31/18:00:03.990,(28 13 -4 -43 -23 2 11 22)
1969/12/31/18:00:03.990,(-15 -2 17 59 12 -1 -7 -13)
1969/12/31/18:00:04.004,(6 4 5 -7 9 2 3 4)
1969/12/31/18:00:04.004,(-1 -6 2 12 -2 1 -2 -2)
1969/12/31/18:00:04.005,(0 2 -1 -5 6 0 0 2)
1969/12/31/18:00:04.005,(-1 2 -10 -19 -20 -3 0 -2)
1969/12/31/18:00:04.026,(12 0 11 30 9 3 8 16)
1969/12/31/18:00:04.027,(-4 -9 -8 8 4 0 5 10)
1969/12/31/18:00:04.027,(-21 10 3 -14 6 8 -4 -26)
1969/12/31/18:00:04.027,(-23 -9 -6 -15 -7 -9 -15 -23)
1969/12/31/18:00:04.050,(15 2 -7 -13 -6 -1 4 9)
1969/12/31/18:00:04.050,(-12 -5 -12 -31 -10 -8 -10 -11)
1969/12/31/18:00:04.050,(5 -3 -5 -4 -5 -1 6 13)
1969/12/31/18:00:04.050,(6 4 3 6 4 1 3 4)
1969/12/31/18:00:04.063,(-1 2 9 14 6 4 -1 -3)
1969/12/31/18:00:04.063,(-7 0 12 29 20 4 3 -2)
1969/12/31/18:00:04.072,(8 0 -2 10 -11 -4 -3 2)
1969/12/31/18:00:04.072,(2 -1 -29 -61 -6 1 4 2)
1969/12/31/18:00:04.086,(9 2 0 -10 -24 -3 2 10)
1969/12/31/18:00:04.086,(-8 2 32 84 31 3 -5 -10)
1969/12/31/18:00:04.087,(34 8 18 51 31 10 11 19)
1969/12/31/18:00:04.087,(-30 -13 -6 -3 -6 -6 -14 -26)
1969/12/31/18:00:04.111,(14 3 -6 -22 -4 -1 2 13)
1969/12/31/18:00:04.111,(-3 5 -15 -44 -23 -4 -2 -5)
1969/12/31/18:00:04.112,(-10 -10 -7 -10 -2 -4 -2 -3)
