timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields
16784410986,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=693039699), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.579920702341644, y=-0.5477571357099825, z=-0.03295697529619951, w=-0.6021361449487117)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-4.625, y=-3.5625, z=-5.4375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.59423828125, y=0.67236328125, z=0.359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16798852235,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=707420963), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5813199160991158, y=-0.5474477320114508, z=-0.032468471954302316, w=-0.6010939478908337)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-7.3125, y=-3.8125, z=-6.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.58740234375, y=0.6513671875, z=0.37451171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16822285385,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=730665167), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5825530155490075, y=-0.5473984281256206, z=-0.032408135280934836, w=-0.5999472124512042)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-5.75, y=-3.0, z=-7.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.57958984375, y=0.6513671875, z=0.35400390625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16859627252,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=768078271), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5835749837716167, y=-0.5473227833574418, z=-0.03252933134807276, w=-0.5990157357998763)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-4.0, y=-2.25, z=-5.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.5703125, y=0.65576171875, z=0.36328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16862028252,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=770428927), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5840299826044255, y=-0.5477150239201708, z=-0.0329581137638614, w=-0.5981897648140845)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.5, y=-2.25, z=-4.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.58251953125, y=0.66015625, z=0.3642578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16882474624,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=790947554), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5843765228251319, y=-0.5481848488788861, z=-0.033750414320866624, w=-0.5973762303302759)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.75, y=-1.4375, z=-5.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.59375, y=0.6787109375, z=0.380859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16904579530,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=813110304), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5846173442772723, y=-0.5489141240661642, z=-0.035031877608847926, w=-0.596396355389655)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=5.625, y=-1.0625, z=-6.9375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.59521484375, y=0.68310546875, z=0.380859375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16925802505,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=834213225), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5839471066200581, y=-0.5505019755134746, z=-0.037778350647765045, w=-0.5954209837150175)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=17.1875, y=0.25, z=-9.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.62255859375, y=0.693359375, z=0.40234375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16942363251,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=850756802), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5821088715936528, y=-0.5536686604212222, z=-0.042721347254723936, w=-0.5939487878328191)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=35.6875, y=1.5, z=-16.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.6953125, y=0.72607421875, z=0.4443359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
16964833944,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731184264, nanosec=873275721), frame_id='RL_myo')","geometry_msgs.msg.Quaternion(x=-0.5791193867900345, y=-0.558491043156877, z=-0.051082614263174085, w=-0.5916916908978169)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=59.625, y=4.125, z=-29.5)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.77734375, y=0.75634765625, z=0.49853515625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False
