time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z
1969/12/31/18:00:03.270000,1,1731185056,891713450,RU_myo,0.6352835464356346,0.4894027166910951,-0.5748559223991935,0.1626052428616958,1.5,11.1875,-14.75,0.9521484375,0.44287109375,-0.142578125
1969/12/31/18:00:03.292000,2,1731185056,913782867,RU_myo,0.6363643473395068,0.4916473065240482,-0.5720320989128963,0.1615630565324836,4.375,8.8125,-19.3125,0.92822265625,0.4736328125,-0.1455078125
1969/12/31/18:00:03.312000,3,1731185056,933460262,RU_myo,0.6370411753523095,0.4958019993663706,-0.5683137284378034,0.1593060714448143,9.25,7.0,-28.9375,0.9091796875,0.53173828125,-0.16552734375
1969/12/31/18:00:03.334000,4,1731185056,955806983,RU_myo,0.6379007003470659,0.5021537710989676,-0.5626417238349682,0.1560723462623143,15.4375,10.4375,-42.9375,0.92724609375,0.59619140625,-0.177734375
1969/12/31/18:00:03.349000,5,1731185056,970646004,RU_myo,0.6388100635824571,0.5107550747236768,-0.5548846061559447,0.1521644839013057,22.1875,16.4375,-57.0625,0.89697265625,0.6357421875,-0.2109375
1969/12/31/18:00:03.371000,6,1731185056,993020290,RU_myo,0.6382604372764709,0.5219245480683851,-0.5460950685964029,0.1483191032401094,35.9375,15.5625,-64.1875,0.8603515625,0.68359375,-0.24560546875
1969/12/31/18:00:03.394000,7,1731185057,15786902,RU_myo,0.6368588443290649,0.534438953512104,-0.5365752444409441,0.1444743036732697,47.0625,9.0625,-72.9375,0.8984375,0.69189453125,-0.1708984375
1969/12/31/18:00:03.409000,8,1731185057,30674204,RU_myo,0.6360018448043302,0.5476818189471454,-0.5247930769316345,0.1419102004961677,56.75,16.8125,-79.9375,0.9970703125,0.75927734375,-0.10546875
1969/12/31/18:00:03.431000,9,1731185057,53059263,RU_myo,0.6391137565569736,0.5581182494467545,-0.5105097373548397,0.1393464526997966,39.5625,34.0625,-87.1875,1.03271484375,0.75244140625,-0.00048828125
1969/12/31/18:00:03.454000,10,1731185057,75630445,RU_myo,0.6459423894981163,0.5664737141578019,-0.4935969105047025,0.1350112978899965,20.0625,48.4375,-95.1875,1.03125,0.86767578125,0.0625
1969/12/31/18:00:03.469000,11,1731185057,90730435,RU_myo,0.6550396422389635,0.5730681327787578,-0.4757155210222215,0.1273213467862912,-10.625,58.9375,-110.0,0.96484375,0.9541015625,0.0615234375
1969/12/31/18:00:03.492000,12,1731185057,113260950,RU_myo,0.6689516198803929,0.5754448788533161,-0.4561200232998336,0.1154185687220641,-52.5,68.125,-123.875,0.92431640625,0.95458984375,0.099609375
1969/12/31/18:00:03.514000,13,1731185057,135750026,RU_myo,0.6889051289932002,0.572449827662552,-0.4331062988691193,0.1006471655630182,-98.5625,91.3125,-138.6875,0.9580078125,0.89794921875,0.15234375
1969/12/31/18:00:03.529000,14,1731185057,150785140,RU_myo,0.7133554830637572,0.5643608108503037,-0.4067597278289447,0.0846602254649979,-134.25,114.625,-147.0625,0.96142578125,0.7744140625,0.23046875
1969/12/31/18:00:03.552000,15,1731185057,173159848,RU_myo,0.7396863881461435,0.5529184743143752,-0.3771979436210221,0.0697633089901016,-149.25,137.25,-147.6875,0.89111328125,0.6103515625,0.337890625
1969/12/31/18:00:03.574000,16,1731185057,195612590,RU_myo,0.7662104048814162,0.5391489290462479,-0.3446207238078926,0.0589627380797775,-150.0,165.375,-135.0625,0.828125,0.58935546875,0.37646484375
1969/12/31/18:00:03.592000,17,1731185057,213567250,RU_myo,0.7939103662908384,0.5212573635829754,-0.3087259654569894,0.0518205505482372,-162.5625,195.1875,-121.125,0.74609375,0.61328125,0.462890625
1969/12/31/18:00:03.611000,18,1731185057,233022462,RU_myo,0.8204542814687662,0.5006834154804559,-0.2717350439740326,0.0482799685048202,-166.5625,211.375,-102.8125,0.6884765625,0.61474609375,0.42724609375
1969/12/31/18:00:03.634000,19,1731185057,255776397,RU_myo,0.8448145442362424,0.4787139997431435,-0.234443513070689,0.0464492354716986,-164.5,215.6875,-92.1875,0.67333984375,0.6806640625,0.48974609375
1969/12/31/18:00:03.649000,20,1731185057,270814777,RU_myo,0.8670445539601008,0.455099204106055,-0.1971526863281327,0.0474265130888418,-163.3125,221.6875,-76.375,0.646484375,0.64599609375,0.505859375
1969/12/31/18:00:03.672000,21,1731185057,293292301,RU_myo,0.8858987788922189,0.4315353704539057,-0.1621156922101235,0.0517598294405816,-150.4375,215.625,-52.75,0.57373046875,0.5673828125,0.56298828125
1969/12/31/18:00:03.690000,22,1731185057,311132325,RU_myo,0.8997461939874387,0.4121827588357081,-0.1300698147606832,0.0603655780376892,-113.5,205.3125,-25.6875,0.5244140625,0.5341796875,0.58837890625
1969/12/31/18:00:03.709000,23,1731185057,330689622,RU_myo,0.9089792571453904,0.3983345844836702,-0.0994920889838158,0.0720249478533145,-72.8125,200.1875,-9.0625,0.484375,0.486328125,0.568359375
1969/12/31/18:00:03.732000,24,1731185057,353262749,RU_myo,0.9135066146123354,0.3913197184471256,-0.0702556537096617,0.0862478181509575,-25.3125,193.3125,5.5625,0.44873046875,0.462890625,0.5830078125
1969/12/31/18:00:03.750000,25,1731185057,371294422,RU_myo,0.913186955903692,0.3919849362217438,-0.0422381774938409,0.1032149684134177,26.375,188.0625,21.75,0.43017578125,0.45556640625,0.5712890625
1969/12/31/18:00:03.769000,26,1731185057,390785879,RU_myo,0.908728255732436,0.3988198833258823,-0.0133672412684983,0.1223804508828273,69.0,192.125,32.625,0.3505859375,0.3857421875,0.5185546875
1969/12/31/18:00:03.792000,27,1731185057,413292967,RU_myo,0.900402936904041,0.4113215422855431,0.0150758897380218,0.1409321028546251,107.25,183.3125,34.25,0.25341796875,0.451171875,0.537109375
1969/12/31/18:00:03.810000,28,1731185057,431288836,RU_myo,0.8876940337093328,0.4294722699015929,0.0435820353481718,0.1601670318677913,143.125,180.8125,41.75,0.20849609375,0.60009765625,0.35302734375
1969/12/31/18:00:03.846000,29,1731185057,467894203,RU_myo,0.8752835795037676,0.4442949215626167,0.0700715166855178,0.1776813458811344,120.125,168.9375,37.625,0.1376953125,0.74267578125,0.12890625
1969/12/31/18:00:03.852000,30,1731185057,473333374,RU_myo,0.8669178512887465,0.4502748003208535,0.0960732731062794,0.1909868307176292,66.0625,161.8125,11.0,0.0478515625,0.82568359375,0.13671875
1969/12/31/18:00:03.870000,31,1731185057,491134874,RU_myo,0.8597702552689761,0.4537506799424655,0.1189005010126342,0.2019111177360338,51.875,141.5625,5.1875,-0.0341796875,0.71533203125,0.2724609375
1969/12/31/18:00:03.889000,32,1731185057,510823059,RU_myo,0.8512906838288959,0.4594906623549099,0.1362358074357278,0.213570380921869,60.75,115.125,25.5625,0.025390625,0.5732421875,0.25927734375
1969/12/31/18:00:03.912000,33,1731185057,533230527,RU_myo,0.8401177389368804,0.4700484385028273,0.1489921099059085,0.2259601765144094,76.5625,91.8125,46.3125,0.0146484375,0.6796875,0.2392578125
1969/12/31/18:00:03.937000,34,1731185057,558791411,RU_myo,0.8281771523255357,0.4818418661893999,0.1612650380633892,0.2365261250929725,77.0625,81.3125,43.6875,-0.041015625,0.8134765625,0.146484375
1969/12/31/18:00:03.949000,35,1731185057,570686476,RU_myo,0.8180005327489371,0.4915572188812172,0.1710958505555757,0.2448935256614234,63.625,64.0,37.75,-0.0751953125,0.88427734375,0.19287109375
1969/12/31/18:00:03.979000,36,1731185057,600757588,RU_myo,0.8074596897264552,0.5028235636833123,0.1776789747368441,0.2522052640373205,77.8125,46.0625,40.5625,-0.017578125,0.8486328125,0.29931640625
1969/12/31/18:00:03.989000,37,1731185057,611237229,RU_myo,0.7972173341256925,0.5141841224006457,0.1827477756965258,0.2581907452225465,75.0625,35.25,38.0,-0.001953125,0.95166015625,0.2939453125
1969/12/31/18:00:04.009000,38,1731185057,630805542,RU_myo,0.7905935344788974,0.5205112068274559,0.1867077605165557,0.263002203355946,41.125,29.375,26.4375,-0.0224609375,1.05615234375,0.322265625
1969/12/31/18:00:04.039000,39,1731185057,660780723,RU_myo,0.787750682798593,0.5219321314590708,0.1886670820184759,0.2672834526557445,2.75,22.625,18.3125,-0.00634765625,1.0966796875,0.2958984375
1969/12/31/18:00:04.050000,40,1731185057,671251744,RU_myo,0.7888541169465073,0.5179678146400543,0.1887902958616177,0.2716187573825408,-30.9375,18.4375,13.5,-0.01953125,1.0009765625,0.34326171875
1969/12/31/18:00:04.071000,41,1731185057,692266195,RU_myo,0.791124348243091,0.5129093355672165,0.1878775359842785,0.2752241097313554,-34.3125,12.125,9.375,-0.00732421875,0.9052734375,0.41015625
1969/12/31/18:00:04.092000,42,1731185057,713278030,RU_myo,0.7924023878274309,0.5097939256766832,0.1862896385494776,0.2783968025636197,-20.875,7.5,9.25,0.05615234375,0.84814453125,0.42724609375
1969/12/31/18:00:04.111000,43,1731185057,732505190,RU_myo,0.7919907820831503,0.5091325713568831,0.1856218858046135,0.2812101374225105,-3.75,10.125,7.3125,0.11083984375,0.8671875,0.42626953125
1969/12/31/18:00:04.132000,44,1731185057,753789616,RU_myo,0.7897084772233451,0.5106431535361343,0.1868370419524393,0.2840704322922746,14.9375,15.9375,9.875,0.0654296875,0.91064453125,0.44482421875
1969/12/31/18:00:04.152000,45,1731185057,773304994,RU_myo,0.7859260783736993,0.5144287813399765,0.1892179902887906,0.2861464317657581,30.75,15.9375,9.75,0.0400390625,0.93212890625,0.421875
1969/12/31/18:00:04.170000,46,1731185057,791097331,RU_myo,0.7820757111448738,0.518820225140984,0.191597257260888,0.2871822540339211,30.375,11.6875,6.4375,0.03173828125,0.99609375,0.365234375
1969/12/31/18:00:04.190000,47,1731185057,812045940,RU_myo,0.7795970662856941,0.5217660290173907,0.1933122384064197,0.2874352165001044,18.6875,6.5625,2.8125,0.00537109375,1.0693359375,0.3759765625
1969/12/31/18:00:04.212000,48,1731185057,833307665,RU_myo,0.7785963810063549,0.522909626535077,0.1950763588661265,0.286876998332539,11.5,5.8125,-5.875,0.0146484375,0.9931640625,0.40185546875
1969/12/31/18:00:04.230000,49,1731185057,851179100,RU_myo,0.7781636250223608,0.5235163080882257,0.1967840243997247,0.2857763034241661,10.5,5.3125,-12.625,0.05322265625,0.9130859375,0.40478515625
1969/12/31/18:00:04.251000,50,1731185057,872269278,RU_myo,0.7760432309233929,0.5266400028635388,0.1989244053468096,0.2843172384490454,27.4375,4.375,-10.75,0.064453125,0.92626953125,0.3974609375
1969/12/31/18:00:04.272000,51,1731185057,893430196,RU_myo,0.773005734354691,0.5309836452267417,0.2016138613845186,0.2826134357282233,35.125,3.875,-7.6875,0.0126953125,0.935546875,0.3603515625
1969/12/31/18:00:04.290000,52,1731185057,911252194,RU_myo,0.7706887399297877,0.5343425652895106,0.2051548277288148,0.2800506842070225,30.875,4.5625,-13.375,-0.03173828125,0.88037109375,0.32763671875
1969/12/31/18:00:04.311000,53,1731185057,932165956,RU_myo,0.7678183522781507,0.5388584477233098,0.2083895265663094,0.276876066931687,37.0,0.8125,-14.0,-0.02197265625,0.8544921875,0.2919921875
1969/12/31/18:00:04.332000,54,1731185057,953249717,RU_myo,0.764498376414609,0.5440298625934858,0.2109466178753604,0.2739986596187768,39.3125,-2.0625,-8.6875,-0.0244140625,0.87548828125,0.27685546875
1969/12/31/18:00:04.349000,55,1731185057,971054046,RU_myo,0.762088459000454,0.5477148372135422,0.2124813717084966,0.2721788096662414,26.6875,-1.75,-5.0625,-0.02099609375,0.904296875,0.2705078125
1969/12/31/18:00:04.370000,56,1731185057,992073782,RU_myo,0.7602695148002575,0.5506094487004755,0.2138715783445811,0.2703302569886271,18.75,-2.0,-6.625,-0.017578125,0.9482421875,0.24365234375
1969/12/31/18:00:04.409000,57,1731185058,30228201,RU_myo,0.759919083777274,0.5515974907707009,0.2144863984251679,0.268809931321696,5.1875,-3.0625,-7.625,-0.02294921875,0.9619140625,0.25634765625
1969/12/31/18:00:04.411000,58,1731185058,32627411,RU_myo,0.7598123272093696,0.5522800398931857,0.2145517617401136,0.267655611729843,4.3125,-3.875,-5.625,-0.0078125,0.91943359375,0.28076171875
1969/12/31/18:00:04.432000,59,1731185058,53628271,RU_myo,0.7591602728686068,0.5539422269263171,0.2143130753430633,0.2662585117192942,8.6875,-6.875,-3.75,-0.0048828125,0.9052734375,0.248046875
1969/12/31/18:00:04.452000,60,1731185058,73283128,RU_myo,0.7576016560269516,0.557031317507409,0.2138765873927198,0.2645990314918494,19.25,-9.125,-3.1875,0.0224609375,0.92578125,0.271484375
1969/12/31/18:00:04.469000,61,1731185058,90958138,RU_myo,0.7552330134592731,0.5608854894267566,0.2137578609176735,0.263321362649584,30.75,-6.8125,0.9375,0.0029296875,0.92138671875,0.3427734375
1969/12/31/18:00:04.492000,62,1731185058,113627955,RU_myo,0.7522475230754022,0.5654674662261057,0.2143087515025752,0.2616141580575441,37.1875,-6.125,1.0625,-0.02880859375,0.9033203125,0.3271484375
1969/12/31/18:00:04.512000,63,1731185058,133245501,RU_myo,0.7494113450295353,0.569596568807267,0.2153993025418822,0.2598952196722399,29.6875,-4.3125,0.875,-0.06396484375,0.966796875,0.24169921875
1969/12/31/18:00:04.530000,64,1731185058,151139769,RU_myo,0.7477257946322271,0.5721780897046936,0.2167489221827786,0.2579501394380238,20.75,-4.25,-0.25,-0.12841796875,0.99951171875,0.25439453125
