time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z
1969/12/31/18:00:06.440000,1,1730346725,760501818,RU_myo,0.4794778615432281,-0.1213342653701549,-0.7775036250253542,-0.3884161291829307,0.0625,0.0,0.6875,0.83154296875,0.44921875,-0.25537109375
1969/12/31/18:00:06.457000,2,1730346725,776954211,RU_myo,0.4794798458987525,-0.1218840697886722,-0.7776289099536667,-0.387990501575658,-0.5625,-0.5,1.75,0.83056640625,0.44921875,-0.2578125
1969/12/31/18:00:06.485000,3,1730346725,805371411,RU_myo,0.479543515246037,-0.122373011081622,-0.7777552519766132,-0.3875043627716799,-0.125,-0.375,2.1875,0.82958984375,0.455078125,-0.25634765625
1969/12/31/18:00:06.500000,4,1730346725,820398302,RU_myo,0.4795378257700484,-0.1230429243671143,-0.7778680908030122,-0.3870725329048806,-0.8125,-0.8125,2.5625,0.83154296875,0.453125,-0.26318359375
1969/12/31/18:00:06.518000,5,1730346725,838382534,RU_myo,0.479419262356457,-0.1238372607665501,-0.7779958417896572,-0.3867091592986011,-1.375,-1.5625,2.3125,0.8486328125,0.45849609375,-0.26318359375
1969/12/31/18:00:06.562000,6,1730346725,882521586,RU_myo,0.4793620527505097,-0.1243875558321287,-0.7780630823100965,-0.3864681077178797,-1.1875,-0.9375,1.9375,0.84033203125,0.46484375,-0.2578125
1969/12/31/18:00:06.565000,7,1730346725,884837786,RU_myo,0.4796704370609865,-0.1250597691230387,-0.7778851915437427,-0.3862265588143431,-1.9375,1.375,3.3125,0.84814453125,0.46435546875,-0.26318359375
1969/12/31/18:00:06.578000,8,1730346725,898291306,RU_myo,0.4805784298463303,-0.1264005496839916,-0.7772016415625057,-0.3860374103096316,-5.375,3.8125,6.75,0.87158203125,0.455078125,-0.26611328125
1969/12/31/18:00:06.598000,9,1730346725,917896210,RU_myo,0.4820293057161315,-0.1281668197016809,-0.7757754501086032,-0.3865145091289264,-9.3125,6.3125,8.1875,0.89453125,0.46142578125,-0.2412109375
1969/12/31/18:00:06.616000,10,1730346725,935864844,RU_myo,0.4845338699461122,-0.1292049631787277,-0.7733988159663855,-0.3877979858467813,-11.8125,14.1875,5.5625,0.95751953125,0.48876953125,-0.22265625
1969/12/31/18:00:06.638000,11,1730346725,958347366,RU_myo,0.4916205197768993,-0.1295729811901126,-0.7675505470781236,-0.3903668335807632,-19.5625,43.8125,6.5,1.08935546875,0.46484375,-0.1904296875
1969/12/31/18:00:06.658000,12,1730346725,977843554,RU_myo,0.5002761685370618,-0.1291429026014911,-0.760759111969559,-0.3927994901432878,-24.5625,68.125,7.1875,1.1025390625,0.4599609375,-0.37744140625
1969/12/31/18:00:06.680000,13,1730346726,467464,RU_myo,0.5029033295326754,-0.1221249468925829,-0.7601530302584311,-0.3928627102186688,11.6875,47.875,-16.625,0.826171875,0.58154296875,-0.4892578125
1969/12/31/18:00:06.698000,14,1730346726,18368407,RU_myo,0.5024516580842668,-0.1117576513547488,-0.7636264205894391,-0.3897784607053119,50.6875,14.75,-26.75,0.8271484375,0.6826171875,-0.2783203125
1969/12/31/18:00:06.725000,15,1730346726,45446698,RU_myo,0.500610144556632,-0.1060180225670409,-0.7656246834087287,-0.3898313817706911,26.25,-7.875,-18.25,0.9560546875,0.75830078125,-0.107421875
1969/12/31/18:00:06.740000,16,1730346726,60395110,RU_myo,0.4973056542414804,-0.1007672600825582,-0.7639635338906002,-0.3986135527554134,-17.75,-2.25,-29.625,0.9736328125,1.01123046875,-0.05908203125
1969/12/31/18:00:06.758000,17,1730346726,78362515,RU_myo,0.4909552288977821,-0.0985694548321628,-0.7595035888120338,-0.4152123846583306,-67.5625,-15.375,-52.625,1.3251953125,1.12646484375,-0.0205078125
1969/12/31/18:00:06.778000,18,1730346726,97914771,RU_myo,0.4839297895474468,-0.0984460525337409,-0.7494838965370976,-0.4409016016762209,-134.6875,6.125,-81.0625,1.08642578125,0.95361328125,0.23974609375
1969/12/31/18:00:06.800000,19,1730346726,120505895,RU_myo,0.4764139515890321,-0.0974677274772847,-0.7345172825229314,-0.473301331613239,-173.6875,24.1875,-102.25,0.97314453125,0.8896484375,0.3134765625
1969/12/31/18:00:06.818000,20,1730346726,138399162,RU_myo,0.4734955781090883,-0.0908784372008807,-0.7139663924619897,-0.5077352042136511,-181.0,76.5625,-117.75,0.810546875,0.72021484375,0.2724609375
1969/12/31/18:00:06.845000,21,1730346726,165372579,RU_myo,0.4741034394139585,-0.0788544855461939,-0.6893053868101504,-0.5420940716883085,-176.6875,119.125,-128.0,0.76025390625,0.6787109375,0.29345703125
1969/12/31/18:00:06.860000,22,1730346726,180394266,RU_myo,0.4807486000386619,-0.0646328256240882,-0.6559713029345612,-0.578277641915237,-202.375,174.25,-118.75,0.740234375,0.74560546875,0.3896484375
1969/12/31/18:00:06.878000,23,1730346726,198329910,RU_myo,0.4948025483936394,-0.0530385363949762,-0.6112553993045885,-0.6154057105529871,-247.1875,226.5,-87.8125,0.896484375,0.52490234375,0.49462890625
1969/12/31/18:00:06.905000,24,1730346726,225435843,RU_myo,0.5142831710794425,-0.0419312293533796,-0.5599985870702451,-0.6481945498295372,-254.4375,262.125,-55.1875,0.89599609375,0.30908203125,0.57373046875
1969/12/31/18:00:06.920000,25,1730346726,240387577,RU_myo,0.5367789711328299,-0.029661691867033,-0.5079106990070961,-0.6730640697729219,-227.5625,277.75,-23.125,0.7890625,0.2578125,0.6328125
1969/12/31/18:00:06.940000,26,1730346726,259812526,RU_myo,0.5617680385299739,-0.0158691536307902,-0.4578861174545702,-0.6888433379888402,-187.5,284.4375,9.4375,0.8369140625,0.25634765625,0.7314453125
1969/12/31/18:00:06.968000,27,1730346726,288301261,RU_myo,0.5880756561433825,0.002075202107823,-0.412232795183436,-0.6958640950379558,-134.9375,292.3125,30.875,0.9267578125,0.26953125,0.73876953125
1969/12/31/18:00:06.988000,28,1730346726,307978250,RU_myo,0.6133828810659866,0.0264883751624515,-0.3715086166217572,-0.6964489607804949,-78.8125,301.625,33.0,0.96142578125,0.2275390625,0.6630859375
1969/12/31/18:00:06.998000,29,1730346726,318346602,RU_myo,0.6375675169765972,0.0554804588293822,-0.338009660062837,-0.6900572800054957,-20.0,294.75,44.9375,0.91259765625,0.20849609375,0.58203125
1969/12/31/18:00:07.019000,30,1730346726,339520974,RU_myo,0.6613306372011545,0.0874042891067884,-0.3120796998624368,-0.6764676928565201,35.0625,280.625,66.5625,0.84033203125,0.16064453125,0.4892578125
1969/12/31/18:00:07.040000,31,1730346726,360467282,RU_myo,0.6812126340873584,0.1218870737633236,-0.2973629561216387,-0.6577751597132391,95.5,242.9375,73.5625,0.73046875,0.3515625,0.3984375
1969/12/31/18:00:07.058000,32,1730346726,378407526,RU_myo,0.6981125934837387,0.1580183165351809,-0.2872283497931871,-0.6365287845289308,125.4375,225.5,74.375,0.5556640625,0.474609375,0.4365234375
1969/12/31/18:00:07.079000,33,1730346726,399291084,RU_myo,0.7113614295916488,0.1926870899374376,-0.2796007472294589,-0.6153535764172462,130.75,202.375,66.375,0.42236328125,0.6767578125,0.5673828125
1969/12/31/18:00:07.100000,34,1730346726,420417094,RU_myo,0.7212062786464354,0.2248581525502258,-0.2738703937277044,-0.5952271182599898,127.125,177.0625,58.1875,0.2587890625,0.837890625,0.53173828125
1969/12/31/18:00:07.118000,35,1730346726,438347947,RU_myo,0.7304537702099475,0.2485910934212162,-0.2632392305243569,-0.5790896868108273,70.5,162.0625,46.25,0.193359375,0.69140625,0.341796875
