time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z
1969/12/31/18:00:06.020000,1,1730347762,946049514,RL_myo,-0.6541824594107525,0.0473638354639619,0.4171801744796131,0.6290967166585767,-6.4375,4.75,-4.4375,0.57177734375,0.43212890625,0.59423828125
1969/12/31/18:00:06.043000,2,1730347762,968678218,RL_myo,-0.6530256765208228,0.0465095397241673,0.4174261708314709,0.6301981596483311,0.0,0.25,-9.5,0.56884765625,0.45166015625,0.5966796875
1969/12/31/18:00:06.058000,3,1730347762,983683743,RL_myo,-0.651185495093325,0.0454712900782198,0.418213798142231,0.6316542027107339,0.75,-3.0,-13.4375,0.55712890625,0.47119140625,0.591796875
1969/12/31/18:00:06.080000,4,1730347763,6108935,RL_myo,-0.6493427781625153,0.0451653027390037,0.4182673238789094,0.633534922203864,-4.125,-4.0625,-13.1875,0.53662109375,0.4541015625,0.60400390625
1969/12/31/18:00:06.103000,5,1730347763,28638656,RL_myo,-0.6480372564782528,0.0454120484901403,0.4178030536492079,0.6351583018661296,-5.1875,-4.3125,-10.0,0.533203125,0.42041015625,0.6279296875
1969/12/31/18:00:06.118000,6,1730347763,43648751,RL_myo,-0.6467919855733648,0.0451661856491733,0.4180313587989031,0.6362938991792326,1.0625,-5.0,-9.875,0.5361328125,0.41357421875,0.63916015625
1969/12/31/18:00:06.140000,7,1730347763,66071956,RL_myo,-0.6453452611981926,0.0435804895957164,0.41956902728425,0.6368611042600909,11.25,-6.4375,-10.75,0.53076171875,0.44287109375,0.6455078125
1969/12/31/18:00:06.163000,8,1730347763,88571741,RL_myo,-0.6439937862775492,0.0404060171088747,0.4231645266100131,0.6360590699268639,28.5625,-8.0625,-10.375,0.5478515625,0.45458984375,0.65576171875
1969/12/31/18:00:06.185000,9,1730347763,111103233,RL_myo,-0.6422842308757652,0.0352179037551379,0.4292067577229289,0.6340443400491732,49.875,-10.9375,-14.6875,0.595703125,0.45556640625,0.69580078125
1969/12/31/18:00:06.203000,10,1730347763,128971497,RL_myo,-0.6395890916484029,0.0249024095230984,0.4393322150668198,0.6303117233946997,93.5,-11.5,-29.5625,0.72119140625,0.48681640625,0.85107421875
1969/12/31/18:00:06.223000,11,1730347763,148709198,RL_myo,-0.6344026931971748,0.0006103547173342,0.4567894704529205,0.6235994147003594,173.0,9.4375,-61.8125,0.998046875,0.56884765625,1.04931640625
1969/12/31/18:00:06.238000,12,1730347763,163671472,RL_myo,-0.6285514365950846,-0.0404060061202122,0.4777918669320569,0.6123768268943954,256.75,56.6875,-92.75,1.16552734375,0.8359375,0.97314453125
1969/12/31/18:00:06.260000,13,1730347763,186097399,RL_myo,-0.6275029486723054,-0.0870972383771403,0.491089264178326,0.5979008739610839,249.5,120.0625,-75.5,1.0380859375,1.4892578125,0.619140625
1969/12/31/18:00:06.283000,14,1730347763,208632762,RL_myo,-0.6301917503971398,-0.1315315469351899,0.4904204081783069,0.5874058504428159,175.875,170.0,-71.75,0.67431640625,1.845703125,0.41552734375
1969/12/31/18:00:06.298000,15,1730347763,223630011,RL_myo,-0.6276267597981181,-0.1708990496386979,0.4766862777422253,0.5913107117498948,74.6875,171.6875,-133.0,0.17236328125,1.88232421875,0.2607421875
1969/12/31/18:00:06.320000,16,1730347763,246104427,RL_myo,-0.6208029117885792,-0.2030076181898352,0.4517926608061216,0.6076800501196632,-17.0,161.5,-183.5625,-0.13623046875,1.5517578125,0.23828125
1969/12/31/18:00:06.343000,17,1730347763,268659973,RL_myo,-0.6102405758758902,-0.2315715888050737,0.4213333361943658,0.6296501080951874,-52.5,152.4375,-218.875,-0.1435546875,0.94091796875,0.39208984375
1969/12/31/18:00:06.358000,18,1730347763,283644153,RL_myo,-0.5946046527804552,-0.2697144283141892,0.4006959090026368,0.6427614040680532,48.4375,154.9375,-221.9375,0.08544921875,0.5390625,0.3525390625
1969/12/31/18:00:06.381000,19,1730347763,307490799,RL_myo,-0.5750140192457543,-0.3201304034544084,0.3928845389963826,0.6422749734129151,175.4375,166.75,-196.5,-0.14013671875,0.4140625,0.28955078125
1969/12/31/18:00:06.403000,20,1730347763,328676944,RL_myo,-0.5477769950841596,-0.3776151831293254,0.3939722009212535,0.6341396076796009,260.125,157.875,-193.5,-0.53759765625,0.7109375,0.18310546875
1969/12/31/18:00:06.419000,21,1730347763,345098596,RL_myo,-0.5183788594769111,-0.429144208287079,0.3949030049235388,0.6254360264994594,248.875,133.875,-186.125,-0.619140625,0.92138671875,0.3046875
1969/12/31/18:00:06.440000,22,1730347763,366156798,RL_myo,-0.4909033633090994,-0.4730201498999777,0.3923931024138009,0.6174896589081387,208.5625,120.75,-174.6875,-0.53515625,0.82666015625,0.2978515625
1969/12/31/18:00:06.465000,23,1730347763,391531969,RL_myo,-0.4691719695098289,-0.5092716161818671,0.386348193963473,0.609307112217591,162.0625,118.0625,-145.6875,-0.57763671875,0.70166015625,0.3779296875
1969/12/31/18:00:06.479000,24,1730347763,405131459,RL_myo,-0.4521445365167064,-0.5388137106330297,0.3800016042593162,0.6007028251076437,130.6875,108.0,-113.25,-0.65087890625,0.60986328125,0.3642578125
1969/12/31/18:00:06.500000,25,1730347763,426162574,RL_myo,-0.4368941226158025,-0.5618343669570357,0.3761635202125162,0.593267794331601,113.6875,79.0625,-85.625,-0.7373046875,0.43017578125,0.2939453125
1969/12/31/18:00:06.523000,26,1730347763,448674495,RL_myo,-0.4220531355511152,-0.5776299168265734,0.3772538584007872,0.5881278400825085,105.0625,35.9375,-57.9375,-0.75537109375,0.29638671875,0.19580078125
1969/12/31/18:00:06.539000,27,1730347763,465118711,RL_myo,-0.4047327168498979,-0.5868654912549794,0.3813557555237765,0.5885134754737922,96.875,-17.375,-22.0625,-0.84423828125,0.40576171875,0.0751953125
