time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z
1969/12/31/18:00:27.511,1,1731182897,359326257,RL_myo,0.8636191440420324,0.30298999441830865,-0.3922267735963037,-0.09228865261089499,12.3125,-2.5,-5.5625,0.57421875,0.5439453125,0.525390625
1969/12/31/18:00:27.531,2,1731182897,379714839,RL_myo,0.8626723108619117,0.30554249244196474,-0.39227359147513136,-0.09252944837035929,16.9375,-3.4375,-8.8125,0.59765625,0.55078125,0.53564453125
1969/12/31/18:00:27.561,3,1731182897,409686377,RL_myo,0.8614042473120063,0.30933158969582997,-0.391974638718749,-0.09301920731974049,22.5625,-2.4375,-13.375,0.59375,0.5517578125,0.52734375
1969/12/31/18:00:27.572,4,1731182897,420332556,RL_myo,0.8598128899034782,0.31427390999595434,-0.39136226663314416,-0.09375116056589354,27.875,-0.125,-18.6875,0.61083984375,0.5654296875,0.52001953125
1969/12/31/18:00:27.592,5,1731182897,440305748,RL_myo,0.8580527850709818,0.3209305408950934,-0.38965777350214453,-0.09442364906137495,35.625,6.4375,-24.8125,0.646484375,0.60498046875,0.5263671875
1969/12/31/18:00:27.609,6,1731182897,457739463,RL_myo,0.8564652458909576,0.32971958796343737,-0.38556805575065417,-0.09533913298757668,46.6875,20.0625,-38.4375,0.75634765625,0.66455078125,0.60400390625
1969/12/31/18:00:27.631,7,1731182897,479565733,RL_myo,0.8544489443007811,0.3433909393982566,-0.3776934114817654,-0.096681700676651,70.75,42.1875,-66.0,0.91064453125,0.72216796875,0.6826171875
1969/12/31/18:00:27.652,8,1731182897,499822323,RL_myo,0.8511123164330594,0.36580006543196536,-0.362809208898315,-0.10083459170592471,100.1875,71.0,-102.8125,0.92529296875,0.86279296875,0.6826171875
1969/12/31/18:00:27.670,9,1731182897,517781321,RL_myo,0.8481768588081644,0.39070092639832044,-0.3418709402838607,-0.10522862007666058,105.375,102.1875,-119.375,0.771484375,1.107421875,0.60205078125
1969/12/31/18:00:27.697,10,1731182897,544851131,RL_myo,0.8483775512159906,0.4097531118291204,-0.31569240196338605,-0.11267752784694715,59.1875,122.0625,-128.75,0.4892578125,1.26806640625,0.57373046875
1969/12/31/18:00:27.713,11,1731182897,561340535,RL_myo,0.8535297586440648,0.4193184669539992,-0.2826584891505051,-0.12555139541839538,-15.8125,145.1875,-148.4375,0.30810546875,1.51123046875,0.5224609375
1969/12/31/18:00:27.728,12,1731182897,575745713,RL_myo,0.8665115472772928,0.40929960104539875,-0.24731314993080164,-0.1430656523785289,-141.5625,144.0625,-139.0625,0.119140625,1.361328125,0.38427734375
1969/12/31/18:00:27.751,13,1731182897,598808714,RL_myo,0.881324971244879,0.3932666244013266,-0.2056363895092456,-0.16223850499126588,-183.625,168.875,-153.4375,-0.029296875,1.044921875,0.25390625
1969/12/31/18:00:27.773,14,1731182897,621204739,RL_myo,0.8912446280958142,0.3834268424666418,-0.163087635000138,-0.1790790123841336,-134.1875,177.5,-157.0,-0.14111328125,0.5673828125,0.2802734375
1969/12/31/18:00:27.778,15,1731182897,626589694,RL_myo,0.8910726380417127,0.39252607269307854,-0.12011993641113024,-0.1936079462886713,-9.625,191.875,-171.6875,-0.4169921875,0.29443359375,0.35791015625
1969/12/31/18:00:27.801,16,1731182897,649170716,RL_myo,0.8793246286366457,0.42214418517638774,-0.07965560463493147,-0.205517563835873,125.0,195.625,-174.8125,-0.8203125,0.2373046875,0.20703125
1969/12/31/18:00:27.824,17,1731182897,671834092,RL_myo,0.8593115511536613,0.4587999808240693,-0.05169663213489247,-0.2200311202435506,194.6875,135.375,-175.375,-0.54345703125,0.67822265625,0.55029296875
1969/12/31/18:00:27.840,18,1731182897,688179684,RL_myo,0.8433567797324735,0.4859204837121098,-0.019471000415043717,-0.22858588261548188,131.3125,160.3125,-146.875,-0.78466796875,0.96240234375,0.54150390625
1969/12/31/18:00:27.861,19,1731182897,709385991,RL_myo,0.8294498332687453,0.5047259306276588,0.018311498269234203,-0.23859882244812167,80.9375,173.6875,-166.8125,-0.80126953125,0.89111328125,0.62255859375
1969/12/31/18:00:27.876,20,1731182897,724106327,RL_myo,0.8156683708150189,0.5178188011070503,0.060180261420503485,-0.25085281383191615,49.0,180.8125,-191.0625,-0.73388671875,0.69287109375,0.59375
1969/12/31/18:00:27.898,21,1731182897,746805553,RL_myo,0.8008023207679539,0.5302873904597548,0.10187035620135024,-0.25910105576676556,49.6875,190.3125,-169.875,-0.96240234375,0.4306640625,0.52685546875
1969/12/31/18:00:27.915,22,1731182897,763228942,RL_myo,0.7856098888404088,0.544634996357934,0.13287799922349236,-0.26178858000439076,71.75,162.875,-112.125,-0.85546875,0.3505859375,0.46923828125
1969/12/31/18:00:27.936,23,1731182897,784228765,RL_myo,0.7698058280933041,0.561911865955198,0.15454712628704773,-0.26032523444480987,97.875,139.375,-64.5,-0.7490234375,0.298828125,0.421875
1969/12/31/18:00:27.966,24,1731182897,814684249,RL_myo,0.756962024775391,0.5791656711089893,0.16473476091507663,-0.2538465619287898,100.0625,102.5,-0.3125,-0.76904296875,0.2919921875,0.34814453125
1969/12/31/18:00:27.976,25,1731182897,824710416,RL_myo,0.7514246424862403,0.5896159569829487,0.16449430683944583,-0.24628368389505156,70.5,44.875,62.25,-0.75,0.412109375,0.36328125
1969/12/31/18:00:27.996,26,1731182897,844080801,RL_myo,0.7500796242301645,0.5998073453747113,0.14953983882853797,-0.23505221197089785,61.75,-9.625,109.1875,-0.591796875,0.6640625,0.408203125
1969/12/31/18:00:28.019,27,1731182897,866920642,RL_myo,0.7461951196592799,0.6119715558040032,0.13086644879750478,-0.22706305481656613,85.6875,-32.5625,104.4375,-0.39599609375,0.6298828125,0.27392578125
1969/12/31/18:00:28.035,28,1731182897,883095563,RL_myo,0.742770566710953,0.6210609348577489,0.11133318380152668,-0.22400920205679986,83.9375,-52.875,83.3125,-0.23046875,0.4697265625,0.27490234375
1969/12/31/18:00:28.056,29,1731182897,904289495,RL_myo,0.7383970723707113,0.6323100994203685,0.08533347996811229,-0.21833895411011278,94.75,-72.125,116.3125,-0.080078125,0.478515625,0.19775390625
1969/12/31/18:00:28.079,30,1731182897,926720877,RL_myo,0.7316503839901014,0.6471141545893931,0.053041143212429975,-0.20764783568318387,123.625,-74.625,156.0,0.1416015625,0.5,0.1640625
1969/12/31/18:00:28.101,31,1731182897,949343251,RL_myo,0.7232414201354103,0.6616538943596799,0.02197374556914066,-0.19660398466167242,128.25,-67.75,149.5625,0.208984375,0.60400390625,0.23095703125
1969/12/31/18:00:28.117,32,1731182897,965593754,RL_myo,0.7175586776766623,0.6713531724877175,-0.007385556311575036,-0.1853103219995191,93.375,-66.5625,147.25,0.14794921875,0.767578125,0.07568359375
1969/12/31/18:00:28.138,33,1731182897,986701854,RL_myo,0.7115658652299787,0.6798267804882058,-0.03564543363306807,-0.1738935623640598,85.8125,-63.75,141.875,0.267578125,0.79345703125,-0.09423828125
1969/12/31/18:00:28.155,34,1731182898,3041526,RL_myo,0.7054211080548745,0.6865602339189433,-0.05926831322326582,-0.16584140785542043,76.0625,-58.875,109.0625,0.35888671875,0.86181640625,0.0078125
1969/12/31/18:00:28.176,35,1731182898,24242759,RL_myo,0.7019335255970723,0.6897870237193491,-0.0805697611989683,-0.1580876375040363,40.8125,-54.1875,89.1875,0.21826171875,0.8447265625,-0.09765625
1969/12/31/18:00:28.198,36,1731182898,46737679,RL_myo,0.6995449539760991,0.6914270341716473,-0.09991755428486818,-0.1502730718688732,21.9375,-46.9375,82.25,0.2626953125,0.87939453125,-0.201171875
1969/12/31/18:00:28.213,37,1731182898,61726678,RL_myo,0.698396548628622,0.691804446963538,-0.11395790563622071,-0.14374443908585954,14.5,-30.6875,55.6875,0.31494140625,1.021484375,-0.0888671875
1969/12/31/18:00:28.244,38,1731182898,91802086,RL_myo,0.69600690622441,0.6931991961756225,-0.12323405627177793,-0.14093483701413337,15.1875,-26.8125,43.375,-0.0048828125,1.01904296875,-0.1259765625
1969/12/31/18:00:28.258,39,1731182898,106712197,RL_myo,0.6930668776334509,0.6945927844534276,-0.1337304737027645,-0.1389795931634846,4.8125,-35.5,52.1875,-0.095703125,1.00537109375,-0.31396484375
1969/12/31/18:00:28.273,40,1731182898,121589213,RL_myo,0.6916530174821257,0.6943385745567121,-0.14520318819184408,-0.13574270304273275,6.4375,-33.75,48.625,0.1396484375,0.9453125,-0.14404296875
1969/12/31/18:00:28.296,41,1731182898,144345676,RL_myo,0.6920827686632373,0.69293726718703,-0.153016271367734,-0.13208105753481306,-1.5,-17.5,34.25,0.2080078125,0.99169921875,-0.05615234375
1969/12/31/18:00:28.319,42,1731182898,167408188,RL_myo,0.691321620196874,0.6932748509797011,-0.15589223185438955,-0.13092750091138042,0.1875,-6.6875,15.375,0.0341796875,1.09033203125,-0.11279296875
1969/12/31/18:00:28.333,43,1731182898,181642827,RL_myo,0.6900091465473324,0.6942206132533709,-0.1578994836017646,-0.13043339638846962,9.0625,-6.6875,13.625,-0.04052734375,1.02294921875,-0.0400390625
1969/12/31/18:00:28.356,44,1731182898,204188422,RL_myo,0.6913047657419872,0.692769653114211,-0.15979479752008852,-0.1289711257295443,-6.4375,-1.5625,19.875,-0.0185546875,1.0,0.01416015625
1969/12/31/18:00:28.379,45,1731182898,226930449,RL_myo,0.6910002373271841,0.6931975704729997,-0.16052739370819663,-0.1273842854254777,4.25,3.4375,14.625,-0.0419921875,0.9921875,-0.02197265625
1969/12/31/18:00:28.395,46,1731182898,243202821,RL_myo,0.6890708052415522,0.6949916014244232,-0.16120435792744614,-0.12720555922786736,16.625,-2.1875,11.1875,-0.1083984375,1.0234375,-0.00146484375
1969/12/31/18:00:28.416,47,1731182898,264201942,RL_myo,0.6896059017555944,0.6939395908177867,-0.1629100860139566,-0.1278743462717269,-2.25,-9.625,16.5,-0.1064453125,1.07958984375,0.03076171875
1969/12/31/18:00:28.439,48,1731182898,287343433,RL_myo,0.6928960315474308,0.6900272759552243,-0.16559433875864868,-0.12781221723575759,-18.75,-10.5625,22.3125,-0.02734375,0.978515625,0.103515625
1969/12/31/18:00:28.453,49,1731182898,301718975,RL_myo,0.6956007241707098,0.6866279875567143,-0.16761316151042202,-0.12879234187435923,-22.875,-11.9375,11.625,0.02294921875,0.96240234375,0.01513671875
1969/12/31/18:00:28.476,50,1731182898,324070947,RL_myo,0.6964511071523989,0.6852199937679957,-0.16694073427360306,-0.1325149302040191,-13.375,-12.1875,-12.3125,0.01025390625,1.15380859375,0.0009765625
1969/12/31/18:00:28.498,51,1731182898,346679172,RL_myo,0.6993676546042827,0.6819109301133747,-0.16614407015472663,-0.13519805855720773,-31.8125,-6.9375,0.25,-0.072265625,1.06298828125,-0.04150390625
1969/12/31/18:00:28.521,52,1731182898,369611728,RL_myo,0.7051172570260648,0.6753914862355789,-0.16736768687374218,-0.1365432222963389,-53.6875,-9.625,15.0625,-0.02294921875,0.93603515625,-0.03515625
1969/12/31/18:00:28.536,53,1731182898,384319920,RL_myo,0.7094875407256075,0.6700580025882414,-0.1682774561063747,-0.13904100290544855,-42.75,-13.1875,0.1875,0.07470703125,0.939453125,0.00390625
1969/12/31/18:00:28.559,54,1731182898,406735631,RL_myo,0.7126785513952406,0.6658014421564992,-0.16944121776920076,-0.14173000996400725,-33.6875,-15.5,6.75,-0.04248046875,0.9462890625,0.01953125
1969/12/31/18:00:28.574,55,1731182898,421893977,RL_myo,0.7131019445099989,0.6639056621103533,-0.17340773982306829,-0.14368244264114846,-14.5,-25.125,18.5625,-0.080078125,0.95556640625,-0.037109375
1969/12/31/18:00:28.596,56,1731182898,444118291,RL_myo,0.7132778677253335,0.6624951203397886,-0.17596954412563207,-0.14618350960141824,-4.375,-21.125,-0.4375,0.08251953125,1.01806640625,0.10009765625
1969/12/31/18:00:28.618,57,1731182898,466695486,RL_myo,0.7128458606318915,0.6623686342646875,-0.17798257809766208,-0.14642668204948261,-0.9375,-9.375,7.3125,0.04541015625,0.97900390625,0.0087890625
1969/12/31/18:00:28.633,58,1731182898,481650072,RL_myo,0.7113191624994801,0.662978268669071,-0.18158353427457982,-0.14667066650817323,5.8125,-17.0625,19.6875,-0.06591796875,1.0078125,-0.0205078125
1969/12/31/18:00:28.656,59,1731182898,504193825,RL_myo,0.7099695861886722,0.6627277997624315,-0.18628156611484073,-0.14843930825402774,1.8125,-27.625,14.125,0.00341796875,0.9375,-0.01171875
1969/12/31/18:00:28.680,60,1731182898,528017352,RL_myo,0.7093775915637466,0.6614631698310378,-0.19153561197100644,-0.15021323806903977,-2.0625,-29.5625,12.6875,0.08203125,0.96875,0.0244140625
1969/12/31/18:00:28.694,61,1731182898,541845359,RL_myo,0.7101816370825319,0.6589704300767525,-0.1961773770161803,-0.15137520068454485,-11.8125,-24.4375,16.75,0.0712890625,0.9609375,0.033203125
1969/12/31/18:00:28.716,62,1731182898,564290032,RL_myo,0.7110369626133058,0.6562244299987683,-0.2015489785002263,-0.1522299068381479,-12.0,-26.5625,23.625,0.03662109375,0.92138671875,0.03662109375
1969/12/31/18:00:28.739,63,1731182898,586867851,RL_myo,0.7114300561701072,0.6542397711125068,-0.2064221388098235,-0.15240570094858938,-10.3125,-21.5,18.4375,0.11279296875,0.962890625,-0.01123046875
1969/12/31/18:00:28.753,64,1731182898,601614516,RL_myo,0.7107791802455561,0.6536482817732641,-0.2102734457660748,-0.15271528630093442,1.0,-17.8125,14.9375,0.0712890625,0.94970703125,0.02392578125
1969/12/31/18:00:28.776,65,1731182898,624199165,RL_myo,0.7090480383638506,0.6538110172121517,-0.21533282941789314,-0.15301570389757882,5.375,-23.5625,20.9375,0.0302734375,0.94091796875,-0.03271484375
1969/12/31/18:00:28.798,66,1731182898,646651920,RL_myo,0.7072966953127116,0.6534620659318164,-0.22119806902082037,-0.15424048576589766,0.125,-30.0625,18.625,0.078125,1.0439453125,-0.07373046875
1969/12/31/18:00:28.814,67,1731182898,661826518,RL_myo,0.7073163206215957,0.6515269594679766,-0.22627041772042242,-0.15497722972542555,-7.9375,-24.5625,16.875,0.142578125,1.033203125,0.001953125
1969/12/31/18:00:28.836,68,1731182898,684145575,RL_myo,0.7083907586077577,0.6493073315586185,-0.22931449940456194,-0.1549108862094166,-10.4375,-12.625,16.25,0.11181640625,0.96630859375,0.0478515625
1969/12/31/18:00:28.858,69,1731182898,706777256,RL_myo,0.7080871887281045,0.6486984433930088,-0.2321227117259703,-0.1546670921676594,-1.5625,-11.4375,16.8125,0.0478515625,0.9296875,0.0068359375
1969/12/31/18:00:28.873,70,1731182898,721680607,RL_myo,0.7055904353588736,0.6502907005461452,-0.23584787562514598,-0.1537527946945504,19.0,-13.8125,17.5,0.0693359375,0.96435546875,0.0234375
1969/12/31/18:00:28.896,71,1731182898,744210192,RL_myo,0.7021299875301367,0.6534820174300308,-0.23860089726639175,-0.15180364070133442,34.5625,-6.25,14.1875,0.08154296875,0.9658203125,0.083984375
1969/12/31/18:00:28.918,72,1731182898,766773432,RL_myo,0.6953245268005818,0.6605949221877367,-0.2414592545666346,-0.1477686691875183,68.5625,-0.8125,17.625,0.0400390625,0.92626953125,0.1044921875
1969/12/31/18:00:28.941,73,1731182898,789604691,RL_myo,0.6827549091744777,0.6731111334146379,-0.24640457431944987,-0.1416048086254951,110.8125,-3.1875,16.25,0.07470703125,0.857421875,0.00927734375
1969/12/31/18:00:28.956,74,1731182898,804248689,RL_myo,0.6674784695659359,0.6878641506956928,-0.2509758107950922,-0.13537557109521267,127.875,-3.1875,9.1875,0.1181640625,0.970703125,-0.14599609375
1969/12/31/18:00:28.978,75,1731182898,826764977,RL_myo,0.6528613666604924,0.7015696099846391,-0.2553825690078067,-0.12787439820061067,123.9375,2.375,16.5,0.0810546875,1.11962890625,-0.14501953125
1969/12/31/18:00:28.994,76,1731182898,841794769,RL_myo,0.6402193492795056,0.7131588213348978,-0.2583705315568831,-0.12152509528224766,105.0625,4.75,10.5625,0.0986328125,0.99560546875,-0.1845703125
1969/12/31/18:00:29.016,77,1731182898,864101224,RL_myo,0.627322044476193,0.7244293973426673,-0.26110952580941366,-0.11615040383714684,96.625,2.125,9.0,0.0986328125,0.92626953125,-0.28466796875
1969/12/31/18:00:29.038,78,1731182898,886674173,RL_myo,0.6157643642237698,0.7339974702409627,-0.26356765708943675,-0.11231229482273358,80.25,-0.8125,8.0625,0.08056640625,1.00830078125,-0.36572265625
1969/12/31/18:00:29.061,79,1731182898,909584456,RL_myo,0.6060318178746225,0.7419601951942705,-0.2649596254802836,-0.10962162804943318,63.6875,-0.5,1.3125,0.1083984375,1.048828125,-0.4140625
1969/12/31/18:00:29.084,80,1731182898,932378404,RL_myo,0.5974890604705777,0.7491044273322506,-0.2649606713150248,-0.10791303084196358,53.1875,1.875,-5.5,0.10302734375,1.0771484375,-0.4580078125
1969/12/31/18:00:29.099,81,1731182898,946856732,RL_myo,0.5925484244338021,0.7533812528622187,-0.2638024608985262,-0.10821882535240329,26.6875,0.5,-9.8125,0.10595703125,1.2001953125,-0.458984375
1969/12/31/18:00:29.113,82,1731182898,961706038,RL_myo,0.5903483045938909,0.7558802113410612,-0.26129870677899575,-0.10888972036760765,9.9375,4.4375,-18.25,0.17578125,1.16748046875,-0.42822265625
1969/12/31/18:00:29.136,83,1731182898,984104318,RL_myo,0.5879660618461772,0.7592959420083508,-0.25641497205603553,-0.10962182571117349,13.4375,13.0,-29.5,0.15625,1.169921875,-0.41015625
1969/12/31/18:00:29.158,84,1731182899,6741634,RL_myo,0.58466915913374,0.7636893745778635,-0.24951743632307433,-0.11261244374170062,21.625,9.8125,-42.5625,0.06103515625,1.224609375,-0.35791015625
1969/12/31/18:00:29.173,85,1731182899,21652026,RL_myo,0.5808141537763205,0.7680711760320741,-0.24237211061851288,-0.11822583184791223,17.5625,-0.375,-49.875,0.0,1.25146484375,-0.41162109375
1969/12/31/18:00:29.196,86,1731182899,44224544,RL_myo,0.5763672418152689,0.7724773707946672,-0.23590589744954082,-0.12420918533242319,17.875,-7.4375,-56.0,0.076171875,1.1455078125,-0.4228515625
